bin,k,q_squared,t,x_b,W,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,sig_BSA,link
,10.6,1.58036,-0.334318,0.153307,,5.05837,,,,,,-0.307907,0.0899051,
,10.6,1.58053,-0.341426,0.163585,,5.32968,,,,,,-0.298514,0.094178,
,10.6,1.68172,-0.335765,0.143708,,5.68059,,,,,,-0.139014,0.120605,
,10.6,1.65078,-0.327451,0.138323,,5.88381,,,,,,-0.0815662,0.0364583,
,10.6,1.60412,-0.312846,0.146593,,6.12481,,,,,,-0.0472144,0.0205619,
,10.6,1.60413,-0.352464,0.255674,,0.0907367,,,,,,-0.0394466,0.0694078,
,10.6,1.5969,-0.348461,0.251917,,0.271958,,,,,,0.240088,0.0678129,
,10.6,1.6038,-0.343387,0.254761,,0.467791,,,,,,0.117719,0.1045,
,10.6,1.60681,-0.338026,0.270767,,0.713009,,,,,,-0.00701786,0.117163,
,10.6,1.60013,-0.33628,0.262034,,1.21521,,,,,,0.429018,0.0846371,
,10.6,1.60453,-0.343335,0.248841,,1.6966,,,,,,0.0267452,0.139304,
,10.6,1.58002,-0.363678,0.237419,,2.1074,,,,,,0.296616,0.137262,
,10.6,1.61819,-0.369369,0.25862,,4.66866,,,,,,-0.909066,0.329242,
,10.6,1.61819,-0.382624,0.263816,,5.36216,,,,,,0.200898,0.160721,
,10.6,1.6236,-0.334745,0.266252,,5.95539,,,,,,-0.239627,0.0937884,
,10.6,1.589,-0.350178,0.254431,,6.18932,,,,,,0.168898,0.0556884,
,10.6,1.50893,-0.629299,0.117404,,0.452438,,,,,,0.0114797,0.0430526,
,10.6,1.57172,-0.559785,0.112037,,0.596394,,,,,,0.118245,0.0221521,
,10.6,1.57039,-0.508706,0.10538,,0.759838,,,,,,0.0422385,0.0417597,
,10.6,1.53812,-0.532032,0.109939,,1.04029,,,,,,0.115717,0.103836,
,10.6,1.56038,-0.578352,0.116686,,1.60107,,,,,,0.0598101,0.136171,
,10.6,1.56571,-0.534755,0.112943,,2.29314,,,,,,0.183319,0.081289,
,10.6,1.55285,-0.570256,0.115171,,2.63497,,,,,,-0.104811,0.118118,
,10.6,1.54565,-0.56408,0.113952,,2.89831,,,,,,0.114826,0.0969509,
,10.6,1.56421,-0.553428,0.113903,,3.17248,,,,,,0.167965,0.0769748,
,10.6,1.55365,-0.567249,0.114234,,3.65103,,,,,,-0.370768,0.135296,
,10.6,1.5551,-0.567489,0.111093,,4.27984,,,,,,-0.00981308,0.0971915,
,10.6,1.54813,-0.578397,0.114487,,4.6685,,,,,,-0.0796155,0.0935056,
,10.6,1.54254,-0.581138,0.119131,,4.99628,,,,,,-0.212765,0.09964,
,10.6,1.55991,-0.485656,0.103145,,5.3943,,,,,,0.132532,0.0742127,
,10.6,1.57623,-0.521621,0.106971,,5.57625,,,,,,-0.156891,0.0373801,
,10.6,1.55417,-0.580486,0.114246,,5.74063,,,,,,-0.0923461,0.0254495,
,10.6,1.47757,-0.629087,0.121026,,5.87676,,,,,,0.0192161,0.0824402,
,10.6,1.58961,-0.538745,0.17658,,0.0944883,,,,,,0.00546565,0.0367293,
,10.6,1.58336,-0.581983,0.159368,,0.289366,,,,,,0.0793285,0.030582,
,10.6,1.63727,-0.582071,0.140137,,0.452297,,,,,,0.0828868,0.0380761,
,10.6,1.62993,-0.604961,0.163119,,0.665953,,,,,,0.0186006,0.111053,
,10.6,1.56667,-0.648179,0.165259,,0.916635,,,,,,0.211066,0.0721536,
,10.6,1.59195,-0.621265,0.161076,,1.11152,,,,,,0.14175,0.0955126,
,10.6,1.60084,-0.601439,0.161212,,1.50643,,,,,,0.163601,0.0955506,
,10.6,1.60411,-0.54681,0.169074,,2.08493,,,,,,0.262055,0.0923217,
,10.6,1.5933,-0.566086,0.161047,,2.52873,,,,,,0.154554,0.0961684,
,10.6,1.58431,-0.580001,0.156552,,2.79298,,,,,,0.150699,0.0945709,
,10.6,1.5887,-0.574043,0.160761,,2.98088,,,,,,-0.206212,0.109196,
,10.6,1.58543,-0.57208,0.165206,,3.19461,,,,,,0.100829,0.0949691,
,10.6,1.58397,-0.583168,0.167809,,3.47046,,,,,,0.0368103,0.101714,
,10.6,1.61172,-0.574093,0.161368,,3.86928,,,,,,-0.12084,0.124201,
,10.6,1.61618,-0.590491,0.163197,,4.49426,,,,,,-0.307156,0.143223,
,10.6,1.5974,-0.56878,0.162401,,4.80404,,,,,,-0.218367,0.106439,
,10.6,1.58738,-0.602119,0.156613,,4.98784,,,,,,-0.286412,0.110174,
,10.6,1.589,-0.588699,0.163293,,5.21177,,,,,,-0.421983,0.100158,
,10.6,1.5661,-0.579933,0.173197,,5.46586,,,,,,-0.191015,0.0858376,
,10.6,1.64715,-0.56403,0.153387,,5.7058,,,,,,-0.0916876,0.0716143,
,10.6,1.60947,-0.583732,0.146228,,5.88334,,,,,,-0.136297,0.0303134,
,10.6,1.57778,-0.55664,0.17032,,6.10293,,,,,,-0.0715832,0.0257433,
,10.6,1.63133,-0.663732,0.255805,,0.200336,,,,,,0.166141,0.0608439,
,10.6,1.58816,-0.692777,0.254179,,0.924833,,,,,,0.131621,0.115079,
,10.6,1.5714,-0.592799,0.253573,,1.56577,,,,,,0.0994853,0.194968,
,10.6,1.59503,-0.626081,0.252553,,2.25847,,,,,,0.240505,0.109181,
,10.6,1.61382,-0.605707,0.238455,,2.80826,,,,,,0.0638697,0.111068,
,10.6,1.61268,-0.643641,0.232857,,3.35117,,,,,,0.121149,0.0877923,
,10.6,1.63142,-0.66832,0.263787,,4.01809,,,,,,0.0647358,0.129649,
,10.6,1.58306,-0.610457,0.239769,,4.65767,,,,,,0.0198262,0.159819,
,10.6,1.62638,-0.626185,0.249215,,5.26301,,,,,,-0.42469,0.187473,
,10.6,1.60336,-0.677493,0.256235,,5.62635,,,,,,-0.078948,0.0974655,
,10.6,1.60519,-0.677562,0.255262,,6.0437,,,,,,-0.0289526,0.0584761,
,10.6,1.53944,-1.17272,0.109622,,0.09136,,,,,,-0.0812171,0.0592202,
,10.6,1.54696,-1.06002,0.111359,,0.294052,,,,,,0.0134844,0.0506183,
,10.6,1.56869,-0.939426,0.112323,,0.454484,,,,,,0.134068,0.0534347,
,10.6,1.55556,-1.09822,0.11301,,0.80745,,,,,,0.0889999,0.130427,
,10.6,1.55096,-1.18025,0.114633,,4.71459,,,,,,-0.194226,0.174767,
,10.6,1.58338,-0.921366,0.110298,,5.76532,,,,,,0.0145344,0.0827296,
,10.6,1.55793,-0.994898,0.112766,,5.93419,,,,,,-0.0111787,0.0410654,
,10.6,1.56641,-1.16583,0.110715,,6.15496,,,,,,0.0838811,0.0420496,
,10.6,1.58388,-1.36134,0.158771,,0.0946286,,,,,,0.0914842,0.0551637,
,10.6,1.59444,-1.07518,0.160568,,0.283205,,,,,,0.0943404,0.0410698,
,10.6,1.63902,-1.04549,0.153956,,0.483339,,,,,,-0.0159364,0.0899407,
,10.6,1.59191,-1.03151,0.168349,,0.875978,,,,,,0.0595019,0.0934797,
,10.6,1.5752,-1.14527,0.164795,,1.32333,,,,,,0.103913,0.136697,
,10.6,1.59789,-1.24796,0.173045,,2.6454,,,,,,0.0413233,0.121093,
,10.6,1.56614,-1.14786,0.175859,,3.21164,,,,,,-0.0228915,0.112369,
,10.6,1.5722,-0.980445,0.161432,,4.5315,,,,,,0.0690201,0.173255,
,10.6,1.61834,-0.980372,0.15842,,5.15902,,,,,,-0.472845,0.176205,
,10.6,1.61552,-1.081,0.156076,,5.77358,,,,,,-0.00895755,0.085425,
,10.6,1.59615,-1.06034,0.160727,,5.99683,,,,,,-0.0629843,0.0421101,
,10.6,1.5986,-1.36773,0.159215,,6.19035,,,,,,-0.0296375,0.0601953,
,10.6,2.04973,-0.15523,0.144721,,0.0956592,,,,,,0.0115625,0.0261525,
,10.6,2.04975,-0.155184,0.142852,,0.285034,,,,,,0.0812281,0.0246585,
,10.6,2.06163,-0.160115,0.140409,,0.471932,,,,,,0.135234,0.0241602,
,10.6,2.05264,-0.161548,0.135614,,0.654487,,,,,,0.141826,0.027949,
,10.6,2.03076,-0.162502,0.131824,,0.837514,,,,,,0.20018,0.0499084,
,10.6,2.00073,-0.160431,0.129152,,1.01759,,,,,,0.206926,0.080708,
,10.6,1.93511,-0.157211,0.142147,,1.32298,,,,,,0.31593,0.139953,
,10.6,1.98855,-0.173349,0.148177,,1.73561,,,,,,0.241934,0.106216,
,10.6,2.02106,-0.170486,0.145557,,2.01054,,,,,,0.288218,0.0928453,
,10.6,2.00186,-0.173659,0.144133,,2.22885,,,,,,0.309019,0.0995631,
,10.6,2.01693,-0.176204,0.143167,,2.4212,,,,,,0.20921,0.0959306,
,10.6,1.98305,-0.171212,0.1412,,2.61099,,,,,,0.00675894,0.089193,
,10.6,2.01363,-0.175207,0.143106,,2.79648,,,,,,0.010535,0.102277,
,10.6,1.99092,-0.175497,0.142657,,2.97865,,,,,,0.0110256,0.120548,
,10.6,1.99575,-0.169507,0.141586,,3.20618,,,,,,-0.106631,0.107175,
,10.6,1.97694,-0.174015,0.141749,,3.45669,,,,,,0.0173457,0.124924,
,10.6,1.97742,-0.168446,0.145512,,3.76232,,,,,,-0.175744,0.11727,
,10.6,1.96767,-0.156521,0.126328,,5.1859,,,,,,-0.325209,0.110084,
,10.6,2.02049,-0.158056,0.130876,,5.38427,,,,,,-0.140118,0.0569587,
,10.6,2.0433,-0.164457,0.134113,,5.56515,,,,,,-0.202878,0.0315824,
,10.6,2.06072,-0.163199,0.138789,,5.74588,,,,,,-0.106682,0.0266633,
,10.6,2.06065,-0.159641,0.142523,,5.93436,,,,,,-0.056027,0.0271927,
,10.6,2.04088,-0.155143,0.144043,,6.15783,,,,,,-0.0662251,0.0230437,
,10.6,2.16698,-0.186478,0.200931,,0.0934252,,,,,,0.0648763,0.0475669,
,10.6,2.14375,-0.185579,0.205604,,0.281018,,,,,,0.110168,0.0453345,
,10.6,2.10567,-0.179247,0.210579,,0.467613,,,,,,0.175357,0.0505523,
,10.6,2.08013,-0.182034,0.211121,,0.657328,,,,,,0.225664,0.058119,
,10.6,2.08842,-0.181409,0.215463,,0.838096,,,,,,0.295923,0.0704311,
,10.6,2.09398,-0.172419,0.204858,,1.03458,,,,,,0.291252,0.0828459,
,10.6,2.11909,-0.175957,0.20049,,1.22372,,,,,,0.367671,0.0796546,
,10.6,2.09219,-0.174019,0.197035,,1.40939,,,,,,0.277114,0.0778622,
,10.6,2.11493,-0.181677,0.198044,,1.60727,,,,,,0.210574,0.0844523,
,10.6,2.12561,-0.184762,0.195428,,1.79039,,,,,,0.440373,0.0942546,
,10.6,2.10717,-0.18849,0.193422,,1.96648,,,,,,0.328443,0.086122,
,10.6,2.13857,-0.188305,0.186195,,2.15389,,,,,,0.324793,0.100601,
,10.6,2.12923,-0.186537,0.182351,,2.34851,,,,,,0.101154,0.118321,
,10.6,2.13139,-0.192578,0.179874,,2.54636,,,,,,0.159614,0.120646,
,10.6,2.13578,-0.195436,0.181674,,2.76898,,,,,,0.256973,0.106345,
,10.6,2.10926,-0.193166,0.179633,,3.01269,,,,,,0.0249093,0.123805,
,10.6,2.10807,-0.190964,0.178255,,3.34939,,,,,,0.114744,0.111728,
,10.6,2.11838,-0.192984,0.183317,,3.70975,,,,,,-0.198741,0.107462,
,10.6,2.10431,-0.195189,0.198236,,4.20714,,,,,,-0.35389,0.117387,
,10.6,2.08711,-0.191946,0.213912,,4.73649,,,,,,-0.274173,0.11778,
,10.6,2.08632,-0.176767,0.223145,,5.23317,,,,,,-0.359348,0.107545,
,10.6,2.10983,-0.17171,0.216581,,5.56978,,,,,,-0.181301,0.140121,
,10.6,2.16428,-0.176821,0.210826,,5.7573,,,,,,-0.112413,0.108885,
,10.6,2.14585,-0.18227,0.204803,,5.94469,,,,,,-0.0305879,0.0556864,
,10.6,2.14858,-0.184411,0.202171,,6.15994,,,,,,-0.00307035,0.0416878,
,10.6,2.13305,-0.235207,0.309911,,0.0979877,,,,,,0.0647052,0.0848925,
,10.6,2.14849,-0.237602,0.307757,,0.288524,,,,,,0.18827,0.0960871,
,10.6,2.08776,-0.235275,0.304439,,0.471012,,,,,,0.32429,0.0858301,
,10.6,2.11551,-0.22735,0.303591,,0.65559,,,,,,0.130206,0.11815,
,10.6,2.09475,-0.230758,0.305596,,0.840671,,,,,,0.361555,0.135892,
,10.6,2.1052,-0.247379,0.311882,,1.03572,,,,,,0.112195,0.161371,
,10.6,2.13432,-0.245341,0.298177,,1.36203,,,,,,0.346127,0.165542,
,10.6,2.11173,-0.257793,0.309632,,4.65746,,,,,,-0.023685,0.204517,
,10.6,2.10954,-0.246129,0.313266,,5.20762,,,,,,-0.0354776,0.139317,
,10.6,2.11076,-0.238182,0.315791,,5.53811,,,,,,-0.339098,0.135057,
,10.6,2.12348,-0.228453,0.311085,,5.74922,,,,,,-0.172048,0.115114,
,10.6,2.10774,-0.233133,0.310786,,5.94323,,,,,,-0.123449,0.10058,
,10.6,2.12306,-0.239274,0.30965,,6.15318,,,,,,-0.230803,0.0739908,
,10.6,1.94443,-0.270046,0.152067,,0.0969522,,,,,,0.047737,0.0493895,
,10.6,1.97815,-0.285511,0.150589,,0.295776,,,,,,-0.00153711,0.0386833,
,10.6,2.02737,-0.300818,0.146131,,0.477914,,,,,,0.118707,0.0257633,
,10.6,2.05602,-0.305321,0.138727,,0.660741,,,,,,0.138681,0.024072,
,10.6,2.04061,-0.299587,0.13316,,0.827385,,,,,,0.204382,0.0432747,
,10.6,2.02433,-0.28135,0.129517,,1.00386,,,,,,0.13789,0.166139,
,10.6,2.01242,-0.283778,0.148022,,1.58488,,,,,,0.133922,0.17969,
,10.6,2.02601,-0.292114,0.143972,,1.93325,,,,,,0.247794,0.103623,
,10.6,2.00628,-0.305384,0.142126,,2.17842,,,,,,0.0342292,0.116453,
,10.6,2.04667,-0.294064,0.142952,,2.3527,,,,,,0.210784,0.0823447,
,10.6,2.02375,-0.30417,0.142309,,2.54871,,,,,,0.0164021,0.0919438,
,10.6,2.01232,-0.304185,0.142538,,2.73361,,,,,,-0.0195501,0.0950782,
,10.6,1.99307,-0.30715,0.141929,,2.92589,,,,,,0.0221407,0.0974737,
,10.6,2.00951,-0.306647,0.142618,,3.10512,,,,,,-0.129795,0.105638,
,10.6,1.99763,-0.305086,0.145329,,3.32173,,,,,,-0.221869,0.122342,
,10.6,2.00152,-0.302075,0.145031,,3.56011,,,,,,0.123281,0.111985,
,10.6,2.03995,-0.314929,0.145261,,4.03688,,,,,,-0.128046,0.158575,
,10.6,2.04457,-0.332344,0.141354,,4.51264,,,,,,-0.223161,0.115154,
,10.6,1.95628,-0.327977,0.141807,,4.92409,,,,,,-0.346933,0.130396,
,10.6,2.02447,-0.2891,0.130418,,5.3334,,,,,,-0.141654,0.0839073,
,10.6,2.04409,-0.299221,0.134526,,5.51314,,,,,,-0.130034,0.0307023,
,10.6,2.05515,-0.306113,0.141638,,5.68106,,,,,,-0.147231,0.0235995,
,10.6,2.0046,-0.300938,0.148093,,5.86608,,,,,,-0.0824522,0.0283347,
,10.6,1.9541,-0.279125,0.15185,,6.10523,,,,,,-0.0196411,0.0332207,
,10.6,2.14063,-0.327071,0.182153,,0.0934816,,,,,,0.0336245,0.0304527,
,10.6,2.16935,-0.327696,0.183907,,0.280271,,,,,,0.0512084,0.034321,
,10.6,2.20387,-0.324833,0.186596,,0.462132,,,,,,0.190238,0.0504431,
,10.6,2.19865,-0.315746,0.198449,,0.644727,,,,,,0.100397,0.11466,
,10.6,2.11147,-0.298419,0.213225,,1.02209,,,,,,0.52726,0.110636,
,10.6,2.12608,-0.309791,0.207245,,1.35081,,,,,,0.227806,0.127544,
,10.6,2.12003,-0.312887,0.208805,,1.54043,,,,,,0.143374,0.119502,
,10.6,2.12392,-0.317259,0.202534,,1.72554,,,,,,0.353145,0.106307,
,10.6,2.11549,-0.320453,0.200431,,1.91016,,,,,,0.183894,0.125298,
,10.6,2.09422,-0.323072,0.201918,,2.09527,,,,,,-0.0198716,0.119731,
,10.6,2.10987,-0.323731,0.194773,,2.29302,,,,,,0.140342,0.0958558,
,10.6,2.10659,-0.324487,0.188639,,2.48615,,,,,,0.267886,0.091848,
,10.6,2.10728,-0.324464,0.189644,,2.66992,,,,,,-0.0334328,0.102795,
,10.6,2.11048,-0.331576,0.186758,,2.86009,,,,,,0.0462278,0.0900301,
,10.6,2.11229,-0.337037,0.187184,,3.04532,,,,,,-0.0957902,0.107338,
,10.6,2.11488,-0.339007,0.191276,,3.2287,,,,,,0.0736069,0.127056,
,10.6,2.08704,-0.330288,0.188612,,3.42116,,,,,,-0.29044,0.119353,
,10.6,2.08371,-0.335719,0.191092,,3.62051,,,,,,-0.0374075,0.152674,
,10.6,2.12162,-0.320988,0.193281,,3.78977,,,,,,-0.111934,0.132505,
,10.6,2.08474,-0.334243,0.198202,,4.01294,,,,,,-0.094314,0.15103,
,10.6,2.11124,-0.350392,0.208281,,4.33697,,,,,,-0.347074,0.129989,
,10.6,2.10852,-0.342219,0.194536,,4.7222,,,,,,-0.432958,0.126078,
,10.6,2.11592,-0.343329,0.19578,,5.0361,,,,,,-0.319723,0.123113,
,10.6,2.06845,-0.347697,0.199037,,5.26247,,,,,,-0.277074,0.121533,
,10.6,2.19215,-0.347043,0.186116,,5.59306,,,,,,-0.110461,0.163563,
,10.6,2.26153,-0.335911,0.170397,,5.82738,,,,,,-0.0953551,0.0601915,
,10.6,2.18553,-0.333074,0.175431,,6.00037,,,,,,-0.0872222,0.0358058,
,10.6,2.13507,-0.327674,0.181745,,6.18882,,,,,,0.00879561,0.0312733,
,10.6,2.11727,-0.400263,0.310132,,0.0901249,,,,,,0.0142212,0.0838804,
,10.6,2.12941,-0.391297,0.306192,,0.282219,,,,,,0.191896,0.0937388,
,10.6,2.12014,-0.369944,0.304319,,0.467937,,,,,,0.137717,0.110309,
,10.6,2.13642,-0.386297,0.317343,,0.679728,,,,,,0.228133,0.160087,
,10.6,2.12039,-0.390263,0.3222,,0.957846,,,,,,0.142231,0.167753,
,10.6,2.12115,-0.385075,0.314297,,1.39858,,,,,,0.0901484,0.177393,
,10.6,2.12891,-0.403161,0.309073,,1.80939,,,,,,-0.0644228,0.174744,
,10.6,2.15515,-0.414512,0.305138,,2.28567,,,,,,0.208191,0.153224,
,10.6,2.16001,-0.402247,0.292964,,2.99384,,,,,,0.244062,0.141624,
,10.6,2.12498,-0.406616,0.292566,,3.56263,,,,,,-0.170063,0.217593,
,10.6,2.17141,-0.424474,0.312121,,4.17938,,,,,,-0.124451,0.22231,
,10.6,2.10749,-0.401244,0.305758,,4.80679,,,,,,-0.468984,0.249373,
,10.6,2.12903,-0.386562,0.309404,,5.49532,,,,,,-0.186317,0.159886,
,10.6,2.10282,-0.378667,0.311436,,5.92218,,,,,,-0.10054,0.127122,
,10.6,2.12395,-0.3957,0.310744,,6.16765,,,,,,-0.189301,0.0719326,
,10.6,1.90464,-0.542516,0.153395,,0.38936,,,,,,0.143483,0.0758993,
,10.6,2.02515,-0.588216,0.143699,,0.544787,,,,,,0.110566,0.0293008,
,10.6,2.04763,-0.538687,0.135965,,0.70406,,,,,,0.1231,0.035991,
,10.6,2.03644,-0.505383,0.132531,,0.879733,,,,,,0.0859768,0.168955,
,10.6,1.95362,-0.655247,0.145409,,1.25541,,,,,,0.427264,0.154305,
,10.6,2.04335,-0.539325,0.14432,,2.03401,,,,,,0.177214,0.152212,
,10.6,2.02057,-0.550797,0.141928,,2.42489,,,,,,0.207195,0.10863,
,10.6,1.99208,-0.575914,0.141125,,2.67004,,,,,,-0.00457868,0.144135,
,10.6,2.00555,-0.5641,0.141012,,2.86403,,,,,,-0.18475,0.123804,
,10.6,2.01609,-0.561246,0.143304,,3.06947,,,,,,-0.147564,0.131932,
,10.6,2.03188,-0.57331,0.144965,,3.39116,,,,,,0.0110658,0.138933,
,10.6,2.03222,-0.565424,0.13998,,3.98295,,,,,,-0.203964,0.142609,
,10.6,2.04893,-0.584993,0.142708,,4.44837,,,,,,-0.0967734,0.120513,
,10.6,2.00712,-0.583406,0.142518,,4.70712,,,,,,-0.319454,0.0982249,
,10.6,1.96272,-0.595338,0.146932,,4.92285,,,,,,-0.0596594,0.123994,
,10.6,1.97493,-0.554348,0.142798,,5.21924,,,,,,-0.112832,0.110744,
,10.6,2.04042,-0.522932,0.134166,,5.52188,,,,,,-0.132639,0.0602236,
,10.6,2.03196,-0.576549,0.140408,,5.68957,,,,,,-0.0767849,0.0285279,
,10.6,1.94339,-0.582381,0.149076,,5.83753,,,,,,-0.103113,0.044917,
,10.6,2.08791,-0.564696,0.198816,,0.0969267,,,,,,0.059445,0.0373525,
,10.6,2.0944,-0.577719,0.185465,,0.283625,,,,,,0.0985114,0.0352284,
,10.6,2.18961,-0.594023,0.171516,,0.460357,,,,,,0.191503,0.0416081,
,10.6,2.25168,-0.596479,0.175842,,0.631193,,,,,,0.23245,0.139489,
,10.6,2.01852,-0.677719,0.20192,,0.933978,,,,,,0.22749,0.117216,
,10.6,2.09126,-0.655321,0.193227,,1.20956,,,,,,0.123447,0.140621,
,10.6,2.09257,-0.595921,0.207357,,1.68225,,,,,,0.320186,0.143056,
,10.6,2.07841,-0.556074,0.203742,,1.98115,,,,,,0.0643789,0.153319,
,10.6,2.0857,-0.575978,0.200598,,2.20962,,,,,,0.109687,0.13692,
,10.6,2.10102,-0.587808,0.204392,,2.42422,,,,,,-0.279175,0.155881,
,10.6,2.10672,-0.584641,0.198595,,2.60677,,,,,,0.207381,0.123466,
,10.6,2.11842,-0.589842,0.193851,,2.8024,,,,,,0.00158126,0.111973,
,10.6,2.1085,-0.576302,0.192235,,2.98289,,,,,,0.0331428,0.116421,
,10.6,2.09645,-0.592861,0.199043,,3.1685,,,,,,-0.181048,0.134744,
,10.6,2.06932,-0.588555,0.209719,,3.36495,,,,,,-0.0623833,0.135319,
,10.6,2.09284,-0.587386,0.206964,,3.57936,,,,,,0.0783984,0.128671,
,10.6,2.08449,-0.594557,0.200419,,3.92468,,,,,,0.0585793,0.156328,
,10.6,2.12178,-0.607546,0.195837,,4.39342,,,,,,-0.235465,0.161146,
,10.6,2.07621,-0.607812,0.187664,,4.68154,,,,,,-0.194625,0.140901,
,10.6,2.15002,-0.593546,0.191033,,4.8718,,,,,,-0.191281,0.118877,
,10.6,2.11634,-0.616368,0.195457,,5.05996,,,,,,-0.333938,0.118578,
,10.6,2.08893,-0.606979,0.195412,,5.24446,,,,,,-0.208042,0.0995933,
,10.6,2.06711,-0.620697,0.210065,,5.43904,,,,,,-0.226149,0.0958491,
,10.6,2.17815,-0.604314,0.195135,,5.63246,,,,,,-0.194264,0.092746,
,10.6,2.1719,-0.600671,0.173299,,5.82436,,,,,,-0.185429,0.0404732,
,10.6,2.09309,-0.589306,0.184386,,5.98985,,,,,,-0.14927,0.0310636,
,10.6,2.09459,-0.579038,0.200369,,6.18615,,,,,,-0.0479698,0.0365143,
,10.6,2.11638,-0.633335,0.307372,,0.0812236,,,,,,-0.0605118,0.112035,
,10.6,2.15523,-0.653242,0.326826,,0.438276,,,,,,0.283842,0.144533,
,10.6,2.05361,-0.666258,0.295985,,1.14095,,,,,,-0.153186,0.326015,
,10.6,2.12709,-0.679882,0.318653,,1.82403,,,,,,0.0196028,0.194865,
,10.6,2.13738,-0.667171,0.314356,,2.28825,,,,,,0.208456,0.141514,
,10.6,2.15888,-0.680442,0.296117,,2.75321,,,,,,0.124085,0.147216,
,10.6,2.18402,-0.679808,0.29589,,3.33892,,,,,,-0.0680932,0.15568,
,10.6,2.07337,-0.658568,0.305502,,3.98033,,,,,,0.0129501,0.150518,
,10.6,2.11371,-0.714517,0.326867,,4.53332,,,,,,-0.042007,0.30688,
,10.6,2.08261,-0.702729,0.305048,,5.2514,,,,,,-0.0964805,0.327492,
,10.6,2.1175,-0.722673,0.319772,,5.78707,,,,,,0.153155,0.158822,
,10.6,2.11418,-0.638724,0.319397,,6.21154,,,,,,-0.045866,0.104987,
,10.6,1.98825,-1.37848,0.138469,,0.0846817,,,,,,-0.0221817,0.087504,
,10.6,1.9861,-1.18859,0.140095,,0.295308,,,,,,-0.0728331,0.0698943,
,10.6,2.02031,-0.980153,0.14145,,0.463594,,,,,,0.209309,0.0550553,
,10.6,2.03832,-1.03259,0.14007,,0.6876,,,,,,0.102643,0.129279,
,10.6,2.02176,-1.33042,0.143831,,1.28627,,,,,,0.178857,0.176668,
,10.6,1.98713,-1.07235,0.141234,,2.66057,,,,,,-0.100104,0.186628,
,10.6,2.0491,-1.12232,0.142368,,4.5701,,,,,,0.437292,0.150872,
,10.6,2.02094,-1.20933,0.146706,,5.08352,,,,,,-0.349416,0.244968,
,10.6,2.07718,-1.01422,0.13997,,5.70189,,,,,,-0.0847949,0.0896402,
,10.6,2.01267,-1.02208,0.141562,,5.86374,,,,,,-0.126924,0.0474779,
,10.6,2.00665,-1.34799,0.140956,,6.10089,,,,,,-0.0495358,0.0555668,
,10.6,2.08646,-1.46869,0.206434,,0.106433,,,,,,-0.124612,0.0753819,
,10.6,2.09921,-1.15934,0.199999,,0.287351,,,,,,-0.00173656,0.0480078,
,10.6,2.17698,-1.10294,0.180848,,0.443937,,,,,,0.139566,0.0920371,
,10.6,2.0761,-1.19319,0.207302,,0.746774,,,,,,0.0395782,0.108552,
,10.6,2.09668,-1.16317,0.203384,,1.01028,,,,,,0.227816,0.112912,
,10.6,2.06482,-1.22815,0.201774,,1.35156,,,,,,0.041555,0.177643,
,10.6,2.06842,-1.21367,0.211126,,2.65826,,,,,,0.267255,0.149915,
,10.6,2.07382,-1.29695,0.211144,,3.00496,,,,,,0.0428675,0.159208,
,10.6,2.10655,-1.15978,0.21771,,3.5126,,,,,,-0.0383115,0.173612,
,10.6,2.07598,-1.32442,0.208551,,4.20894,,,,,,-0.15886,0.211165,
,10.6,2.09202,-1.2555,0.201074,,4.74722,,,,,,-0.185727,0.197008,
,10.6,2.101,-1.06662,0.196506,,5.05223,,,,,,-0.216975,0.141042,
,10.6,2.12191,-1.18464,0.208404,,5.35909,,,,,,-0.0531877,0.134881,
,10.6,2.16347,-1.13604,0.190743,,5.73203,,,,,,-0.18064,0.120791,
,10.6,2.12789,-1.10704,0.189343,,5.9401,,,,,,-0.0779646,0.0464016,
,10.6,2.09151,-1.33884,0.209887,,6.126,,,,,,0.0452827,0.0538303,
,10.6,2.13253,-1.3341,0.30601,,0.304206,,,,,,0.108246,0.13557,
,10.6,2.11888,-1.14897,0.289359,,0.84884,,,,,,0.424005,0.257625,
,10.6,2.19873,-1.18551,0.309512,,2.17851,,,,,,-0.178966,0.253015,
,10.6,2.13794,-1.13833,0.279809,,2.7479,,,,,,0.168611,0.256432,
,10.6,2.15178,-1.31341,0.295669,,4.15313,,,,,,0.31287,0.203987,
,10.6,2.17046,-1.52544,0.302615,,4.62081,,,,,,-0.322592,0.394536,
,10.6,2.15767,-1.21556,0.317572,,5.38819,,,,,,-0.291079,0.222234,
,10.6,2.13074,-1.21149,0.298602,,5.98901,,,,,,-0.073852,0.105538,
,10.6,2.73728,-0.17333,0.181162,,0.0930572,,,,,,0.00642873,0.0294845,
,10.6,2.73276,-0.175554,0.179714,,0.283468,,,,,,0.146139,0.0289518,
,10.6,2.70667,-0.179421,0.176519,,0.464856,,,,,,0.0164214,0.0341971,
,10.6,2.68434,-0.179905,0.174057,,0.644654,,,,,,0.103438,0.0561691,
,10.6,2.62095,-0.173829,0.171998,,0.82762,,,,,,0.169256,0.102939,
,10.6,2.56192,-0.175984,0.191952,,1.18014,,,,,,0.313265,0.107745,
,10.6,2.6276,-0.181976,0.193913,,1.50657,,,,,,0.372816,0.0997073,
