bin,k,q_squared,t,x_b,W,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,sig_BSA,link
,10.6,1.17775,-0.282053,0.105193,,1.98642,,,,,,0.281879,0.0738019,
,10.6,1.19032,-0.282608,0.0990637,,2.17685,,,,,,0.0733999,0.0624361,
,10.6,1.17825,-0.287712,0.0991781,,2.36301,,,,,,0.0198674,0.056601,
,10.6,1.16553,-0.286829,0.0977675,,2.54381,,,,,,0.0534143,0.0465421,
,10.6,1.16364,-0.290999,0.0980207,,2.73853,,,,,,0.0682335,0.0431187,
,10.6,1.16575,-0.293541,0.0990926,,2.91769,,,,,,-0.0629471,0.0442703,
,10.6,1.16598,-0.292064,0.0974128,,3.10788,,,,,,-0.0157314,0.0517939,
,10.6,1.17028,-0.299482,0.100705,,3.29329,,,,,,-0.141388,0.0649158,
,10.6,1.15603,-0.287217,0.102638,,3.48098,,,,,,-0.0911124,0.0758307,
,10.6,1.16443,-0.29216,0.105614,,3.67478,,,,,,-0.0686843,0.0806255,
,10.6,1.15963,-0.292217,0.10888,,3.85568,,,,,,-0.0931732,0.101286,
,10.6,1.18945,-0.317961,0.100799,,4.11518,,,,,,-0.0423303,0.119326,
,10.6,1.1914,-0.313982,0.0938232,,4.37187,,,,,,0.00519163,0.0854588,
,10.6,1.17674,-0.318627,0.0987415,,4.55503,,,,,,-0.328399,0.0790022,
,10.6,1.16942,-0.306225,0.102587,,4.74301,,,,,,-0.199469,0.0719668,
,10.6,1.15107,-0.301803,0.0992428,,4.93324,,,,,,-0.326399,0.0710539,
,10.6,1.15937,-0.273451,0.0854947,,5.13405,,,,,,-0.187768,0.0500894,
,10.6,1.16632,-0.27661,0.0812401,,5.32071,,,,,,-0.192162,0.026398,
,10.6,1.17431,-0.291959,0.0835805,,5.50132,,,,,,-0.13929,0.0178284,
,10.6,1.1806,-0.297287,0.0941907,,5.6843,,,,,,-0.171694,0.0162628,
,10.6,1.18051,-0.295745,0.107313,,5.86955,,,,,,-0.136432,0.0172189,
,10.6,1.16429,-0.275533,0.11663,,6.10438,,,,,,-0.0298932,0.0168785,
,10.6,1.23047,-0.336353,0.150329,,0.0911475,,,,,,0.066987,0.0306045,
,10.6,1.2435,-0.326971,0.154073,,0.259429,,,,,,0.112146,0.0454023,
,10.6,1.23258,-0.309014,0.17595,,0.646306,,,,,,0.2223,0.0765077,
,10.6,1.19053,-0.323208,0.163564,,1.27152,,,,,,0.0895558,0.123115,
,10.6,1.21836,-0.303842,0.166943,,1.7517,,,,,,0.133169,0.117604,
,10.6,1.18751,-0.305723,0.160472,,1.97004,,,,,,0.229122,0.103194,
,10.6,1.19514,-0.30405,0.160234,,2.16303,,,,,,0.151947,0.111326,
,10.6,1.21379,-0.307527,0.158525,,2.36362,,,,,,0.0154519,0.112687,
,10.6,1.21661,-0.310683,0.153711,,2.55042,,,,,,0.023972,0.0854336,
,10.6,1.22663,-0.311731,0.153274,,2.73375,,,,,,0.173589,0.084495,
,10.6,1.20748,-0.315304,0.151686,,2.91244,,,,,,-0.180139,0.100208,
,10.6,1.20037,-0.322646,0.153405,,3.10497,,,,,,0.0458699,0.0841583,
,10.6,1.20439,-0.309154,0.153378,,3.29864,,,,,,-0.0561159,0.107109,
,10.6,1.18909,-0.320523,0.154762,,3.4922,,,,,,-0.0842423,0.0887338,
,10.6,1.2181,-0.309865,0.155232,,3.67071,,,,,,0.107171,0.0969639,
,10.6,1.1904,-0.314325,0.161021,,3.89175,,,,,,-0.0153734,0.109757,
,10.6,1.20404,-0.312265,0.160814,,4.21246,,,,,,0.0282101,0.125664,
,10.6,1.19125,-0.350276,0.161629,,4.58237,,,,,,-0.231368,0.14966,
,10.6,1.19104,-0.342031,0.159915,,4.87839,,,,,,-0.291731,0.125978,
,10.6,1.18958,-0.32817,0.157857,,5.19677,,,,,,-0.333396,0.107416,
,10.6,1.18489,-0.348686,0.154655,,5.44171,,,,,,-0.308636,0.0955393,
,10.6,1.19651,-0.369079,0.153523,,5.70817,,,,,,-0.279221,0.086342,
,10.6,1.23062,-0.342307,0.147092,,6.15069,,,,,,-0.0272579,0.0277363,
,10.6,1.2123,-0.330858,0.234882,,0.0906475,,,,,,-0.0168883,0.0886718,
,10.6,1.24987,-0.320014,0.241202,,0.332238,,,,,,0.241084,0.0755443,
,10.6,1.26973,-0.326206,0.248088,,0.846918,,,,,,0.108479,0.157647,
,10.6,1.19305,-0.355053,0.231327,,2.01832,,,,,,0.103166,0.197125,
,10.6,1.2464,-0.359478,0.242437,,4.61031,,,,,,-0.35183,0.296074,
,10.6,1.20145,-0.376674,0.23765,,5.3033,,,,,,-0.00844682,0.150572,
,10.6,1.24102,-0.330393,0.240991,,6.10745,,,,,,-0.067066,0.0715668,
,10.6,1.07899,-0.677204,0.100203,,0.259406,,,,,,0.0184197,0.0568613,
,10.6,1.15545,-0.605954,0.101123,,0.42126,,,,,,0.107098,0.0165088,
,10.6,1.1817,-0.539581,0.0884375,,0.591279,,,,,,0.0659403,0.0162303,
,10.6,1.17953,-0.496122,0.0835573,,0.766538,,,,,,0.0887407,0.0298377,
,10.6,1.14377,-0.521142,0.0963899,,0.960492,,,,,,0.236076,0.051841,
,10.6,1.14956,-0.569869,0.107063,,1.15889,,,,,,0.243359,0.0646125,
,10.6,1.17611,-0.579818,0.103671,,1.35817,,,,,,0.285523,0.0730006,
,10.6,1.15759,-0.595304,0.103033,,1.79238,,,,,,-0.00907658,0.11479,
,10.6,1.15934,-0.519428,0.0987094,,2.18711,,,,,,-0.049887,0.103501,
,10.6,1.15978,-0.539456,0.0958013,,2.42914,,,,,,0.0369868,0.0942393,
,10.6,1.17395,-0.546406,0.0962247,,2.60659,,,,,,0.189639,0.0622003,
,10.6,1.16797,-0.547964,0.0992283,,2.79856,,,,,,0.0178736,0.0654931,
,10.6,1.16625,-0.550906,0.0979716,,2.98036,,,,,,-0.166659,0.0746628,
,10.6,1.16517,-0.565623,0.0971619,,3.1729,,,,,,0.280896,0.0608324,
,10.6,1.16145,-0.560152,0.103037,,3.36125,,,,,,-0.0145401,0.111188,
,10.6,1.17117,-0.558237,0.105033,,3.57406,,,,,,-0.0101048,0.097186,
,10.6,1.17547,-0.55511,0.100762,,3.93635,,,,,,-0.15438,0.104113,
,10.6,1.16017,-0.553584,0.0935493,,4.27993,,,,,,-0.102152,0.102915,
