bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,2.36,2.161,0.171,0.336,,7.5,,,,,,0.1207,0.0047,0.0047,0.0009,0.0004,https://doi.org/10.1103/PhysRevC.92.055202
,2.36,2.161,0.171,0.336,,22.5,,,,,,0.1325,0.0049,0.0049,0.0037,0,
,2.36,2.161,0.171,0.336,,37.5,,,,,,0.1187,0.0045,0.0045,0.0028,0,
,2.36,2.161,0.171,0.336,,52.5,,,,,,0.0998,0.0041,0.0041,0.0013,0.0019,
,2.36,2.161,0.171,0.336,,67.5,,,,,,0.0884,0.0038,0.0038,0,0.0055,
,2.36,2.161,0.171,0.336,,82.5,,,,,,0.0814,0.0036,0.0036,0.0005,0.0007,
,2.36,2.161,0.171,0.336,,97.5,,,,,,0.0627,0.0031,0.0031,0.0015,0.0008,
,2.36,2.161,0.171,0.336,,112.5,,,,,,0.0613,0.003,0.003,0.0006,0.0015,
,2.36,2.161,0.171,0.336,,127.5,,,,,,0.0581,0.003,0.003,0.0005,0.0019,
,2.36,2.161,0.171,0.336,,142.5,,,,,,0.0529,0.0027,0.0027,0.0028,0,
,2.36,2.161,0.171,0.336,,157.5,,,,,,0.0439,0.0026,0.0026,0.0002,0.0008,
,2.36,2.161,0.171,0.336,,172.5,,,,,,0.0454,0.0025,0.0025,0,0.0012,
,2.36,2.161,0.171,0.336,,187.5,,,,,,0.041,0.0024,0.0024,0.0009,0.0001,
,2.36,2.161,0.171,0.336,,202.5,,,,,,0.0442,0.0025,0.0025,0.0009,0.0009,
,2.36,2.161,0.171,0.336,,217.5,,,,,,0.0516,0.0027,0.0027,0.0008,0.0008,
,2.36,2.161,0.171,0.336,,232.5,,,,,,0.0577,0.0029,0.0029,0.0006,0.0008,
,2.36,2.161,0.171,0.336,,247.5,,,,,,0.0569,0.0029,0.0029,0.0001,0.0023,
,2.36,2.161,0.171,0.336,,262.5,,,,,,0.0693,0.0032,0.0032,0,0.0037,
,2.36,2.161,0.171,0.336,,277.5,,,,,,0.077,0.0035,0.0035,0.0007,0.0004,
,2.36,2.161,0.171,0.336,,292.5,,,,,,0.0955,0.0039,0.0039,0.0025,0,
,2.36,2.161,0.171,0.336,,307.5,,,,,,0.1031,0.004,0.004,0.0048,0,
,2.36,2.161,0.171,0.336,,322.5,,,,,,0.1141,0.0044,0.0044,0.0004,0.0017,
,2.36,2.161,0.171,0.336,,337.5,,,,,,0.1178,0.0046,0.0046,0.002,0.0006,
,2.36,2.161,0.171,0.336,,352.5,,,,,,0.1203,0.0048,0.0048,0.0002,0.0007,
,2.36,2.19,0.231,0.342,,7.5,,,,,,0.1001,0.0076,0.0076,0.0021,0.0025,
,2.36,2.19,0.231,0.342,,22.5,,,,,,0.1069,0.0068,0.0068,0.0045,0.0005,
,2.36,2.19,0.231,0.342,,37.5,,,,,,0.0939,0.0061,0.0061,0.0002,0.0016,
,2.36,2.19,0.231,0.342,,52.5,,,,,,0.0769,0.005,0.005,0.0001,0.0027,
,2.36,2.19,0.231,0.342,,67.5,,,,,,0.0677,0.0045,0.0045,0.0022,0.0013,
,2.36,2.19,0.231,0.342,,82.5,,,,,,0.0551,0.0039,0.0039,0.0036,0,
,2.36,2.19,0.231,0.342,,97.5,,,,,,0.0538,0.0037,0.0037,0.0012,0.0007,
,2.36,2.19,0.231,0.342,,112.5,,,,,,0.0403,0.0031,0.0031,0.0007,0.0007,
,2.36,2.19,0.231,0.342,,127.5,,,,,,0.0373,0.0028,0.0028,0,0.0037,
,2.36,2.19,0.231,0.342,,142.5,,,,,,0.0336,0.0027,0.0027,0,0.0017,
,2.36,2.19,0.231,0.342,,157.5,,,,,,0.0344,0.0028,0.0028,0.0007,0.0006,
,2.36,2.19,0.231,0.342,,172.5,,,,,,0.0319,0.0026,0.0026,0.0002,0.0006,
,2.36,2.19,0.231,0.342,,187.5,,,,,,0.0326,0.0027,0.0027,0.0005,0.0003,
,2.36,2.19,0.231,0.342,,202.5,,,,,,0.0371,0.0028,0.0028,0,0.0016,
,2.36,2.19,0.231,0.342,,217.5,,,,,,0.0395,0.0029,0.0029,0.0001,0.002,
,2.36,2.19,0.231,0.342,,232.5,,,,,,0.0415,0.003,0.003,0.0011,0,
,2.36,2.19,0.231,0.342,,247.5,,,,,,0.043,0.0031,0.0031,0.0014,0,
,2.36,2.19,0.231,0.342,,262.5,,,,,,0.0509,0.0035,0.0035,0,0.0008,
,2.36,2.19,0.231,0.342,,277.5,,,,,,0.0542,0.0037,0.0037,0.0005,0.002,
,2.36,2.19,0.231,0.342,,292.5,,,,,,0.0678,0.0042,0.0042,0,0.0014,
,2.36,2.19,0.231,0.342,,307.5,,,,,,0.0842,0.0048,0.0048,0,0.0066,
,2.36,2.19,0.231,0.342,,322.5,,,,,,0.0907,0.0055,0.0055,0,0.0065,
,2.36,2.19,0.231,0.342,,337.5,,,,,,0.0838,0.0066,0.0066,0,0.0056,
,2.36,2.19,0.231,0.342,,352.5,,,,,,0.0879,0.0074,0.0074,0,0.0109,
,2.36,2.194,0.278,0.343,,7.5,,,,,,,,,,,
,2.36,2.194,0.278,0.343,,22.5,,,,,,,,,,,
,2.36,2.194,0.278,0.343,,37.5,,,,,,0.0587,0.007,0.007,0.0011,0.0043,
,2.36,2.194,0.278,0.343,,52.5,,,,,,0.0593,0.0058,0.0058,0.0015,0.0011,
,2.36,2.194,0.278,0.343,,67.5,,,,,,0.0544,0.0051,0.0051,0.0009,0.0009,
,2.36,2.194,0.278,0.343,,82.5,,,,,,0.0478,0.0042,0.0042,0,0.0026,
,2.36,2.194,0.278,0.343,,97.5,,,,,,0.0367,0.0036,0.0036,0.0018,0,
,2.36,2.194,0.278,0.343,,112.5,,,,,,0.0365,0.0033,0.0033,0,0.0014,
,2.36,2.194,0.278,0.343,,127.5,,,,,,0.0259,0.0026,0.0026,0,0.0012,
