bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,2.36,2.194,0.278,0.343,,142.5,,,,,,0.0273,0.0027,0.0027,0.001,0.0005,
,2.36,2.194,0.278,0.343,,157.5,,,,,,0.0292,0.0028,0.0028,0,0.0028,
,2.36,2.194,0.278,0.343,,172.5,,,,,,0.0299,0.0028,0.0028,0.0003,0.0002,
,2.36,2.194,0.278,0.343,,187.5,,,,,,0.0277,0.0028,0.0028,0.0001,0.0021,
,2.36,2.194,0.278,0.343,,202.5,,,,,,0.0237,0.0026,0.0026,0.0001,0.0005,
,2.36,2.194,0.278,0.343,,217.5,,,,,,0.0312,0.0028,0.0028,0.0011,0.0007,
,2.36,2.194,0.278,0.343,,232.5,,,,,,0.0334,0.0029,0.0029,0,0.0019,
,2.36,2.194,0.278,0.343,,247.5,,,,,,0.0309,0.003,0.003,0.0015,0.0004,
,2.36,2.194,0.278,0.343,,262.5,,,,,,0.0364,0.0034,0.0034,0.0007,0.0012,
,2.36,2.194,0.278,0.343,,277.5,,,,,,0.0485,0.0039,0.0039,0.0004,0.0018,
,2.36,2.194,0.278,0.343,,292.5,,,,,,0.0516,0.0043,0.0043,0.0033,0.0002,
,2.36,2.194,0.278,0.343,,307.5,,,,,,0.0603,0.0054,0.0054,0.0002,0.0039,
,2.36,2.194,0.278,0.343,,322.5,,,,,,0.0622,0.0064,0.0064,0,0.0086,
,2.36,2.194,0.278,0.343,,337.5,,,,,,,,,,,
,2.36,2.194,0.278,0.343,,352.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,7.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,22.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,37.5,,,,,,0.0538,0.0101,0.0101,0.0007,0.0093,
,2.36,2.191,0.324,0.342,,52.5,,,,,,0.0486,0.0073,0.0073,0.0083,0.0003,
,2.36,2.191,0.324,0.342,,67.5,,,,,,0.0558,0.0062,0.0062,0.0065,0,
,2.36,2.191,0.324,0.342,,82.5,,,,,,0.0342,0.0044,0.0044,0.0007,0.0018,
,2.36,2.191,0.324,0.342,,97.5,,,,,,0.0309,0.0038,0.0038,0,0.0011,
,2.36,2.191,0.324,0.342,,112.5,,,,,,0.0286,0.0034,0.0034,0,0.0012,
,2.36,2.191,0.324,0.342,,127.5,,,,,,0.0276,0.0031,0.0031,0.0008,0.0006,
,2.36,2.191,0.324,0.342,,142.5,,,,,,0.0267,0.003,0.003,0,0.002,
,2.36,2.191,0.324,0.342,,157.5,,,,,,0.0248,0.0028,0.0028,0.001,0,
,2.36,2.191,0.324,0.342,,172.5,,,,,,0.0235,0.0028,0.0028,0.0017,0,
,2.36,2.191,0.324,0.342,,187.5,,,,,,0.0216,0.0028,0.0028,0.0014,0,
,2.36,2.191,0.324,0.342,,202.5,,,,,,0.0292,0.003,0.003,0,0.0031,
,2.36,2.191,0.324,0.342,,217.5,,,,,,0.023,0.0027,0.0027,0,0.0021,
,2.36,2.191,0.324,0.342,,232.5,,,,,,0.0293,0.003,0.003,0,0.0009,
,2.36,2.191,0.324,0.342,,247.5,,,,,,0.0214,0.0031,0.0031,0.0005,0.0007,
,2.36,2.191,0.324,0.342,,262.5,,,,,,0.0304,0.0039,0.0039,0.0006,0.0003,
,2.36,2.191,0.324,0.342,,277.5,,,,,,0.0436,0.0044,0.0044,0.0001,0.0032,
,2.36,2.191,0.324,0.342,,292.5,,,,,,0.055,0.0056,0.0056,0.0009,0.0012,
,2.36,2.191,0.324,0.342,,307.5,,,,,,0.0395,0.0062,0.0062,0.0005,0.0029,
,2.36,2.191,0.324,0.342,,322.5,,,,,,0.0701,0.0099,0.0099,0,0.0076,
,2.36,2.191,0.324,0.342,,337.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,352.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,7.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,22.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,37.5,,,,,,0.0688,0.0213,0.0213,0.0009,0.0146,
,2.36,2.193,0.371,0.342,,52.5,,,,,,0.0371,0.0104,0.0104,0.0016,0.0097,
,2.36,2.193,0.371,0.342,,67.5,,,,,,0.0406,0.007,0.007,0.0062,0,
,2.36,2.193,0.371,0.342,,82.5,,,,,,0.029,0.005,0.005,0.0021,0.001,
,2.36,2.193,0.371,0.342,,97.5,,,,,,0.027,0.0043,0.0043,0.0002,0.0029,
,2.36,2.193,0.371,0.342,,112.5,,,,,,0.021,0.0035,0.0035,0,0.0031,
,2.36,2.193,0.371,0.342,,127.5,,,,,,0.0188,0.0029,0.0029,0.0001,0.0034,
,2.36,2.193,0.371,0.342,,142.5,,,,,,0.0179,0.0028,0.0028,0.0005,0.0009,
,2.36,2.193,0.371,0.342,,157.5,,,,,,0.0187,0.003,0.003,0.0016,0,
,2.36,2.193,0.371,0.342,,172.5,,,,,,0.0172,0.0032,0.0032,0.0011,0.0003,
,2.36,2.193,0.371,0.342,,187.5,,,,,,0.0162,0.0029,0.0029,0.0022,0,
,2.36,2.193,0.371,0.342,,202.5,,,,,,0.0213,0.003,0.003,0.0021,0.0005,
,2.36,2.193,0.371,0.342,,217.5,,,,,,0.0177,0.0028,0.0028,0.0001,0.0008,
,2.36,2.193,0.371,0.342,,232.5,,,,,,0.0242,0.003,0.003,0,0.0013,
,2.36,2.193,0.371,0.342,,247.5,,,,,,0.0225,0.0034,0.0034,0.0004,0.0039,
,2.36,2.193,0.371,0.342,,262.5,,,,,,0.0181,0.0036,0.0036,0,0.0026,
,2.36,2.193,0.371,0.342,,277.5,,,,,,0.0328,0.0045,0.0045,0,0.0025,
,2.36,2.193,0.371,0.342,,292.5,,,,,,0.0355,0.0063,0.0063,0.002,0.0019,
,2.36,2.193,0.371,0.342,,307.5,,,,,,0.0431,0.0087,0.0087,0.0041,0.0003,
,2.36,2.193,0.371,0.342,,322.5,,,,,,0.0496,0.0155,0.0155,0.0036,0.0108,
,2.36,2.193,0.371,0.342,,337.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,352.5,,,,,,,,,,,
