bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D4_sigma (nb/Gev^4),D4_sigma_stat_plus,D4_sigma_stat_minus,D4_sigma_sys_plus,D4_sigma_sys_minus,link
,,1.13,0.261,0.125,,217.7,,,,,,0.47978,0.0370265,0.0370265,0.034939,0.034939,
,,1.13,0.261,0.125,,232.8,,,,,,0.516162,0.0400076,0.0400076,0.0575079,0.0575079,
,,1.13,0.261,0.125,,247.8,,,,,,0.640022,0.0514851,0.0514851,0.048953,0.048953,
,,1.13,0.261,0.125,,262.9,,,,,,0.75071,0.043088,0.043088,0.0490769,0.0490769,
,,1.13,0.261,0.125,,278,,,,,,1.11892,0.0588015,0.0588015,0.0791653,0.0791653,
,,1.129,0.262,0.125,,293.1,,,,,,1.58164,0.0803197,0.0803197,0.0977619,0.0977619,
,,1.129,0.263,0.125,,307.9,,,,,,1.95523,0.144641,0.144641,0.200922,0.200922,
,,1.13,0.34,0.125,,51.7,,,,,,1.46259,0.0723992,0.0723992,0.0918339,0.0918339,
,,1.13,0.34,0.125,,66.9,,,,,,0.888656,0.0488724,0.0488724,0.0557754,0.0557754,
,,1.13,0.34,0.125,,82,,,,,,0.673452,0.0424445,0.0424445,0.0501536,0.0501536,
,,1.13,0.34,0.125,,97.1,,,,,,0.395096,0.0245319,0.0245319,0.0266732,0.0266732,
,,1.131,0.34,0.125,,112.2,,,,,,0.352406,0.0256813,0.0256813,0.0246702,0.0246702,
,,1.131,0.34,0.125,,127.2,,,,,,0.260838,0.0249399,0.0249399,0.0264029,0.0264029,
,,1.131,0.34,0.125,,142.3,,,,,,0.246555,0.0241467,0.0241467,0.0199389,0.0199389,
,,1.131,0.34,0.125,,157.4,,,,,,0.234094,0.021329,0.021329,0.0216625,0.0216625,
,,1.131,0.34,0.125,,172.5,,,,,,0.270297,0.0268189,0.0268189,0.0185106,0.0185106,
,,1.131,0.34,0.125,,187.5,,,,,,0.191583,0.0206747,0.0206747,0.0379855,0.0379855,
,,1.131,0.34,0.125,,217.7,,,,,,0.293611,0.0265269,0.0265269,0.0178094,0.0178094,
,,1.131,0.34,0.125,,232.8,,,,,,0.333625,0.0321128,0.0321128,0.0336783,0.0336783,
,,1.131,0.34,0.125,,247.8,,,,,,0.341955,0.0342719,0.0342719,0.0277578,0.0277578,
,,1.13,0.34,0.125,,262.9,,,,,,0.371941,0.025089,0.025089,0.0277056,0.0277056,
,,1.13,0.34,0.125,,278,,,,,,0.695075,0.0400256,0.0400256,0.0448194,0.0448194,
,,1.13,0.34,0.125,,293.1,,,,,,0.963737,0.0495937,0.0495937,0.0655101,0.0655101,
,,1.13,0.34,0.125,,308.3,,,,,,1.22134,0.0695217,0.0695217,0.0814237,0.0814237,
,,1.126,0.451,0.125,,37.5,,,,,,1.41373,0.0928492,0.0928492,0.0944686,0.0944686,
,,1.13,0.446,0.125,,51.8,,,,,,0.817795,0.0369567,0.0369567,0.0509095,0.0509095,
,,1.13,0.446,0.125,,66.9,,,,,,0.496174,0.0333689,0.0333689,0.032749,0.032749,
,,1.131,0.446,0.125,,82,,,,,,0.307991,0.0248439,0.0248439,0.0292446,0.0292446,
,,1.131,0.446,0.125,,97.1,,,,,,0.218145,0.01602,0.01602,0.0176416,0.0176416,
,,1.131,0.446,0.125,,112.2,,,,,,0.188129,0.0146499,0.0146499,0.0199989,0.0199989,
,,1.131,0.446,0.125,,127.2,,,,,,0.179253,0.0188259,0.0188259,0.0132623,0.0132623,
,,1.131,0.446,0.125,,142.3,,,,,,0.136888,0.0154402,0.0154402,0.0153123,0.0153123,
