bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D4_sigma (nb/Gev^4),D4_sigma_stat_plus,D4_sigma_stat_minus,D4_sigma_sys_plus,D4_sigma_sys_minus,link
,,1.685,0.153,0.214,,97.2,,,,,,0.444196,0.0279152,0.0279152,0.0284857,0.0284857,
,,1.686,0.153,0.214,,112.2,,,,,,0.34964,0.0258739,0.0258739,0.0244244,0.0244244,
,,1.686,0.153,0.214,,127.3,,,,,,0.186114,0.0184786,0.0184786,0.0147126,0.0147126,
,,1.686,0.153,0.214,,142.3,,,,,,0.249632,0.0272699,0.0272699,0.0206536,0.0206536,
,,1.687,0.153,0.214,,157.4,,,,,,0.220766,0.0201399,0.0201399,0.021229,0.021229,
,,1.687,0.153,0.214,,172.5,,,,,,0.211263,0.0218037,0.0218037,0.0147253,0.0147253,
,,1.687,0.153,0.214,,187.5,,,,,,0.189764,0.0217638,0.0217638,0.0148407,0.0148407,
,,1.687,0.153,0.214,,202.6,,,,,,0.126799,0.0126555,0.0126555,0.01105,0.01105,
,,1.686,0.153,0.214,,217.7,,,,,,0.21908,0.0196369,0.0196369,0.0136547,0.0136547,
,,1.686,0.153,0.214,,232.7,,,,,,0.245438,0.0218319,0.0218319,0.0252541,0.0252541,
,,1.686,0.153,0.214,,247.8,,,,,,0.393661,0.0343919,0.0343919,0.0481374,0.0481374,
,,1.685,0.153,0.214,,262.8,,,,,,0.438325,0.0265791,0.0265791,0.0304513,0.0304513,
,,1.685,0.153,0.214,,277.9,,,,,,0.524036,0.0286252,0.0286252,0.0386019,0.0386019,
,,1.684,0.153,0.214,,292.9,,,,,,0.947167,0.0564631,0.0564631,0.0628794,0.0628794,
,,1.683,0.154,0.214,,308,,,,,,0.963367,0.0455975,0.0455975,0.0779483,0.0779483,
,,1.683,0.154,0.214,,322.9,,,,,,1.31005,0.0463993,0.0463993,0.0794707,0.0794707,
,,1.682,0.155,0.214,,337.8,,,,,,1.58367,0.0522251,0.0522251,0.10119,0.10119,
,,1.68,0.154,0.214,,352.6,,,,,,1.9577,0.0845593,0.0845593,0.119558,0.119558,
,,1.679,0.204,0.214,,22.4,,,,,,1.93996,0.0811666,0.0811666,0.118564,0.118564,
,,1.683,0.204,0.214,,36.9,,,,,,1.01091,0.0379107,0.0379107,0.0606135,0.0606135,
,,1.684,0.204,0.214,,51.9,,,,,,0.710306,0.0308116,0.0308116,0.0463857,0.0463857,
,,1.684,0.203,0.214,,67,,,,,,0.502106,0.0308711,0.0308711,0.0412478,0.0412478,
,,1.685,0.203,0.214,,82.1,,,,,,0.392019,0.0294397,0.0294397,0.0280378,0.0280378,
,,1.685,0.203,0.214,,97.1,,,,,,0.306622,0.0230164,0.0230164,0.0191585,0.0191585,
,,1.686,0.203,0.214,,112.2,,,,,,0.246931,0.0181917,0.0181917,0.0172967,0.0172967,
,,1.686,0.203,0.214,,127.2,,,,,,0.153257,0.0194894,0.0194894,0.0205626,0.0205626,
,,1.687,0.203,0.214,,142.3,,,,,,0.194315,0.0280406,0.0280406,0.0134615,0.0134615,
,,1.687,0.203,0.214,,157.4,,,,,,0.0941469,0.0100341,0.0100341,0.00768377,0.00768377,
,,1.687,0.203,0.214,,172.5,,,,,,0.116095,0.0126163,0.0126163,0.0117736,0.0117736,
,,1.687,0.203,0.214,,187.5,,,,,,0.11721,0.0162333,0.0162333,0.0139046,0.0139046,
,,1.687,0.203,0.214,,202.6,,,,,,0.163938,0.0205571,0.0205571,0.0144025,0.0144025,
,,1.687,0.203,0.214,,217.7,,,,,,0.15422,0.0147058,0.0147058,0.0115338,0.0115338,
,,1.686,0.203,0.214,,232.8,,,,,,0.204749,0.0247267,0.0247267,0.0159935,0.0159935,
,,1.686,0.203,0.214,,247.8,,,,,,0.214385,0.0196668,0.0196668,0.0172757,0.0172757,
,,1.685,0.203,0.214,,262.9,,,,,,0.276508,0.018753,0.018753,0.0249857,0.0249857,
,,1.685,0.203,0.214,,277.9,,,,,,0.307947,0.0182823,0.0182823,0.021905,0.021905,
,,1.684,0.203,0.214,,293,,,,,,0.55262,0.0343518,0.0343518,0.0424618,0.0424618,
,,1.684,0.204,0.214,,308.1,,,,,,0.716357,0.0384245,0.0384245,0.0449034,0.0449034,
,,1.683,0.204,0.214,,323.1,,,,,,1.04547,0.0410769,0.0410769,0.0690669,0.0690669,
,,1.679,0.204,0.214,,337.6,,,,,,1.69545,0.0648525,0.0648525,0.110107,0.110107,
,,1.683,0.263,0.214,,36.8,,,,,,1.02351,0.0360528,0.0360528,0.062923,0.062923,
,,1.684,0.263,0.214,,51.8,,,,,,0.530455,0.0219866,0.0219866,0.0322291,0.0322291,
,,1.684,0.262,0.214,,66.9,,,,,,0.351773,0.021677,0.021677,0.0210322,0.0210322,
,,1.685,0.262,0.214,,82,,,,,,0.264824,0.0189996,0.0189996,0.0179901,0.0179901,
,,1.686,0.262,0.214,,97.1,,,,,,0.183517,0.0129894,0.0129894,0.0153081,0.0153081,
,,1.686,0.262,0.214,,112.2,,,,,,0.175903,0.0142905,0.0142905,0.0120065,0.0120065,
,,1.687,0.262,0.214,,127.2,,,,,,0.141554,0.0166015,0.0166015,0.0159522,0.0159522,
,,1.687,0.262,0.214,,142.3,,,,,,0.124429,0.0192191,0.0192191,0.0099575,0.0099575,
,,1.687,0.262,0.214,,157.4,,,,,,0.0948819,0.0116565,0.0116565,0.00727039,0.00727039,
,,1.687,0.262,0.214,,172.5,,,,,,0.0549179,0.00908426,0.00908426,0.00624787,0.00624787,
,,1.687,0.262,0.214,,187.5,,,,,,0.0699279,0.0115496,0.0115496,0.00494512,0.00494512,
,,1.687,0.262,0.214,,202.6,,,,,,0.0910117,0.0125115,0.0125115,0.00766034,0.00766034,
,,1.687,0.262,0.214,,217.7,,,,,,0.101172,0.010604,0.010604,0.00716295,0.00716295,
,,1.687,0.262,0.214,,232.8,,,,,,0.131614,0.0150431,0.0150431,0.00931658,0.00931658,
,,1.686,0.262,0.214,,247.8,,,,,,0.123723,0.0119306,0.0119306,0.0104832,0.0104832,
,,1.686,0.262,0.214,,262.9,,,,,,0.160835,0.0121793,0.0121793,0.0110954,0.0110954,
,,1.685,0.262,0.214,,278,,,,,,0.262657,0.0161617,0.0161617,0.0210645,0.0210645,
,,1.684,0.262,0.214,,293.1,,,,,,0.354151,0.0230877,0.0230877,0.0282889,0.0282889,
,,1.684,0.263,0.214,,308.2,,,,,,0.588819,0.032919,0.032919,0.045144,0.045144,
,,1.683,0.263,0.214,,323.2,,,,,,0.932636,0.0348895,0.0348895,0.0710451,0.0710451,
,,1.683,0.342,0.214,,36.6,,,,,,0.628714,0.023871,0.023871,0.037655,0.037655,
,,1.684,0.341,0.214,,51.8,,,,,,0.321769,0.0142399,0.0142399,0.0207702,0.0207702,
,,1.684,0.341,0.214,,66.9,,,,,,0.240912,0.0155363,0.0155363,0.014841,0.014841,
,,1.685,0.341,0.214,,82,,,,,,0.185527,0.0165716,0.0165716,0.0110454,0.0110454,
,,1.686,0.341,0.214,,97.1,,,,,,0.0978595,0.00827622,0.00827622,0.00793225,0.00793225,
,,1.686,0.34,0.214,,112.2,,,,,,0.0784283,0.0072512,0.0072512,0.0107507,0.0107507,
,,1.687,0.34,0.214,,127.2,,,,,,0.087302,0.0120145,0.0120145,0.0062967,0.0062967,
,,1.687,0.34,0.214,,142.3,,,,,,0.0584146,0.0129788,0.0129788,0.0138927,0.0138927,
,,1.687,0.34,0.215,,157.4,,,,,,0.0753,0.0208094,0.0208094,0.0150112,0.0150112,
,,1.687,0.34,0.215,,172.5,,,,,,0.0537651,0.0159489,0.0159489,0.0132403,0.0132403,
,,1.687,0.34,0.215,,187.5,,,,,,0.0340283,0.0105417,0.0105417,0.00555175,0.00555175,
,,1.687,0.34,0.215,,202.6,,,,,,0.0721205,0.0158678,0.0158678,0.00517051,0.00517051,
,,1.687,0.34,0.214,,232.8,,,,,,0.0925368,0.0124424,0.0124424,0.00734667,0.00734667,
,,1.686,0.34,0.214,,247.8,,,,,,0.0956256,0.0115671,0.0115671,0.0135035,0.0135035,
,,1.686,0.341,0.214,,262.9,,,,,,0.103168,0.00868771,0.00868771,0.00711307,0.00711307,
,,1.685,0.341,0.214,,278,,,,,,0.161536,0.0116433,0.0116433,0.0122073,0.0122073,
,,1.684,0.341,0.214,,293.1,,,,,,0.240113,0.0162539,0.0162539,0.0169394,0.0169394,
,,1.684,0.341,0.214,,308.2,,,,,,0.331657,0.0194443,0.0194443,0.0319422,0.0319422,
,,1.683,0.342,0.214,,323.4,,,,,,0.646993,0.027474,0.027474,0.0597374,0.0597374,
,,1.682,0.449,0.214,,36.5,,,,,,0.371549,0.0145871,0.0145871,0.0225923,0.0225923,
,,1.683,0.448,0.214,,51.7,,,,,,0.227984,0.0115964,0.0115964,0.0161787,0.0161787,
,,1.684,0.448,0.214,,66.8,,,,,,0.140268,0.00966761,0.00966761,0.0098823,0.0098823,
,,1.685,0.447,0.215,,81.9,,,,,,0.113643,0.0106872,0.0106872,0.00872004,0.00872004,
,,1.686,0.447,0.215,,97,,,,,,0.0632555,0.00634325,0.00634325,0.00800122,0.00800122,
,,1.686,0.447,0.215,,112.1,,,,,,0.0701116,0.0083805,0.0083805,0.00740028,0.00740028,
,,1.687,0.447,0.215,,127.2,,,,,,0.0600614,0.0116662,0.0116662,0.0167989,0.0167989,
,,1.687,0.447,0.215,,142.3,,,,,,0.0822407,0.0490614,0.0490614,0.00580167,0.00580167,
,,1.687,0.447,0.215,,217.7,,,,,,0.0315484,0.0103572,0.0103572,0.00470559,0.00470559,
,,1.687,0.447,0.215,,232.8,,,,,,0.0659971,0.0144133,0.0144133,0.00765883,0.00765883,
,,1.686,0.447,0.215,,247.9,,,,,,0.0657784,0.010039,0.010039,0.0108708,0.0108708,
,,1.686,0.447,0.215,,263,,,,,,0.0663415,0.00666764,0.00666764,0.00554253,0.00554253,
,,1.685,0.447,0.215,,278.1,,,,,,0.0840383,0.00668978,0.00668978,0.00574194,0.00574194,
,,1.684,0.448,0.214,,293.2,,,,,,0.150575,0.0110044,0.0110044,0.0107372,0.0107372,
,,1.683,0.448,0.214,,308.3,,,,,,0.234145,0.0152161,0.0152161,0.0152628,0.0152628,
,,1.682,0.449,0.214,,323.5,,,,,,0.361553,0.0167318,0.0167318,0.157746,0.157746,
,,1.682,0.606,0.215,,36.3,,,,,,0.198478,0.00860521,0.00860521,0.0134708,0.0134708,
,,1.683,0.606,0.215,,51.6,,,,,,0.101908,0.00556924,0.00556924,0.00630148,0.00630148,
,,1.684,0.605,0.215,,66.8,,,,,,0.0592238,0.00475871,0.00475871,0.00492689,0.00492689,
,,1.685,0.605,0.215,,81.9,,,,,,0.0554096,0.00708024,0.00708024,0.00959401,0.00959401,
,,1.686,0.605,0.215,,97,,,,,,0.0386733,0.00563008,0.00563008,0.00934305,0.00934305,
,,1.687,0.604,0.215,,112.1,,,,,,0.0141365,0.0035017,0.0035017,0.00514978,0.00514978,
,,1.687,0.604,0.215,,127.2,,,,,,0.0235798,0.0128453,0.0128453,0.00137493,0.00137493,
,,1.687,0.604,0.215,,247.9,,,,,,0.0227315,0.00514977,0.00514977,0.00721235,0.00721235,
,,1.686,0.605,0.215,,263,,,,,,0.0395297,0.00495268,0.00495268,0.00527281,0.00527281,
,,1.685,0.605,0.215,,278.1,,,,,,0.0381358,0.00341255,0.00341255,0.00283868,0.00283868,
,,1.684,0.605,0.215,,293.2,,,,,,0.0671272,0.00539028,0.00539028,0.00467028,0.00467028,
,,1.683,0.606,0.215,,308.4,,,,,,0.108347,0.00749935,0.00749935,0.00784562,0.00784562,
,,1.682,0.606,0.215,,323.7,,,,,,0.219847,0.0108749,0.0108749,0.0251446,0.0251446,
,,1.673,0.895,0.215,,22.9,,,,,,0.187259,0.0126692,0.0126692,0.0161345,0.0161345,
,,1.681,0.866,0.215,,36.4,,,,,,0.0767925,0.00418758,0.00418758,0.0045813,0.0045813,
,,1.683,0.868,0.215,,51.6,,,,,,0.0375907,0.00269574,0.00269574,0.00246474,0.00246474,
,,1.684,0.868,0.215,,66.8,,,,,,0.0314781,0.00310946,0.00310946,0.00238278,0.00238278,
,,1.685,0.867,0.215,,81.9,,,,,,0.0240537,0.00417699,0.00417699,0.00151835,0.00151835,
,,1.686,0.867,0.215,,97,,,,,,0.0108673,0.00373803,0.00373803,0.00063367,0.00063367,
,,1.688,0.866,0.215,,172.4,,,,,,0.0447497,0.0252344,0.0252344,0.00274262,0.00274262,
,,1.686,0.867,0.215,,263,,,,,,0.0113035,0.0033294,0.0033294,0.00179866,0.00179866,
,,1.685,0.867,0.215,,278.1,,,,,,0.0152823,0.00183362,0.00183362,0.00187347,0.00187347,
,,1.684,0.868,0.215,,293.2,,,,,,0.0256656,0.00252389,0.00252389,0.0017796,0.0017796,
,,1.683,0.868,0.215,,308.4,,,,,,0.0381331,0.00320168,0.00320168,0.00281665,0.00281665,
,,1.681,0.866,0.215,,323.6,,,,,,0.0710799,0.00404035,0.00404035,0.00441619,0.00441619,
,,1.673,0.895,0.215,,337.1,,,,,,0.145484,0.00740449,0.00740449,0.158078,0.158078,
,,1.673,1.364,0.216,,7,,,,,,0.0484962,0.00270339,0.00270339,0.00291063,0.00291063,
,,1.676,1.376,0.215,,21.6,,,,,,0.0291807,0.00254416,0.00254416,0.00183957,0.00183957,
,,1.68,1.383,0.215,,36.5,,,,,,0.014679,0.00138564,0.00138564,0.0017114,0.0017114,
,,1.682,1.385,0.215,,51.6,,,,,,0.0087578,0.00128452,0.00128452,0.000766394,0.000766394,
,,1.684,1.385,0.215,,66.7,,,,,,0.00425004,0.000678198,0.000678198,0.000471426,0.000471426,
,,1.685,1.384,0.214,,81.9,,,,,,0.00331012,0.00173519,0.00173519,0.00185676,0.00185676,
,,1.689,1.384,0.216,,142.4,,,,,,0.0101613,0.00773895,0.00773895,0.00122165,0.00122165,
,,1.687,1.383,0.214,,157.4,,,,,,0.0036738,0.00187265,0.00187265,0.00132023,0.00132023,
,,1.689,1.386,0.215,,187.3,,,,,,0.00379233,0.00146884,0.00146884,0.00147357,0.00147357,
,,1.687,1.383,0.214,,202.6,,,,,,0.00597346,0.00473546,0.00473546,0.00214021,0.00214021,
,,1.687,1.384,0.215,,232.9,,,,,,0.0170907,0.0129106,0.0129106,0.00475819,0.00475819,
,,1.685,1.384,0.214,,278.1,,,,,,0.0144132,0.00664295,0.00664295,0.000926439,0.000926439,
,,1.684,1.385,0.215,,293.3,,,,,,0.00428638,0.000794917,0.000794917,0.000866627,0.000866627,
,,1.682,1.385,0.215,,308.4,,,,,,0.0102989,0.00191212,0.00191212,0.000750243,0.000750243,
,,1.68,1.383,0.215,,323.5,,,,,,0.0194494,0.00206073,0.00206073,0.00230548,0.00230548,
,,1.676,1.376,0.215,,338.4,,,,,,0.0277408,0.00166488,0.00166488,0.00191694,0.00191694,
,,1.673,1.364,0.216,,353,,,,,,0.0488872,0.00248608,0.00248608,0.145585,0.145585,
,,1.904,0.108,0.216,,22.7,,,,,,2.56932,0.175493,0.175493,0.18816,0.18816,
,,1.925,0.109,0.215,,37.5,,,,,,2.11212,0.109168,0.109168,0.128228,0.128228,
,,1.933,0.109,0.214,,52.1,,,,,,1.75708,0.0894038,0.0894038,0.11752,0.11752,
,,1.933,0.109,0.214,,67.1,,,,,,1.23438,0.0823361,0.0823361,0.104368,0.104368,
,,1.934,0.109,0.215,,82.2,,,,,,0.934208,0.0651539,0.0651539,0.0731701,0.0731701,
,,1.934,0.109,0.215,,97.2,,,,,,0.885336,0.0629343,0.0629343,0.0542668,0.0542668,
,,1.935,0.109,0.215,,112.2,,,,,,0.472914,0.035316,0.035316,0.0290534,0.0290534,
,,1.935,0.108,0.215,,127.3,,,,,,0.414703,0.0456978,0.0456978,0.0498619,0.0498619,
,,1.936,0.108,0.215,,142.4,,,,,,0.380396,0.0442961,0.0442961,0.034359,0.034359,
,,1.936,0.108,0.215,,157.4,,,,,,0.364298,0.0367919,0.0367919,0.0264462,0.0264462,
,,1.936,0.108,0.215,,172.5,,,,,,0.338494,0.0371774,0.0371774,0.0274116,0.0274116,
,,1.936,0.108,0.215,,187.5,,,,,,0.274917,0.0329969,0.0329969,0.0408518,0.0408518,
,,1.936,0.108,0.215,,202.6,,,,,,0.44882,0.0415849,0.0415849,0.0301971,0.0301971,
,,1.936,0.108,0.215,,217.6,,,,,,0.526433,0.0489438,0.0489438,0.0376199,0.0376199,
,,1.935,0.108,0.215,,232.7,,,,,,0.424838,0.0408671,0.0408671,0.0333214,0.0333214,
,,1.935,0.109,0.215,,247.8,,,,,,0.698451,0.0610732,0.0610732,0.050373,0.050373,
,,1.934,0.109,0.215,,262.8,,,,,,0.679389,0.0437487,0.0437487,0.0501947,0.0501947,
,,1.934,0.109,0.215,,277.8,,,,,,0.728318,0.0440689,0.0440689,0.0591711,0.0591711,
,,1.933,0.109,0.214,,292.9,,,,,,1.37492,0.0837459,0.0837459,0.106572,0.106572,
,,1.933,0.109,0.214,,307.9,,,,,,1.60086,0.0881788,0.0881788,0.132711,0.132711,
,,1.925,0.109,0.215,,322.5,,,,,,2.04695,0.108625,0.108625,0.154405,0.154405,
,,1.904,0.108,0.216,,337.3,,,,,,2.94164,0.185504,0.185504,0.221983,0.221983,
,,1.908,0.153,0.215,,37.9,,,,,,2.0197,0.102081,0.102081,0.122606,0.122606,
,,1.934,0.154,0.215,,52.1,,,,,,1.38164,0.05725,0.05725,0.0814672,0.0814672,
,,1.934,0.153,0.215,,67.1,,,,,,0.926364,0.0467571,0.0467571,0.0563249,0.0563249,
,,1.934,0.153,0.215,,82.1,,,,,,0.67866,0.0374081,0.0374081,0.0425013,0.0425013,
,,1.935,0.153,0.215,,97.2,,,,,,0.51694,0.0273903,0.0273903,0.0316124,0.0316124,
,,1.935,0.153,0.215,,112.2,,,,,,0.402278,0.0255446,0.0255446,0.0252607,0.0252607,
,,1.936,0.153,0.215,,127.3,,,,,,0.350552,0.0305246,0.0305246,0.02312,0.02312,
,,1.936,0.153,0.215,,142.3,,,,,,0.267996,0.0238296,0.0238296,0.0229958,0.0229958,
,,1.937,0.153,0.215,,157.4,,,,,,0.292294,0.0244225,0.0244225,0.0253298,0.0253298,
,,1.937,0.153,0.215,,172.5,,,,,,0.24747,0.0228685,0.0228685,0.018555,0.018555,
,,1.937,0.153,0.215,,187.5,,,,,,0.241517,0.0244471,0.0244471,0.0172639,0.0172639,
,,1.937,0.153,0.215,,202.6,,,,,,0.306084,0.025776,0.025776,0.0229889,0.0229889,
,,1.936,0.153,0.215,,217.7,,,,,,0.289761,0.021572,0.021572,0.0215498,0.0215498,
,,1.936,0.153,0.215,,232.7,,,,,,0.337914,0.0275687,0.0275687,0.0355844,0.0355844,
,,1.935,0.153,0.215,,247.8,,,,,,0.379756,0.026858,0.026858,0.0249368,0.0249368,
,,1.935,0.153,0.215,,262.8,,,,,,0.614213,0.03244,0.03244,0.0428177,0.0428177,
,,1.934,0.153,0.215,,277.9,,,,,,0.753723,0.0368553,0.0368553,0.0484682,0.0484682,
,,1.934,0.153,0.215,,292.9,,,,,,1.10269,0.0514893,0.0514893,0.0652832,0.0652832,
,,1.934,0.154,0.215,,307.9,,,,,,1.32993,0.0609901,0.0609901,0.105185,0.105185,
,,1.908,0.153,0.215,,322.1,,,,,,1.84248,0.0961174,0.0961174,0.21434,0.21434,
,,1.933,0.204,0.215,,52,,,,,,0.845223,0.0376244,0.0376244,0.0511072,0.0511072,
,,1.934,0.203,0.215,,67,,,,,,0.695719,0.0382835,0.0382835,0.0568325,0.0568325,
,,1.935,0.203,0.215,,82.1,,,,,,0.578473,0.0384148,0.0384148,0.0343567,0.0343567,
,,1.935,0.203,0.215,,97.1,,,,,,0.361316,0.0225472,0.0225472,0.0299738,0.0299738,
,,1.936,0.203,0.215,,112.2,,,,,,0.26638,0.0192297,0.0192297,0.0227904,0.0227904,
,,1.936,0.203,0.215,,127.3,,,,,,0.227379,0.0226558,0.0226558,0.0275008,0.0275008,
,,1.936,0.203,0.215,,142.3,,,,,,0.209424,0.022929,0.022929,0.0178631,0.0178631,
,,1.937,0.203,0.215,,157.4,,,,,,0.142025,0.0129665,0.0129665,0.0103075,0.0103075,
,,1.937,0.203,0.215,,172.5,,,,,,0.161726,0.0156429,0.0156429,0.012647,0.012647,
,,1.937,0.203,0.215,,187.5,,,,,,0.111693,0.013667,0.013667,0.0126213,0.0126213,
,,1.937,0.203,0.215,,202.6,,,,,,0.168108,0.0161694,0.0161694,0.0157707,0.0157707,
,,1.936,0.203,0.215,,217.7,,,,,,0.166353,0.0142323,0.0142323,0.0115636,0.0115636,
,,1.936,0.203,0.215,,232.7,,,,,,0.239414,0.0226418,0.0226418,0.0176833,0.0176833,
,,1.936,0.203,0.215,,247.8,,,,,,0.283647,0.024548,0.024548,0.0180664,0.0180664,
,,1.935,0.203,0.215,,262.9,,,,,,0.351786,0.0217429,0.0217429,0.0239217,0.0239217,
,,1.935,0.203,0.215,,277.9,,,,,,0.475152,0.0251576,0.0251576,0.0306066,0.0306066,
,,1.934,0.203,0.215,,293,,,,,,0.688784,0.0356161,0.0356161,0.0432615,0.0432615,
,,1.933,0.204,0.215,,308,,,,,,0.866855,0.0443988,0.0443988,0.0619938,0.0619938,
,,1.934,0.262,0.215,,51.8,,,,,,0.654098,0.027771,0.027771,0.0409618,0.0409618,
,,1.934,0.262,0.215,,66.9,,,,,,0.443696,0.0233385,0.0233385,0.0276218,0.0276218,
,,1.934,0.262,0.215,,82,,,,,,0.244159,0.0157576,0.0157576,0.0186481,0.0186481,
,,1.935,0.262,0.215,,97.1,,,,,,0.203887,0.0129146,0.0129146,0.019166,0.019166,
,,1.936,0.262,0.215,,112.2,,,,,,0.161523,0.0115176,0.0115176,0.0124878,0.0124878,
,,1.936,0.262,0.215,,127.3,,,,,,0.151207,0.0142677,0.0142677,0.0134679,0.0134679,
,,1.936,0.262,0.215,,142.3,,,,,,0.131107,0.0133821,0.0133821,0.00962988,0.00962988,
,,1.937,0.262,0.215,,157.4,,,,,,0.11372,0.0109845,0.0109845,0.00963593,0.00963593,
,,1.937,0.262,0.215,,172.5,,,,,,0.0808926,0.00812286,0.00812286,0.00734178,0.00734178,
,,1.937,0.262,0.215,,187.5,,,,,,0.123844,0.0150136,0.0150136,0.0208816,0.0208816,
,,1.937,0.262,0.215,,202.6,,,,,,0.0855673,0.00839359,0.00839359,0.00983014,0.00983014,
,,1.936,0.262,0.215,,217.7,,,,,,0.112071,0.0104875,0.0104875,0.0101616,0.0101616,
,,1.936,0.262,0.215,,232.7,,,,,,0.156706,0.0138324,0.0138324,0.0111532,0.0111532,
,,1.936,0.262,0.215,,247.8,,,,,,0.189533,0.0168489,0.0168489,0.0209214,0.0209214,
,,1.935,0.262,0.215,,262.9,,,,,,0.231581,0.0156058,0.0156058,0.0164933,0.0164933,
,,1.934,0.262,0.215,,278,,,,,,0.27617,0.0155166,0.0155166,0.023159,0.023159,
,,1.934,0.262,0.215,,293.1,,,,,,0.428976,0.0223003,0.0223003,0.0261596,0.0261596,
,,1.934,0.262,0.215,,308.2,,,,,,0.651885,0.031893,0.031893,0.0508617,0.0508617,
,,1.933,0.341,0.215,,51.7,,,,,,0.450985,0.0206564,0.0206564,0.0294787,0.0294787,
,,1.933,0.341,0.215,,66.9,,,,,,0.262382,0.0152894,0.0152894,0.0159104,0.0159104,
,,1.934,0.341,0.215,,82,,,,,,0.191865,0.01332,0.01332,0.0127148,0.0127148,
,,1.935,0.34,0.215,,97.1,,,,,,0.102257,0.00781595,0.00781595,0.00672533,0.00672533,
,,1.935,0.34,0.215,,112.2,,,,,,0.111608,0.00895513,0.00895513,0.00774392,0.00774392,
,,1.936,0.34,0.215,,127.3,,,,,,0.0733387,0.00779131,0.00779131,0.0073499,0.0073499,
,,1.937,0.34,0.215,,157.4,,,,,,0.0636118,0.00748619,0.00748619,0.00495166,0.00495166,
,,1.937,0.34,0.215,,172.5,,,,,,0.0453602,0.00541886,0.00541886,0.00358966,0.00358966,
,,1.937,0.34,0.215,,187.5,,,,,,0.0450969,0.00646855,0.00646855,0.00334256,0.00334256,
,,1.937,0.34,0.215,,202.6,,,,,,0.056396,0.0062594,0.0062594,0.00675458,0.00675458,
,,1.936,0.34,0.215,,217.7,,,,,,0.0782286,0.00779181,0.00779181,0.00684593,0.00684593,
,,1.936,0.34,0.215,,232.7,,,,,,0.0914519,0.00895857,0.00895857,0.00755708,0.00755708,
,,1.935,0.34,0.215,,247.8,,,,,,0.09121,0.00850998,0.00850998,0.0069634,0.0069634,
,,1.935,0.34,0.215,,262.9,,,,,,0.133051,0.0100746,0.0100746,0.0106936,0.0106936,
,,1.934,0.341,0.215,,278,,,,,,0.153561,0.00905936,0.00905936,0.0119805,0.0119805,
,,1.933,0.341,0.215,,293.1,,,,,,0.253365,0.0143209,0.0143209,0.0238173,0.0238173,
,,1.933,0.341,0.215,,308.3,,,,,,0.437996,0.0224785,0.0224785,0.0330194,0.0330194,
,,1.932,0.447,0.215,,51.7,,,,,,0.228099,0.0106159,0.0106159,0.0143636,0.0143636,
,,1.933,0.447,0.215,,66.9,,,,,,0.157073,0.0107338,0.0107338,0.0106142,0.0106142,
,,1.934,0.447,0.215,,82,,,,,,0.118357,0.00982837,0.00982837,0.0126686,0.0126686,
,,1.935,0.447,0.215,,97.1,,,,,,0.0602117,0.00574833,0.00574833,0.00426927,0.00426927,
,,1.935,0.447,0.215,,112.2,,,,,,0.0575417,0.00523219,0.00523219,0.00434173,0.00434173,
,,1.936,0.447,0.215,,127.2,,,,,,0.0573184,0.00805424,0.00805424,0.00521115,0.00521115,
,,1.937,0.447,0.215,,157.4,,,,,,0.0298434,0.00395915,0.00395915,0.00271898,0.00271898,
,,1.937,0.447,0.215,,187.5,,,,,,0.0262294,0.00435391,0.00435391,0.00608214,0.00608214,
,,1.937,0.447,0.215,,202.6,,,,,,0.0348609,0.00541083,0.00541083,0.00253287,0.00253287,
,,1.936,0.447,0.215,,217.7,,,,,,0.0343341,0.0037653,0.0037653,0.00309473,0.00309473,
,,1.936,0.447,0.215,,232.8,,,,,,0.0434255,0.00506073,0.00506073,0.0055592,0.0055592,
,,1.935,0.447,0.215,,247.8,,,,,,0.0615419,0.00760514,0.00760514,0.00676245,0.00676245,
,,1.935,0.447,0.215,,262.9,,,,,,0.0747593,0.00688679,0.00688679,0.00618117,0.00618117,
,,1.934,0.447,0.215,,278,,,,,,0.0900246,0.0062324,0.0062324,0.00694168,0.00694168,
,,1.933,0.447,0.215,,293.1,,,,,,0.122882,0.00779784,0.00779784,0.008296,0.008296,
,,1.932,0.447,0.215,,308.3,,,,,,0.237027,0.0125046,0.0125046,0.026105,0.026105,
,,1.923,0.608,0.215,,36.9,,,,,,0.202322,0.0107029,0.0107029,0.0126426,0.0126426,
,,1.93,0.604,0.215,,51.7,,,,,,0.118539,0.0063497,0.0063497,0.00761063,0.00761063,
,,1.932,0.604,0.215,,66.9,,,,,,0.0549148,0.00425637,0.00425637,0.00422645,0.00422645,
,,1.933,0.604,0.215,,82,,,,,,0.0380389,0.00393794,0.00393794,0.00528594,0.00528594,
,,1.934,0.604,0.215,,97.1,,,,,,0.0270858,0.00285253,0.00285253,0.00264423,0.00264423,
,,1.935,0.604,0.215,,112.2,,,,,,0.0211591,0.00237287,0.00237287,0.00173647,0.00173647,
,,1.936,0.604,0.215,,127.2,,,,,,0.014052,0.00225201,0.00225201,0.00600872,0.00600872,
,,1.936,0.604,0.215,,142.3,,,,,,0.0100164,0.00324762,0.00324762,1427.17,1427.17,
,,1.937,0.604,0.215,,157.4,,,,,,0.0150745,0.00332783,0.00332783,0.0133191,0.0133191,
