bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
1,27.6,3,,,82,,15.7,2.5,2.5,3.4,3.4,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
2,27.6,5.25,,,82,,5.7,1.1,1.1,1.4,1.4,
3,27.6,8.75,,,82,,3.2,0.49,0.49,0.69,0.69,
4,27.6,15.5,,,82,,1.2,0.22,0.22,0.32,0.32,
5,27.6,25,,,82,,0.7,0.19,0.19,0.19,0.19,
6,27.6,55,,,82,,0.15,0.05,0.05,0.05,0.05,
4,27.6,5.25,,0.0018,,,6.74,0.93,0.93,1.02,1.02,
5,27.6,8.75,,0.0018,,,3.25,0.51,0.51,0.6,0.6,
6,27.6,15.5,,0.0018,,,1.45,0.3,0.3,0.36,0.36,
