bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
1,27.6,4.0,,,45,,6.5,0.8,0.8,1.1,1.1,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
2,27.6,4.0,,,70,,8.9,1.3,1.3,1.6,1.6,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
3,27.6,4.0,,,90,,11.1,2.2,2.2,2.7,2.7,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
4,27.6,4.0,,,110,,10.1,4.7,4.7,4.6,4.6,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
5,27.6,8.0,,,45,,2.56,0.36,0.36,0.32,0.32,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
6,27.6,8.0,,,70,,2.93,0.63,0.63,0.46,0.46,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
7,27.6,8.0,,,90,,4.45,0.83,0.83,0.82,0.82,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
8,27.6,8.0,,,110,,5.3,1.4,1.4,1.4,1.4,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
9,27.6,8.0,,,110,,6.4,2.5,2.5,2.7,2.7,https://link.springer.com/article/10.1140/epjc/s2005-02345-3
