bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma [pb_GeV^-4],D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,2.34,2.218,0.176,0.345,,7.5,,,,,,104.3,3.6,3.6,1.1,0.2,https://doi.org/10.1103/PhysRevC.92.055202
,2.34,2.218,0.176,0.345,,22.5,,,,,,108.6,3.6,3.6,1.6,0.9,
,2.34,2.218,0.176,0.345,,37.5,,,,,,100.3,3.4,3.4,2.6,0,
,2.34,2.218,0.176,0.345,,52.5,,,,,,91.2,3.2,3.2,1.5,1,
,2.34,2.218,0.176,0.345,,67.5,,,,,,76.8,2.9,2.9,0,3.1,
,2.34,2.218,0.176,0.345,,82.5,,,,,,73,2.8,2.8,0.4,0.6,
,2.34,2.218,0.176,0.345,,97.5,,,,,,56.5,2.5,2.5,0.4,0.7,
,2.34,2.218,0.176,0.345,,112.5,,,,,,55.7,2.3,2.3,0.6,1.2,
,2.34,2.218,0.176,0.345,,127.5,,,,,,49,2.2,2.2,0.4,1.1,
,2.34,2.218,0.176,0.345,,142.5,,,,,,47,2.1,2.1,1.4,0,
,2.34,2.218,0.176,0.345,,157.5,,,,,,41.1,2,2,0.1,1.4,
,2.34,2.218,0.176,0.345,,172.5,,,,,,41.6,2,2,0,0.9,
,2.34,2.218,0.176,0.345,,187.5,,,,,,38.5,1.9,1.9,0,1.1,
,2.34,2.218,0.176,0.345,,202.5,,,,,,41.1,1.9,1.9,0.4,1.1,
,2.34,2.218,0.176,0.345,,217.5,,,,,,45.3,2.1,2.1,0.3,0.6,
,2.34,2.218,0.176,0.345,,232.5,,,,,,51.3,2.2,2.2,0,0.9,
,2.34,2.218,0.176,0.345,,247.5,,,,,,53.3,2.3,2.3,0,1.6,
,2.34,2.218,0.176,0.345,,262.5,,,,,,62.2,2.5,2.5,0,3.2,
,2.34,2.218,0.176,0.345,,277.5,,,,,,70,2.7,2.7,0.4,1,
,2.34,2.218,0.176,0.345,,292.5,,,,,,80.1,2.9,2.9,2.3,0,
,2.34,2.218,0.176,0.345,,307.5,,,,,,87.4,3.1,3.1,4.3,0,
,2.34,2.218,0.176,0.345,,322.5,,,,,,97.4,3.3,3.3,0,1.8,
,2.34,2.218,0.176,0.345,,337.5,,,,,,99.2,3.5,3.5,2.7,0,
,2.34,2.218,0.176,0.345,,352.5,,,,,,98.6,3.6,3.6,1.7,0,
,2.34,2.318,0.232,0.363,,7.5,,,,,,80.3,3.5,3.5,0,1.1,
,2.34,2.318,0.232,0.363,,22.5,,,,,,80.6,3.3,3.3,3.6,0,
,2.34,2.318,0.232,0.363,,37.5,,,,,,70.5,3,3,0.1,1.8,
,2.34,2.318,0.232,0.363,,52.5,,,,,,60.4,2.7,2.7,0.5,1.3,
,2.34,2.318,0.232,0.363,,67.5,,,,,,51.3,2.4,2.4,0.6,0.4,
,2.34,2.318,0.232,0.363,,82.5,,,,,,46.3,2.2,2.2,1.1,0.1,
,2.34,2.318,0.232,0.363,,97.5,,,,,,42.6,2,2,0.5,0.7,
,2.34,2.318,0.232,0.363,,112.5,,,,,,35.3,1.8,1.8,0.8,0.3,
,2.34,2.318,0.232,0.363,,127.5,,,,,,34.8,1.7,1.7,0,1.5,
,2.34,2.318,0.232,0.363,,142.5,,,,,,28.4,1.6,1.6,0.1,0.5,
,2.34,2.318,0.232,0.363,,157.5,,,,,,30.9,1.6,1.6,0.1,0.9,
,2.34,2.318,0.232,0.363,,172.5,,,,,,25.7,1.5,1.5,0.1,0.6,
,2.34,2.318,0.232,0.363,,187.5,,,,,,27.7,1.5,1.5,0,0.9,
,2.34,2.318,0.232,0.363,,202.5,,,,,,29.7,1.6,1.6,0.1,0.6,
,2.34,2.318,0.232,0.363,,217.5,,,,,,31.4,1.6,1.6,0.1,0.6,
,2.34,2.318,0.232,0.363,,232.5,,,,,,34.4,1.7,1.7,0.3,0.6,
,2.34,2.318,0.232,0.363,,247.5,,,,,,35.8,1.8,1.8,0.5,0.3,
,2.34,2.318,0.232,0.363,,262.5,,,,,,42.4,2,2,0.1,1.1,
,2.34,2.318,0.232,0.363,,277.5,,,,,,43.9,2.1,2.1,0,1.6,
,2.34,2.318,0.232,0.363,,292.5,,,,,,54.6,2.3,2.3,1,0.6,
,2.34,2.318,0.232,0.363,,307.5,,,,,,63.3,2.6,2.6,0,3.3,
,2.34,2.318,0.232,0.363,,322.5,,,,,,66.8,2.9,2.9,0,3.3,
,2.34,2.318,0.232,0.363,,337.5,,,,,,75.2,3.3,3.3,0,2.2,
,2.34,2.318,0.232,0.363,,352.5,,,,,,77.3,3.5,3.5,0,4.7,
,2.34,2.348,0.279,0.368,,7.5,,,,,,66.6,4.2,4.2,3.1,0,
,2.34,2.348,0.279,0.368,,22.5,,,,,,71.9,4,4,2.6,0.6,
,2.34,2.348,0.279,0.368,,37.5,,,,,,58,3.2,3.2,0,5.8,
,2.34,2.348,0.279,0.368,,52.5,,,,,,48.2,2.8,2.8,0.2,0.7,
,2.34,2.348,0.279,0.368,,67.5,,,,,,42.2,2.4,2.4,0.2,2.5,
,2.34,2.348,0.279,0.368,,82.5,,,,,,39.4,2.2,2.2,0,3,
,2.34,2.348,0.279,0.368,,97.5,,,,,,29.5,1.9,1.9,2.1,0.2,
,2.34,2.348,0.279,0.368,,112.5,,,,,,28.7,1.7,1.7,0,0.8,
,2.34,2.348,0.279,0.368,,127.5,,,,,,23.8,1.5,1.5,0,0.9,
,2.34,2.348,0.279,0.368,,142.5,,,,,,24.8,1.5,1.5,0,0.6,
,2.34,2.348,0.279,0.368,,157.5,,,,,,25.7,1.6,1.6,0,1.4,
,2.34,2.348,0.279,0.368,,172.5,,,,,,25.7,1.6,1.6,0.1,0.5,
,2.34,2.348,0.279,0.368,,187.5,,,,,,20.6,1.5,1.5,0,0.6,
,2.34,2.348,0.279,0.368,,202.5,,,,,,20.7,1.5,1.5,0.1,0.4,
,2.34,2.348,0.279,0.368,,217.5,,,,,,24.2,1.5,1.5,0,1.5,
,2.34,2.348,0.279,0.368,,232.5,,,,,,28.3,1.6,1.6,0,1,
,2.34,2.348,0.279,0.368,,247.5,,,,,,27.2,1.7,1.7,1.3,0.1,
,2.34,2.348,0.279,0.368,,262.5,,,,,,31.7,1.8,1.8,0.1,1,
,2.34,2.348,0.279,0.368,,277.5,,,,,,35.1,2,2,0.1,0.3,
,2.34,2.348,0.279,0.368,,292.5,,,,,,41.8,2.2,2.2,1.2,0.1,
,2.34,2.348,0.279,0.368,,307.5,,,,,,51.4,2.7,2.7,0,2.6,
,2.34,2.348,0.279,0.368,,322.5,,,,,,51.4,2.9,2.9,0,4.9,
,2.34,2.348,0.279,0.368,,337.5,,,,,,56.8,3.5,3.5,0,3.2,
,2.34,2.348,0.279,0.368,,352.5,,,,,,60,4.1,4.1,2,1.1,
,2.34,2.36,0.325,0.371,,7.5,,,,,,64.8,5.8,5.8,0.5,1.9,
,2.34,2.36,0.325,0.371,,22.5,,,,,,60.2,4.9,4.9,0,3.9,
,2.34,2.36,0.325,0.371,,37.5,,,,,,42.3,3.4,3.4,0.9,0.6,
,2.34,2.36,0.325,0.371,,52.5,,,,,,39.2,3,3,3.1,0,
,2.34,2.36,0.325,0.371,,67.5,,,,,,36.8,2.6,2.6,3,0,
,2.34,2.36,0.325,0.371,,82.5,,,,,,27.3,2.1,2.1,0,1,
