bin,k',k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,2.34,5.7572,2.318,-0.232,0.363,,172.5,0.0257,0.0015,0.0015,0.0001,0.0006,0,0.002,0.002,0.0015,0,
,2.34,5.7572,2.318,-0.232,0.363,,187.5,0.0277,0.0015,0.0015,0,0.0009,0.0002,0.0021,0.0021,0.0012,0.0002,
,2.34,5.7572,2.318,-0.232,0.363,,202.5,0.0297,0.0016,0.0016,0.0001,0.0006,-0.0007,0.0021,0.0021,0.0004,0.0007,
,2.34,5.7572,2.318,-0.232,0.363,,217.5,0.0314,0.0016,0.0016,0.0001,0.0006,-0.0054,0.0022,0.0022,0.0002,0.0005,
,2.34,5.7572,2.318,-0.232,0.363,,232.5,0.0344,0.0017,0.0017,0.0003,0.0006,-0.0042,0.0023,0.0023,0.0005,0.0012,
,2.34,5.7572,2.318,-0.232,0.363,,247.5,0.0358,0.0018,0.0018,0.0005,0.0003,-0.0095,0.0024,0.0024,0.0004,0.0007,
,2.34,5.7572,2.318,-0.232,0.363,,262.5,0.0424,0.002,0.002,0.0001,0.0011,-0.009,0.0027,0.0027,0.0001,0.0014,
,2.34,5.7572,2.318,-0.232,0.363,,277.5,0.0439,0.0021,0.0021,0,0.0016,-0.016,0.0028,0.0028,0.0005,0.0012,
,2.34,5.7572,2.318,-0.232,0.363,,292.5,0.0546,0.0023,0.0023,0.001,0.0006,-0.0126,0.0031,0.0031,0.0004,0.0018,
,2.34,5.7572,2.318,-0.232,0.363,,307.5,0.0633,0.0026,0.0026,0,0.0033,-0.014,0.0035,0.0035,0.0044,0,
,2.34,5.7572,2.318,-0.232,0.363,,322.5,0.0668,0.0029,0.0029,0,0.0033,-0.014,0.0038,0.0038,0.0002,0.0015,
,2.34,5.7572,2.318,-0.232,0.363,,337.5,0.0752,0.0033,0.0033,0,0.0022,0.0014,0.0044,0.0044,0.0011,0.0008,
,2.34,5.7572,2.318,-0.232,0.363,,352.5,0.0773,0.0035,0.0035,0,0.0047,-0.0011,0.0048,0.0048,0.0043,0,
,2.34,5.7572,2.348,-0.279,0.368,,7.5,0.0666,0.0042,0.0042,0.0031,0,0.0115,0.0059,0.0059,0.0039,0.0001,
,2.34,5.7572,2.348,-0.279,0.368,,22.5,0.0719,0.004,0.004,0.0026,0.0006,0.0086,0.0053,0.0053,0.0016,0.0004,
,2.34,5.7572,2.348,-0.279,0.368,,37.5,0.058,0.0032,0.0032,0,0.0058,0.0154,0.0042,0.0042,0,0.0019,
,2.34,5.7572,2.348,-0.279,0.368,,52.5,0.0482,0.0028,0.0028,0.0002,0.0007,0.0105,0.0036,0.0036,0.0015,0.0002,
,2.34,5.7572,2.348,-0.279,0.368,,67.5,0.0422,0.0024,0.0024,0.0002,0.0025,0.0167,0.0032,0.0032,0.0012,0,
,2.34,5.7572,2.348,-0.279,0.368,,82.5,0.0394,0.0022,0.0022,0,0.003,0.0119,0.0028,0.0028,0.0024,0.0004,
,2.34,5.7572,2.348,-0.279,0.368,,97.5,0.0295,0.0019,0.0019,0.0021,0.0002,0.0098,0.0024,0.0024,0.0014,0,
,2.34,5.7572,2.348,-0.279,0.368,,112.5,0.0287,0.0017,0.0017,0,0.0008,0.008,0.0022,0.0022,0,0.0009,
,2.34,5.7572,2.348,-0.279,0.368,,127.5,0.0238,0.0015,0.0015,0,0.0009,0.0035,0.0019,0.0019,0.0007,0.001,
,2.34,5.7572,2.348,-0.279,0.368,,142.5,0.0248,0.0015,0.0015,0,0.0006,0.0037,0.002,0.002,0.0016,0,
,2.34,5.7572,2.348,-0.279,0.368,,157.5,0.0257,0.0016,0.0016,0,0.0014,0.004,0.002,0.002,0.0003,0.0005,
,2.34,5.7572,2.348,-0.279,0.368,,172.5,0.0257,0.0016,0.0016,0.0001,0.0005,-0.0003,0.002,0.002,0.0007,0.0001,
,2.34,5.7572,2.348,-0.279,0.368,,187.5,0.0206,0.0015,0.0015,0,0.0006,0.001,0.0019,0.0019,0,0.0012,
,2.34,5.7572,2.348,-0.279,0.368,,202.5,0.0207,0.0015,0.0015,0.0001,0.0004,-0.0018,0.0018,0.0018,0,0.0005,
,2.34,5.7572,2.348,-0.279,0.368,,217.5,0.0242,0.0015,0.0015,0,0.0015,-0.0051,0.002,0.002,0.0013,0,
