bin,k',k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,2.36,5.7572,2.19,-0.231,0.342,,337.5,0.0838,0.0066,0.0066,0,0.0056,0.0059,0.0083,0.0083,0,0.0054,
,2.36,5.7572,2.19,-0.231,0.342,,352.5,0.0879,0.0074,0.0074,0,0.0109,0.0066,0.0094,0.0094,0.0025,0.002,
,2.36,5.7572,2.194,-0.278,0.343,,7.5,,,,,,,,,,,
,2.36,5.7572,2.194,-0.278,0.343,,22.5,,,,,,,,,,,
,2.36,5.7572,2.194,-0.278,0.343,,37.5,0.0587,0.007,0.007,0.0011,0.0043,0.0168,0.0087,0.0087,0,0.0074,
,2.36,5.7572,2.194,-0.278,0.343,,52.5,0.0593,0.0058,0.0058,0.0015,0.0011,0.0117,0.0074,0.0074,0.0066,0.0016,
,2.36,5.7572,2.194,-0.278,0.343,,67.5,0.0544,0.0051,0.0051,0.0009,0.0009,0.0125,0.0065,0.0065,0,0.0046,
,2.36,5.7572,2.194,-0.278,0.343,,82.5,0.0478,0.0042,0.0042,0,0.0026,0.0179,0.0054,0.0054,0.0009,0.0009,
,2.36,5.7572,2.194,-0.278,0.343,,97.5,0.0367,0.0036,0.0036,0.0018,0,0.0135,0.0046,0.0046,0.0024,0,
,2.36,5.7572,2.194,-0.278,0.343,,112.5,0.0365,0.0033,0.0033,0,0.0014,0.0113,0.0042,0.0042,0.0002,0.002,
,2.36,5.7572,2.194,-0.278,0.343,,127.5,0.0259,0.0026,0.0026,0,0.0012,0.0023,0.0033,0.0033,0.0012,0.0008,
,2.36,5.7572,2.194,-0.278,0.343,,142.5,0.0273,0.0027,0.0027,0.001,0.0005,0.0057,0.0034,0.0034,0.0017,0,
,2.36,5.7572,2.194,-0.278,0.343,,157.5,0.0292,0.0028,0.0028,0,0.0028,0.0041,0.0035,0.0035,0.0002,0.003,
,2.36,5.7572,2.194,-0.278,0.343,,172.5,0.0299,0.0028,0.0028,0.0003,0.0002,0.0008,0.0036,0.0036,0.0005,0.0009,
,2.36,5.7572,2.194,-0.278,0.343,,187.5,0.0277,0.0028,0.0028,0.0001,0.0021,0.0025,0.0036,0.0036,0.0003,0.0019,
,2.36,5.7572,2.194,-0.278,0.343,,202.5,0.0237,0.0026,0.0026,0.0001,0.0005,-0.0033,0.0033,0.0033,0.0009,0.0001,
,2.36,5.7572,2.194,-0.278,0.343,,217.5,0.0312,0.0028,0.0028,0.0011,0.0007,-0.0063,0.0036,0.0036,0.0014,0,
,2.36,5.7572,2.194,-0.278,0.343,,232.5,0.0334,0.0029,0.0029,0,0.0019,-0.0034,0.0037,0.0037,0.0006,0.0005,
,2.36,5.7572,2.194,-0.278,0.343,,247.5,0.0309,0.003,0.003,0.0015,0.0004,-0.0036,0.0038,0.0038,0.0002,0.0009,
,2.36,5.7572,2.194,-0.278,0.343,,262.5,0.0364,0.0034,0.0034,0.0007,0.0012,-0.0191,0.0043,0.0043,0,0.0051,
,2.36,5.7572,2.194,-0.278,0.343,,277.5,0.0485,0.0039,0.0039,0.0004,0.0018,-0.0147,0.005,0.005,0.0051,0,
,2.36,5.7572,2.194,-0.278,0.343,,292.5,0.0516,0.0043,0.0043,0.0033,0.0002,-0.0161,0.0055,0.0055,0.0005,0.0027,
,2.36,5.7572,2.194,-0.278,0.343,,307.5,0.0603,0.0054,0.0054,0.0002,0.0039,-0.0032,0.0069,0.0069,0.0011,0.0034,
,2.36,5.7572,2.194,-0.278,0.343,,322.5,0.0622,0.0064,0.0064,0,0.0086,-0.0026,0.0081,0.0081,0.0034,0,
,2.36,5.7572,2.194,-0.278,0.343,,337.5,,,,,,,,,,,
,2.36,5.7572,2.194,-0.278,0.343,,352.5,,,,,,,,,,,
,2.36,5.7572,2.191,-0.324,0.342,,7.5,,,,,,,,,,,
,2.36,5.7572,2.191,-0.324,0.342,,22.5,,,,,,,,,,,
,2.36,5.7572,2.191,-0.324,0.342,,37.5,0.0538,0.0101,0.0101,0.0007,0.0093,0.0053,0.0119,0.0119,0.0026,0.0035,
,2.36,5.7572,2.191,-0.324,0.342,,52.5,0.0486,0.0073,0.0073,0.0083,0.0003,0.0165,0.009,0.009,0,0.0043,
,2.36,5.7572,2.191,-0.324,0.342,,67.5,0.0558,0.0062,0.0062,0.0065,0,0.0179,0.008,0.008,0,0.0054,
,2.36,5.7572,2.191,-0.324,0.342,,82.5,0.0342,0.0044,0.0044,0.0007,0.0018,0.013,0.0055,0.0055,0.0045,0.0007,
,2.36,5.7572,2.191,-0.324,0.342,,97.5,0.0309,0.0038,0.0038,0,0.0011,0.0125,0.0049,0.0049,0.005,0.0002,
,2.36,5.7572,2.191,-0.324,0.342,,112.5,0.0286,0.0034,0.0034,0,0.0012,0.0015,0.0042,0.0042,0.0038,0,
,2.36,5.7572,2.191,-0.324,0.342,,127.5,0.0276,0.0031,0.0031,0.0008,0.0006,0.0095,0.0039,0.0039,0.0001,0.0007,
,2.36,5.7572,2.191,-0.324,0.342,,142.5,0.0267,0.003,0.003,0,0.002,0.0078,0.0037,0.0037,0,0.0011,
,2.36,5.7572,2.191,-0.324,0.342,,157.5,0.0248,0.0028,0.0028,0.001,0,0.0072,0.0036,0.0036,0,0.001,
,2.36,5.7572,2.191,-0.324,0.342,,172.5,0.0235,0.0028,0.0028,0.0017,0,0.0008,0.0034,0.0034,0.0004,0.0019,
,2.36,5.7572,2.191,-0.324,0.342,,187.5,0.0216,0.0028,0.0028,0.0014,0,-0.0002,0.0034,0.0034,0,0.001,
,2.36,5.7572,2.191,-0.324,0.342,,202.5,0.0292,0.003,0.003,0,0.0031,-0.0094,0.0038,0.0038,0.0025,0,
,2.36,5.7572,2.191,-0.324,0.342,,217.5,0.023,0.0027,0.0027,0,0.0021,-0.0073,0.0034,0.0034,0.0012,0,
,2.36,5.7572,2.191,-0.324,0.342,,232.5,0.0293,0.003,0.003,0,0.0009,-0.0039,0.0038,0.0038,0.0009,0.0008,
,2.36,5.7572,2.191,-0.324,0.342,,247.5,0.0214,0.0031,0.0031,0.0005,0.0007,-0.0006,0.0038,0.0038,0.0018,0,
,2.36,5.7572,2.191,-0.324,0.342,,262.5,0.0304,0.0039,0.0039,0.0006,0.0003,-0.003,0.0048,0.0048,0.0007,0.002,
,2.36,5.7572,2.191,-0.324,0.342,,277.5,0.0436,0.0044,0.0044,0.0001,0.0032,-0.0194,0.0056,0.0056,0,0.0031,
,2.36,5.7572,2.191,-0.324,0.342,,292.5,0.055,0.0056,0.0056,0.0009,0.0012,-0.02,0.0071,0.0071,0.0015,0.0027,
,2.36,5.7572,2.191,-0.324,0.342,,307.5,0.0395,0.0062,0.0062,0.0005,0.0029,-0.0218,0.0078,0.0078,0.0022,0.0018,
,2.36,5.7572,2.191,-0.324,0.342,,322.5,0.0701,0.0099,0.0099,0,0.0076,-0.0265,0.0123,0.0123,0.0139,0,
,2.36,5.7572,2.191,-0.324,0.342,,337.5,,,,,,,,,,,
,2.36,5.7572,2.191,-0.324,0.342,,352.5,,,,,,,,,,,
,2.36,5.7572,2.193,-0.371,0.342,,7.5,,,,,,,,,,,
,2.36,5.7572,2.193,-0.371,0.342,,22.5,,,,,,,,,,,
,2.36,5.7572,2.193,-0.371,0.342,,37.5,0.0688,0.0213,0.0213,0.0009,0.0146,-0.0239,0.0233,0.0233,0.0056,0.0117,
,2.36,5.7572,2.193,-0.371,0.342,,52.5,0.0371,0.0104,0.0104,0.0016,0.0097,0.0077,0.0121,0.0121,0.0105,0,
,2.36,5.7572,2.193,-0.371,0.342,,67.5,0.0406,0.007,0.007,0.0062,0,0.0059,0.0086,0.0086,0.0002,0.0045,
,2.36,5.7572,2.193,-0.371,0.342,,82.5,0.029,0.005,0.005,0.0021,0.001,0.0002,0.0061,0.0061,0.0039,0.0013,
,2.36,5.7572,2.193,-0.371,0.342,,97.5,0.027,0.0043,0.0043,0.0002,0.0029,0.0127,0.0053,0.0053,0.0009,0.0034,
,2.36,5.7572,2.193,-0.371,0.342,,112.5,0.021,0.0035,0.0035,0,0.0031,-0.0032,0.0043,0.0043,0.001,0.001,
,2.36,5.7572,2.193,-0.371,0.342,,127.5,0.0188,0.0029,0.0029,0.0001,0.0034,0.0051,0.0036,0.0036,0.0001,0.002,
,2.36,5.7572,2.193,-0.371,0.342,,142.5,0.0179,0.0028,0.0028,0.0005,0.0009,0.0045,0.0035,0.0035,0.0006,0.0019,
,2.36,5.7572,2.193,-0.371,0.342,,157.5,0.0187,0.003,0.003,0.0016,0,0.0038,0.0037,0.0037,0.0005,0.0004,
,2.36,5.7572,2.193,-0.371,0.342,,172.5,0.0172,0.0032,0.0032,0.0011,0.0003,-0.0002,0.0039,0.0039,0.0034,0,
,2.36,5.7572,2.193,-0.371,0.342,,187.5,0.0162,0.0029,0.0029,0.0022,0,0.0085,0.0036,0.0036,0.0013,0.0003,
,2.36,5.7572,2.193,-0.371,0.342,,202.5,0.0213,0.003,0.003,0.0021,0.0005,0.0005,0.0038,0.0038,0,0.0036,
,2.36,5.7572,2.193,-0.371,0.342,,217.5,0.0177,0.0028,0.0028,0.0001,0.0008,-0.0041,0.0034,0.0034,0.0026,0.0002,
,2.36,5.7572,2.193,-0.371,0.342,,232.5,0.0242,0.003,0.003,0,0.0013,-0.0079,0.0038,0.0038,0.0013,0.0002,
,2.36,5.7572,2.193,-0.371,0.342,,247.5,0.0225,0.0034,0.0034,0.0004,0.0039,-0.0049,0.0042,0.0042,0.0021,0.0005,
,2.36,5.7572,2.193,-0.371,0.342,,262.5,0.0181,0.0036,0.0036,0,0.0026,-0.0009,0.0044,0.0044,0.002,0.0001,
,2.36,5.7572,2.193,-0.371,0.342,,277.5,0.0328,0.0045,0.0045,0,0.0025,-0.0048,0.0057,0.0057,0,0.0025,
,2.36,5.7572,2.193,-0.371,0.342,,292.5,0.0355,0.0063,0.0063,0.002,0.0019,-0.0154,0.0077,0.0077,0,0.0038,
,2.36,5.7572,2.193,-0.371,0.342,,307.5,0.0431,0.0087,0.0087,0.0041,0.0003,-0.0097,0.0106,0.0106,0.0022,0.0015,
,2.36,5.7572,2.193,-0.371,0.342,,322.5,0.0496,0.0155,0.0155,0.0036,0.0108,-0.0199,0.0176,0.0176,0,0.0258,
,2.36,5.7572,2.193,-0.371,0.342,,337.5,,,,,,,,,,,
,2.36,5.7572,2.193,-0.371,0.342,,352.5,,,,,,,,,,,
,2.94,5.7572,1.82,-0.172,0.343,,7.5,0.1116,0.0041,0.0041,0.0023,0,-0.001,0.006,0.006,0.001,0.0011,
,2.94,5.7572,1.82,-0.172,0.343,,22.5,0.1176,0.0039,0.0039,0.0007,0.0003,0.0122,0.0057,0.0057,0.0023,0,
,2.94,5.7572,1.82,-0.172,0.343,,37.5,0.0998,0.0035,0.0035,0.0003,0.0005,0.0168,0.0049,0.0049,0.0026,0.0005,
,2.94,5.7572,1.82,-0.172,0.343,,52.5,0.0941,0.0033,0.0033,0,0.0034,0.0153,0.0045,0.0045,0.0019,0.0009,
,2.94,5.7572,1.82,-0.172,0.343,,67.5,0.0882,0.003,0.003,0,0.0021,0.0158,0.0043,0.0043,0.0005,0.0012,
,2.94,5.7572,1.82,-0.172,0.343,,82.5,0.0787,0.0028,0.0028,0.0004,0.0004,0.0205,0.0039,0.0039,0.002,0,
,2.94,5.7572,1.82,-0.172,0.343,,97.5,0.0672,0.0026,0.0026,0.0036,0,0.0151,0.0036,0.0036,0.0038,0,
,2.94,5.7572,1.82,-0.172,0.343,,112.5,0.0608,0.0024,0.0024,0.0005,0.0013,0.0067,0.0034,0.0034,0,0.0017,
,2.94,5.7572,1.82,-0.172,0.343,,127.5,0.0575,0.0023,0.0023,0,0.0023,0.0149,0.0032,0.0032,0,0.0011,
,2.94,5.7572,1.82,-0.172,0.343,,142.5,0.0501,0.0021,0.0021,0.0002,0.0008,0.0069,0.003,0.003,0.0024,0,
,2.94,5.7572,1.82,-0.172,0.343,,157.5,0.0499,0.0021,0.0021,0,0.0009,0.0057,0.003,0.003,0.0015,0.0009,
,2.94,5.7572,1.82,-0.172,0.343,,172.5,0.0481,0.002,0.002,0,0.002,0.0007,0.0029,0.0029,0.002,0.001,
,2.94,5.7572,1.82,-0.172,0.343,,187.5,0.0483,0.002,0.002,0,0.0015,-0.0003,0.0029,0.0029,0.0014,0,
,2.94,5.7572,1.82,-0.172,0.343,,202.5,0.0532,0.0021,0.0021,0,0.0016,-0.0065,0.003,0.003,0.0016,0.0007,
,2.94,5.7572,1.82,-0.172,0.343,,217.5,0.0527,0.0022,0.0022,0,0.0007,-0.0081,0.0031,0.0031,0,0.0019,
,2.94,5.7572,1.82,-0.172,0.343,,232.5,0.0552,0.0022,0.0022,0,0.0034,-0.0092,0.0031,0.0031,0.0004,0.0015,
,2.94,5.7572,1.82,-0.172,0.343,,247.5,0.0585,0.0023,0.0023,0.0002,0.0009,-0.0118,0.0032,0.0032,0.0032,0,
,2.94,5.7572,1.82,-0.172,0.343,,262.5,0.0631,0.0024,0.0024,0,0.0028,-0.0175,0.0034,0.0034,0.003,0,
,2.94,5.7572,1.82,-0.172,0.343,,277.5,0.0742,0.0027,0.0027,0.0008,0.0007,-0.016,0.0038,0.0038,0.0005,0.0014,
,2.94,5.7572,1.82,-0.172,0.343,,292.5,0.0818,0.0029,0.0029,0.0003,0.0021,-0.0172,0.004,0.004,0.0026,0.0004,
,2.94,5.7572,1.82,-0.172,0.343,,307.5,0.0967,0.0032,0.0032,0,0.0018,-0.0163,0.0045,0.0045,0.0017,0.0006,
,2.94,5.7572,1.82,-0.172,0.343,,322.5,0.1056,0.0035,0.0035,0,0.0012,-0.0116,0.0049,0.0049,0.0007,0.0013,
,2.94,5.7572,1.82,-0.172,0.343,,337.5,0.1086,0.0038,0.0038,0.0015,0.0015,-0.0019,0.0055,0.0055,0.0027,0.001,
,2.94,5.7572,1.82,-0.172,0.343,,352.5,0.1136,0.004,0.004,0.0029,0,-0.0036,0.0059,0.0059,0,0.0022,
,2.94,5.7572,1.933,-0.232,0.368,,7.5,0.0769,0.0042,0.0042,0,0.0011,0.0031,0.0061,0.0061,0,0.0048,
,2.94,5.7572,1.933,-0.232,0.368,,22.5,0.0686,0.0037,0.0037,0,0.0028,-0.0019,0.0054,0.0054,0.0019,0.0014,
,2.94,5.7572,1.933,-0.232,0.368,,37.5,0.0617,0.0032,0.0032,0,0.0026,0.012,0.0045,0.0045,0.0016,0.002,
,2.94,5.7572,1.933,-0.232,0.368,,52.5,0.0669,0.003,0.003,0,0.0012,0.0193,0.0042,0.0042,0.0001,0.0009,
,2.94,5.7572,1.933,-0.232,0.368,,67.5,0.0555,0.0027,0.0027,0,0.002,0.0144,0.0037,0.0037,0.0001,0.003,
,2.94,5.7572,1.933,-0.232,0.368,,82.5,0.0461,0.0024,0.0024,0.0001,0.0009,0.0108,0.0032,0.0032,0.0002,0.0031,
,2.94,5.7572,1.933,-0.232,0.368,,97.5,0.0401,0.0021,0.0021,0.0001,0.0014,0.0086,0.0028,0.0028,0.0026,0.0005,
,2.94,5.7572,1.933,-0.232,0.368,,112.5,0.0377,0.002,0.002,0,0.0031,0.0043,0.0027,0.0027,0.0016,0.0007,
,2.94,5.7572,1.933,-0.232,0.368,,127.5,0.034,0.0018,0.0018,0,0.0022,0.0072,0.0024,0.0024,0.0004,0.001,
,2.94,5.7572,1.933,-0.232,0.368,,142.5,0.0339,0.0017,0.0017,0,0.0009,0.007,0.0023,0.0023,0,0.0005,
,2.94,5.7572,1.933,-0.232,0.368,,157.5,0.0346,0.0017,0.0017,0.0002,0.0005,0.0062,0.0023,0.0023,0.0013,0.0007,
,2.94,5.7572,1.933,-0.232,0.368,,172.5,0.0307,0.0016,0.0016,0.0009,0.0003,0.0004,0.0022,0.0022,0,0.0015,
,2.94,5.7572,1.933,-0.232,0.368,,187.5,0.0315,0.0016,0.0016,0,0.0016,-0.0007,0.0022,0.0022,0.0014,0,
,2.94,5.7572,1.933,-0.232,0.368,,202.5,0.0357,0.0017,0.0017,0.0012,0,-0.0014,0.0023,0.0023,0,0.0021,
,2.94,5.7572,1.933,-0.232,0.368,,217.5,0.0333,0.0017,0.0017,0.0006,0,-0.0026,0.0023,0.0023,0,0.0022,
,2.94,5.7572,1.933,-0.232,0.368,,232.5,0.0337,0.0018,0.0018,0.0002,0.0011,-0.0067,0.0024,0.0024,0,0.0021,
,2.94,5.7572,1.933,-0.232,0.368,,247.5,0.0377,0.002,0.002,0,0.0013,-0.0106,0.0026,0.0026,0,0.0011,
,2.94,5.7572,1.933,-0.232,0.368,,262.5,0.0404,0.0021,0.0021,0,0.0017,-0.0092,0.0028,0.0028,0.0019,0,
,2.94,5.7572,1.933,-0.232,0.368,,277.5,0.0429,0.0023,0.0023,0.0002,0.0007,-0.0155,0.003,0.003,0,0.0035,
,2.94,5.7572,1.933,-0.232,0.368,,292.5,0.0528,0.0026,0.0026,0.0006,0.0012,-0.016,0.0035,0.0035,0.0009,0,
,2.94,5.7572,1.933,-0.232,0.368,,307.5,0.0593,0.0028,0.0028,0,0.0026,-0.0103,0.0039,0.0039,0.0033,0,
,2.94,5.7572,1.933,-0.232,0.368,,322.5,0.062,0.0032,0.0032,0,0.0019,-0.0165,0.0045,0.0045,0.0023,0,
,2.94,5.7572,1.933,-0.232,0.368,,337.5,0.0733,0.0038,0.0038,0.0041,0,-0.0072,0.0055,0.0055,0.0002,0.0023,
,2.94,5.7572,1.933,-0.232,0.368,,352.5,0.0768,0.0042,0.0042,0,0.0011,-0.0007,0.0061,0.0061,0.0005,0.0011,
,2.94,5.7572,1.964,-0.278,0.375,,7.5,0.0752,0.0056,0.0056,0.0022,0.0017,0.0017,0.0077,0.0077,0.0009,0.0025,
,2.94,5.7572,1.964,-0.278,0.375,,22.5,0.0597,0.0045,0.0045,0.0014,0.0006,0.0041,0.0062,0.0062,0,0.0075,
,2.94,5.7572,1.964,-0.278,0.375,,37.5,0.0579,0.0038,0.0038,0.0009,0.0015,0.0161,0.0052,0.0052,0.0042,0,
,2.94,5.7572,1.964,-0.278,0.375,,52.5,0.0504,0.0032,0.0032,0,0.0042,0.015,0.0043,0.0043,0.0032,0,
,2.94,5.7572,1.964,-0.278,0.375,,67.5,0.04,0.0028,0.0028,0.0002,0.0011,0.0018,0.0036,0.0036,0.0012,0.0011,
,2.94,5.7572,1.964,-0.278,0.375,,82.5,0.0361,0.0025,0.0025,0.0013,0,0.0109,0.0032,0.0032,0.002,0,
,2.94,5.7572,1.964,-0.278,0.375,,97.5,0.0352,0.0022,0.0022,0.0006,0.0018,0.0048,0.0029,0.0029,0.0004,0.0017,
,2.94,5.7572,1.964,-0.278,0.375,,112.5,0.033,0.0021,0.0021,0,0.0014,0.0086,0.0027,0.0027,0.0002,0.0013,
,2.94,5.7572,1.964,-0.278,0.375,,127.5,0.0293,0.0018,0.0018,0.0001,0.003,0.0064,0.0023,0.0023,0.0022,0,
,2.94,5.7572,1.964,-0.278,0.375,,142.5,0.028,0.0017,0.0017,0,0.0014,0.0069,0.0022,0.0022,0.0008,0,
,2.94,5.7572,1.964,-0.278,0.375,,157.5,0.0263,0.0017,0.0017,0,0.0028,0.0054,0.0022,0.0022,0,0.0011,
,2.94,5.7572,1.964,-0.278,0.375,,172.5,0.0268,0.0017,0.0017,0,0.0007,-0.0015,0.0022,0.0022,0.0004,0.0014,
,2.94,5.7572,1.964,-0.278,0.375,,187.5,0.0266,0.0017,0.0017,0.0002,0.0006,-0.0014,0.0021,0.0021,0.0018,0.0005,
,2.94,5.7572,1.964,-0.278,0.375,,202.5,0.0247,0.0016,0.0016,0,0.0015,-0.0005,0.0021,0.0021,0,0.0013,
,2.94,5.7572,1.964,-0.278,0.375,,217.5,0.0284,0.0018,0.0018,0,0.0042,-0.0046,0.0022,0.0022,0.0024,0,
,2.94,5.7572,1.964,-0.278,0.375,,232.5,0.0284,0.0019,0.0019,0,0.0015,-0.005,0.0023,0.0023,0,0.0024,
,2.94,5.7572,1.964,-0.278,0.375,,247.5,0.0373,0.0022,0.0022,0,0.0025,-0.007,0.0028,0.0028,0.0004,0.0008,
,2.94,5.7572,1.964,-0.278,0.375,,262.5,0.0378,0.0023,0.0023,0,0.0025,-0.011,0.003,0.003,0.0011,0.001,
,2.94,5.7572,1.964,-0.278,0.375,,277.5,0.0402,0.0024,0.0024,0,0.0026,-0.0119,0.0032,0.0032,0.0018,0,
,2.94,5.7572,1.964,-0.278,0.375,,292.5,0.0426,0.0027,0.0027,0.0011,0.0001,-0.0099,0.0035,0.0035,0,0.0013,
,2.94,5.7572,1.964,-0.278,0.375,,307.5,0.0468,0.0031,0.0031,0.0004,0.0004,-0.006,0.0041,0.0041,0,0.0039,
,2.94,5.7572,1.964,-0.278,0.375,,322.5,0.048,0.0035,0.0035,0,0.002,-0.0096,0.0048,0.0048,0.0024,0,
,2.94,5.7572,1.964,-0.278,0.375,,337.5,0.0603,0.0045,0.0045,0.0016,0.0005,-0.0172,0.0062,0.0062,0,0.008,
,2.94,5.7572,1.964,-0.278,0.375,,352.5,0.0607,0.0053,0.0053,0.0005,0.0035,0.0018,0.0074,0.0074,0.0063,0.0013,
,2.94,5.7572,1.986,-0.323,0.379,,7.5,0.0662,0.0077,0.0077,0.0032,0.0009,0.0073,0.0111,0.0111,0.0103,0,
,2.94,5.7572,1.986,-0.323,0.379,,22.5,0.0641,0.0063,0.0063,0.0009,0.002,-0.0001,0.009,0.009,0,0.0037,
,2.94,5.7572,1.986,-0.323,0.379,,37.5,0.0439,0.0045,0.0045,0.0018,0,0.0079,0.0061,0.0061,0.0032,0.0034,
,2.94,5.7572,1.986,-0.323,0.379,,52.5,0.0425,0.0038,0.0038,0,0.0028,0.0224,0.0051,0.0051,0.0002,0.0019,
,2.94,5.7572,1.986,-0.323,0.379,,67.5,0.0353,0.0031,0.0031,0,0.0029,0.0099,0.004,0.004,0.0001,0.0016,
,2.94,5.7572,1.986,-0.323,0.379,,82.5,0.0294,0.0028,0.0028,0.0012,0.0004,0.0051,0.0035,0.0035,0.0021,0,
,2.94,5.7572,1.986,-0.323,0.379,,97.5,0.0274,0.0024,0.0024,0,0.002,0.0113,0.003,0.003,0.0006,0.0004,
,2.94,5.7572,1.986,-0.323,0.379,,112.5,0.024,0.0021,0.0021,0,0.0013,0.0015,0.0027,0.0027,0.0007,0.0001,
,2.94,5.7572,1.986,-0.323,0.379,,127.5,0.0255,0.002,0.002,0,0.0022,0.0122,0.0026,0.0026,0,0.0019,
,2.94,5.7572,1.986,-0.323,0.379,,142.5,0.0224,0.0019,0.0019,0.0005,0.0013,0.001,0.0025,0.0025,0.0025,0,
,2.94,5.7572,1.986,-0.323,0.379,,157.5,0.0213,0.0021,0.0021,0,0.0026,0.0027,0.0026,0.0026,0.0014,0,
,2.94,5.7572,1.986,-0.323,0.379,,172.5,0.0174,0.002,0.002,0.0013,0,-0.0003,0.0025,0.0025,0.0021,0.0004,
,2.94,5.7572,1.986,-0.323,0.379,,187.5,0.0214,0.0021,0.0021,0.0007,0.0003,-0.0036,0.0027,0.0027,0.0045,0,
,2.94,5.7572,1.986,-0.323,0.379,,202.5,0.0225,0.0021,0.0021,0.0006,0.0003,0.0015,0.0026,0.0026,0.0014,0,
,2.94,5.7572,1.986,-0.323,0.379,,217.5,0.0251,0.0021,0.0021,0,0.0017,0.0023,0.0026,0.0026,0.0003,0.0008,
,2.94,5.7572,1.986,-0.323,0.379,,232.5,0.026,0.0021,0.0021,0,0.0004,0,0.0027,0.0027,0.003,0,
,2.94,5.7572,1.986,-0.323,0.379,,247.5,0.0305,0.0024,0.0024,0.0001,0.0031,-0.0081,0.003,0.003,0.0001,0.0016,
,2.94,5.7572,1.986,-0.323,0.379,,262.5,0.0282,0.0025,0.0025,0.0013,0.0003,-0.0071,0.0031,0.0031,0.0027,0,
,2.94,5.7572,1.986,-0.323,0.379,,277.5,0.0326,0.0027,0.0027,0,0.0017,0.0006,0.0035,0.0035,0.0013,0,
,2.94,5.7572,1.986,-0.323,0.379,,292.5,0.0364,0.0031,0.0031,0.003,0,-0.0089,0.004,0.004,0.0016,0.0015,
,2.94,5.7572,1.986,-0.323,0.379,,307.5,0.0474,0.0038,0.0038,0,0.0032,-0.0084,0.0051,0.0051,0.0028,0,
,2.94,5.7572,1.986,-0.323,0.379,,322.5,0.046,0.0047,0.0047,0.0007,0.0018,-0.0201,0.0063,0.0063,0,0.0036,
,2.94,5.7572,1.986,-0.323,0.379,,337.5,0.0526,0.0063,0.0063,0.0014,0.0008,-0.0033,0.0088,0.0088,0,0.0067,
,2.94,5.7572,1.986,-0.323,0.379,,352.5,0.05,0.0073,0.0073,0,0.013,-0.0026,0.0106,0.0106,0.003,0.0085,
,2.94,5.7572,1.999,-0.371,0.381,,7.5,0.0706,0.0118,0.0118,0.0131,0,-0.0121,0.016,0.016,0.0014,0.0052,
,2.94,5.7572,1.999,-0.371,0.381,,22.5,0.0663,0.0087,0.0087,0.0052,0.0004,0.0011,0.012,0.012,0.0036,0.0014,
,2.94,5.7572,1.999,-0.371,0.381,,37.5,0.0451,0.0057,0.0057,0,0.0033,0.0041,0.0075,0.0075,0.004,0,
,2.94,5.7572,1.999,-0.371,0.381,,52.5,0.039,0.0045,0.0045,0,0.0058,0.0073,0.0058,0.0058,0.0044,0.0002,
,2.94,5.7572,1.999,-0.371,0.381,,67.5,0.041,0.0037,0.0037,0,0.0024,0.0099,0.0049,0.0049,0.0011,0.0011,
,2.94,5.7572,1.999,-0.371,0.381,,82.5,0.0267,0.0029,0.0029,0,0.0033,0.0108,0.0038,0.0038,0,0.0014,
,2.94,5.7572,1.999,-0.371,0.381,,97.5,0.0292,0.0028,0.0028,0,0.0033,0.0047,0.0035,0.0035,0.0014,0.0003,
,2.94,5.7572,1.999,-0.371,0.381,,112.5,0.0259,0.0026,0.0026,0,0.001,0.0105,0.0032,0.0032,0.0015,0.0012,
,2.94,5.7572,1.999,-0.371,0.381,,127.5,0.0214,0.0024,0.0024,0.0001,0.0014,0.0021,0.0029,0.0029,0.0024,0,
,2.94,5.7572,1.999,-0.371,0.381,,142.5,0.0161,0.0024,0.0024,0,0.0014,0.0037,0.0028,0.0028,0,0.0036,
,2.94,5.7572,1.999,-0.371,0.381,,157.5,0.0135,0.0027,0.0027,0.0027,0,0.0001,0.0031,0.0031,0,0.0016,
,2.94,5.7572,1.999,-0.371,0.381,,172.5,0.0175,0.0032,0.0032,0,0.0017,-0.007,0.0038,0.0038,0.0026,0,
,2.94,5.7572,1.999,-0.371,0.381,,187.5,0.0205,0.0032,0.0032,0,0.0014,0.0025,0.0037,0.0037,0.0027,0,
,2.94,5.7572,1.999,-0.371,0.381,,202.5,0.0217,0.0029,0.0029,0,0.0018,0.0006,0.0034,0.0034,0,0.0013,
,2.94,5.7572,1.999,-0.371,0.381,,217.5,0.0265,0.0026,0.0026,0,0.0014,0.0004,0.0031,0.0031,0.0016,0,
,2.94,5.7572,1.999,-0.371,0.381,,232.5,0.0201,0.0022,0.0022,0,0.0024,-0.0044,0.0027,0.0027,0.0019,0.0009,
,2.94,5.7572,1.999,-0.371,0.381,,247.5,0.0257,0.0026,0.0026,0,0.0018,0.0004,0.0031,0.0031,0,0.0025,
,2.94,5.7572,1.999,-0.371,0.381,,262.5,0.0217,0.0026,0.0026,0.0006,0.0016,-0.0025,0.0032,0.0032,0.0022,0.0007,
