bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,5.55,1.74,0.242,0.359,,112.5,,,,,,0.00483,0.0029,0.0029,,,
,5.55,1.74,0.242,0.359,,127.5,,,,,,0.00488,0.0028,0.0028,,,
,5.55,1.74,0.242,0.359,,142.5,,,,,,0.0056,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,157.5,,,,,,0.00738,0.0028,0.0028,,,
,5.55,1.74,0.242,0.359,,172.5,,,,,,0.0007,0.0028,0.0028,,,
,5.55,1.74,0.242,0.359,,187.5,,,,,,0.00244,0.0029,0.0029,,,
,5.55,1.74,0.242,0.359,,202.5,,,,,,-0.00428,0.0029,0.0029,,,
,5.55,1.74,0.242,0.359,,217.5,,,,,,-0.00468,0.0028,0.0028,,,
,5.55,1.74,0.242,0.359,,232.5,,,,,,-0.00586,0.0028,0.0028,,,
,5.55,1.74,0.242,0.359,,247.5,,,,,,-0.00389,0.0029,0.0029,,,
,5.55,1.74,0.242,0.359,,262.5,,,,,,-0.00457,0.0031,0.0031,,,
,5.55,1.74,0.242,0.359,,277.5,,,,,,-0.0062,0.0033,0.0033,,,
,5.55,1.74,0.242,0.359,,292.5,,,,,,-0.0161,0.0035,0.0035,,,
,5.55,1.74,0.242,0.359,,307.5,,,,,,-0.0123,0.0038,0.0038,,,
,5.55,1.74,0.242,0.359,,322.5,,,,,,-0.0101,0.004,0.004,,,
,5.55,1.74,0.242,0.359,,337.5,,,,,,-0.00858,0.0042,0.0042,,,
,5.55,1.74,0.242,0.359,,352.5,,,,,,-0.000411,0.0044,0.0044,,,
,5.55,1.74,0.302,0.359,,7.5,,,,,,0.00263,0.0046,0.0046,,,
,5.55,1.74,0.302,0.359,,22.5,,,,,,0.0135,0.0043,0.0043,,,
,5.55,1.74,0.302,0.359,,37.5,,,,,,0.00849,0.0039,0.0039,,,
,5.55,1.74,0.302,0.359,,52.5,,,,,,0.0116,0.0036,0.0036,,,
,5.55,1.74,0.302,0.359,,67.5,,,,,,0.012,0.0033,0.0033,,,
,5.55,1.74,0.302,0.359,,82.5,,,,,,0.0108,0.0031,0.0031,,,
,5.55,1.74,0.302,0.359,,97.5,,,,,,0.00913,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,112.5,,,,,,0.00634,0.0028,0.0028,,,
,5.55,1.74,0.302,0.359,,127.5,,,,,,0.000153,0.0028,0.0028,,,
,5.55,1.74,0.302,0.359,,142.5,,,,,,0.0014,0.0029,0.0029,,,
,5.55,1.74,0.302,0.359,,157.5,,,,,,0.00282,0.0031,0.0031,,,
,5.55,1.74,0.302,0.359,,172.5,,,,,,0.000368,0.0032,0.0032,,,
,5.55,1.74,0.302,0.359,,187.5,,,,,,-0.000952,0.0032,0.0032,,,
,5.55,1.74,0.302,0.359,,202.5,,,,,,-0.00516,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,217.5,,,,,,-0.00344,0.0029,0.0029,,,
,5.55,1.74,0.302,0.359,,232.5,,,,,,-0.00167,0.0028,0.0028,,,
,5.55,1.74,0.302,0.359,,247.5,,,,,,-0.00597,0.0029,0.0029,,,
,5.55,1.74,0.302,0.359,,262.5,,,,,,-0.00582,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,277.5,,,,,,-0.00795,0.0032,0.0032,,,
,5.55,1.74,0.302,0.359,,292.5,,,,,,-0.00561,0.0034,0.0034,,,
,5.55,1.74,0.302,0.359,,307.5,,,,,,-0.0097,0.0036,0.0036,,,
,5.55,1.74,0.302,0.359,,322.5,,,,,,-0.0128,0.0039,0.0039,,,
,5.55,1.74,0.302,0.359,,337.5,,,,,,-0.00939,0.0042,0.0042,,,
,5.55,1.74,0.302,0.359,,352.5,,,,,,-0.000195,0.0045,0.0045,,,
