bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,4.455,1.74,0.181,0.357,,262.5,,,,,,-0.0262,0.0071,0.0071,,,
,4.455,1.74,0.181,0.357,,277.5,,,,,,-0.00275,0.0075,0.0075,,,
,4.455,1.74,0.181,0.357,,292.5,,,,,,-0.0132,0.008,0.008,,,
,4.455,1.74,0.181,0.357,,307.5,,,,,,-0.0202,0.0084,0.0084,,,
,4.455,1.74,0.181,0.357,,322.5,,,,,,-0.00446,0.0088,0.0088,,,
,4.455,1.74,0.181,0.357,,337.5,,,,,,-0.00525,0.0094,0.0094,,,
,4.455,1.74,0.181,0.357,,352.5,,,,,,-0.0104,0.0096,0.0096,,,
,4.455,1.74,0.24,0.357,,7.5,,,,,,0.00538,0.01,0.01,,,
,4.455,1.74,0.24,0.357,,22.5,,,,,,0.0151,0.0097,0.0097,,,
,4.455,1.74,0.24,0.357,,37.5,,,,,,0.0153,0.0089,0.0089,,,
,4.455,1.74,0.24,0.357,,52.5,,,,,,0.0142,0.008,0.008,,,
,4.455,1.74,0.24,0.357,,67.5,,,,,,0.0131,0.0071,0.0071,,,
,4.455,1.74,0.24,0.357,,82.5,,,,,,0.0176,0.0065,0.0065,,,
,4.455,1.74,0.24,0.357,,97.5,,,,,,0.0156,0.0058,0.0058,,,
,4.455,1.74,0.24,0.357,,112.5,,,,,,0.00624,0.0054,0.0054,,,
,4.455,1.74,0.24,0.357,,127.5,,,,,,0.0121,0.005,0.005,,,
,4.455,1.74,0.24,0.357,,142.5,,,,,,0.00359,0.0048,0.0048,,,
,4.455,1.74,0.24,0.357,,157.5,,,,,,-0.000899,0.0048,0.0048,,,
,4.455,1.74,0.24,0.357,,172.5,,,,,,-0.00188,0.0048,0.0048,,,
,4.455,1.74,0.24,0.357,,187.5,,,,,,0.00579,0.0048,0.0048,,,
,4.455,1.74,0.24,0.357,,202.5,,,,,,-0.00368,0.0049,0.0049,,,
,4.455,1.74,0.24,0.357,,217.5,,,,,,0.00324,0.0049,0.0049,,,
,4.455,1.74,0.24,0.357,,232.5,,,,,,-0.00848,0.0051,0.0051,,,
,4.455,1.74,0.24,0.357,,247.5,,,,,,-0.00931,0.0054,0.0054,,,
,4.455,1.74,0.24,0.357,,262.5,,,,,,-0.00664,0.0059,0.0059,,,
,4.455,1.74,0.24,0.357,,277.5,,,,,,-0.00385,0.0065,0.0065,,,
,4.455,1.74,0.24,0.357,,292.5,,,,,,-0.00464,0.0072,0.0072,,,
,4.455,1.74,0.24,0.357,,307.5,,,,,,-0.0205,0.0079,0.0079,,,
,4.455,1.74,0.24,0.357,,322.5,,,,,,-0.0247,0.0088,0.0088,,,
,4.455,1.74,0.24,0.357,,337.5,,,,,,-0.017,0.0096,0.0096,,,
,4.455,1.74,0.24,0.357,,352.5,,,,,,-0.00239,0.01,0.01,,,
,4.455,1.74,0.301,0.358,,7.5,,,,,,-0.0136,0.01,0.01,,,
,4.455,1.74,0.301,0.358,,22.5,,,,,,0.024,0.0097,0.0097,,,
,4.455,1.74,0.301,0.358,,37.5,,,,,,0.01,0.0085,0.0085,,,
,4.455,1.74,0.301,0.358,,52.5,,,,,,0.0205,0.0073,0.0073,,,
,4.455,1.74,0.301,0.358,,67.5,,,,,,0.0202,0.0064,0.0064,,,
,4.455,1.74,0.301,0.358,,82.5,,,,,,0.0113,0.0058,0.0058,,,
,4.455,1.74,0.301,0.358,,97.5,,,,,,0.0104,0.0054,0.0054,,,
,4.455,1.74,0.301,0.358,,112.5,,,,,,0.00972,0.005,0.005,,,
,4.455,1.74,0.301,0.358,,127.5,,,,,,0.006,0.0047,0.0047,,,
,4.455,1.74,0.301,0.358,,142.5,,,,,,-0.00448,0.0046,0.0046,,,
,4.455,1.74,0.301,0.358,,157.5,,,,,,0.00154,0.0047,0.0047,,,
,4.455,1.74,0.301,0.358,,172.5,,,,,,0.00303,0.0048,0.0048,,,
,4.455,1.74,0.301,0.358,,187.5,,,,,,-0.00536,0.0048,0.0048,,,
,4.455,1.74,0.301,0.358,,202.5,,,,,,-0.00261,0.0048,0.0048,,,
,4.455,1.74,0.301,0.358,,217.5,,,,,,-0.00425,0.0048,0.0048,,,
,4.455,1.74,0.301,0.358,,232.5,,,,,,-0.00955,0.0047,0.0047,,,
,4.455,1.74,0.301,0.358,,247.5,,,,,,-0.00862,0.005,0.005,,,
,4.455,1.74,0.301,0.358,,262.5,,,,,,-0.00485,0.0053,0.0053,,,
,4.455,1.74,0.301,0.358,,277.5,,,,,,-0.00844,0.0058,0.0058,,,
,4.455,1.74,0.301,0.358,,292.5,,,,,,-0.0032,0.0066,0.0066,,,
,4.455,1.74,0.301,0.358,,307.5,,,,,,-0.0194,0.0074,0.0074,,,
,4.455,1.74,0.301,0.358,,322.5,,,,,,-0.00951,0.0085,0.0085,,,
,4.455,1.74,0.301,0.358,,337.5,,,,,,-0.00932,0.0096,0.0096,,,
,4.455,1.74,0.301,0.358,,352.5,,,,,,-0.0107,0.01,0.01,,,
,4.455,1.76,0.363,0.361,,7.5,,,,,,0.0132,0.013,0.013,,,
,4.455,1.76,0.363,0.361,,22.5,,,,,,0.0148,0.01,0.01,,,
,4.455,1.76,0.363,0.361,,37.5,,,,,,0.0217,0.0078,0.0078,,,
,4.455,1.76,0.363,0.361,,52.5,,,,,,0.0181,0.0065,0.0065,,,
,4.455,1.76,0.363,0.361,,67.5,,,,,,0.0109,0.0058,0.0058,,,
,4.455,1.76,0.363,0.361,,82.5,,,,,,0.00646,0.0054,0.0054,,,
,4.455,1.76,0.363,0.361,,97.5,,,,,,0.00973,0.0051,0.0051,,,
,4.455,1.76,0.363,0.361,,112.5,,,,,,0.0000684,0.0046,0.0046,,,
,4.455,1.76,0.363,0.361,,127.5,,,,,,0.00211,0.0044,0.0044,,,
,4.455,1.76,0.363,0.361,,142.5,,,,,,0.000812,0.0044,0.0044,,,
,4.455,1.76,0.363,0.361,,157.5,,,,,,0.00465,0.0046,0.0046,,,
,4.455,1.76,0.363,0.361,,172.5,,,,,,0.00137,0.005,0.005,,,
,4.455,1.76,0.363,0.361,,187.5,,,,,,-0.000863,0.0051,0.0051,,,
,4.455,1.76,0.363,0.361,,202.5,,,,,,-0.00322,0.0047,0.0047,,,
,4.455,1.76,0.363,0.361,,217.5,,,,,,-0.00001,0.0045,0.0045,,,
,4.455,1.76,0.363,0.361,,232.5,,,,,,0.00703,0.0044,0.0044,,,
,4.455,1.76,0.363,0.361,,247.5,,,,,,-0.00521,0.0047,0.0047,,,
,4.455,1.76,0.363,0.361,,262.5,,,,,,-0.00603,0.0052,0.0052,,,
,4.455,1.76,0.363,0.361,,277.5,,,,,,-0.00299,0.0056,0.0056,,,
,4.455,1.76,0.363,0.361,,292.5,,,,,,-0.00529,0.0059,0.0059,,,
,4.455,1.76,0.363,0.361,,307.5,,,,,,-0.0101,0.0066,0.0066,,,
,4.455,1.76,0.363,0.361,,322.5,,,,,,-0.0128,0.0077,0.0077,,,
,4.455,1.76,0.363,0.361,,337.5,,,,,,-0.00131,0.01,0.01,,,
,4.455,1.76,0.363,0.361,,352.5,,,,,,0.00222,0.013,0.013,,,
