bin,k,q_squared_min,q_squared_max,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
1,27.5,1.5,5,,,104,,21.28,0.92,0.92,1.02,1.34,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
2,27.5,5,10,,,104,,5.87,0.42,0.42,0.14,0.3,
3,27.5,10,15,,,104,,3.27,0.33,0.33,0.07,0.16,
4,27.5,15,25,,,104,,1.23,0.21,0.21,0.05,0.08,
5,27.5,25,40,,,104,,0.55,0.21,0.21,0.05,0.08,
6,27.5,40,100,,,104,,0.16,0.07,0.07,0.02,0.02,
