bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
,,8.75,,,82,,3.87,0.15,-0.15,0.41,-0.41,https://doi.org/10.1016/j.physletb.2009.10.035
,,15.5,,,82,,1.46,0.07,-0.07,0.18,-0.18,
,,25,,,82,,0.55,0.07,-0.07,0.08,-0.08,
,,55,,,82,,0.16,0.02,-0.02,0.03,-0.03,
,,10,,,45,,2.23,0.11,-0.11,0.19,-0.19,
,,10,,,70,,2.92,0.16,-0.16,0.27,-0.27,
,,10,,,90,,3.63,0.22,-0.22,0.4,-0.4,
,,10,,,110,,3.71,0.29,-0.29,0.61,-0.61,
,,10,,,130,,4.37,0.6,-0.6,1.16,-1.16,
,,8,,,45,,3.06,0.18,-0.18,0.25,-0.25,
,,8,,,70,,3.54,0.29,-0.29,0.34,-0.34,
,,8,,,90,,4.93,0.39,-0.39,0.52,-0.52,
,,8,,,110,,5.16,0.51,-0.51,0.74,-0.74,
,,8,,,130,,5.62,1.34,-1.34,1.19,-1.19,
,,15.5,,,45,,0.98,0.07,-0.07,0.08,-0.08,
,,15.5,,,70,,1.46,0.12,-0.12,0.12,-0.12,
,,15.5,,,90,,1.41,0.16,-0.16,0.17,-0.17,
,,15.5,,,110,,1.66,0.23,-0.23,0.28,-0.28,
,,15.5,,,130,,2,0.37,-0.37,0.47,-0.47,
,,25,,,45,,0.31,0.11,-0.11,0.05,-0.05,
,,25,,,70,,0.52,0.08,-0.08,0.06,-0.06,
,,25,,,90,,0.81,0.13,-0.13,0.09,-0.09,
,,25,,,110,,0.63,0.17,-0.17,0.15,-0.15,
,,25,,,130,,0.8,0.26,-0.26,0.29,-0.29,
