bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,2.36,2.161,0.171,0.336,,7.5,,,,,,0.0073,0.0065,0.0065,0,0.008,https://doi.org/10.1103/PhysRevC.92.055202
,2.36,2.161,0.171,0.336,,22.5,,,,,,0.0017,0.0067,0.0067,0.0028,0.0018,
,2.36,2.161,0.171,0.336,,37.5,,,,,,0.0076,0.0061,0.0061,0.0028,0.0004,
,2.36,2.161,0.171,0.336,,52.5,,,,,,0.0225,0.0056,0.0056,0.0093,0,
,2.36,2.161,0.171,0.336,,67.5,,,,,,0.0258,0.0053,0.0053,0.0057,0,
,2.36,2.161,0.171,0.336,,82.5,,,,,,0.0149,0.0051,0.0051,0.0032,0.0004,
,2.36,2.161,0.171,0.336,,97.5,,,,,,0.0142,0.0045,0.0045,0.0033,0,
,2.36,2.161,0.171,0.336,,112.5,,,,,,0.0233,0.0042,0.0042,0,0.0026,
,2.36,2.161,0.171,0.336,,127.5,,,,,,0.0113,0.0042,0.0042,0.0008,0.0038,
,2.36,2.161,0.171,0.336,,142.5,,,,,,0.007,0.0039,0.0039,0.0012,0.0002,
,2.36,2.161,0.171,0.336,,157.5,,,,,,-0.0031,0.0037,0.0037,0.0012,0,
,2.36,2.161,0.171,0.336,,172.5,,,,,,0.0045,0.0037,0.0037,0.004,0.0003,
,2.36,2.161,0.171,0.336,,187.5,,,,,,-0.0017,0.0035,0.0035,0.0001,0.0025,
,2.36,2.161,0.171,0.336,,202.5,,,,,,-0.0021,0.0036,0.0036,0.0018,0.0013,
,2.36,2.161,0.171,0.336,,217.5,,,,,,-0.0092,0.0039,0.0039,0.0006,0.0007,
,2.36,2.161,0.171,0.336,,232.5,,,,,,-0.0135,0.0041,0.0041,0.0026,0,
,2.36,2.161,0.171,0.336,,247.5,,,,,,-0.0068,0.0041,0.0041,0.0024,0,
,2.36,2.161,0.171,0.336,,262.5,,,,,,-0.0227,0.0045,0.0045,0.0022,0.0008,
,2.36,2.161,0.171,0.336,,277.5,,,,,,-0.0199,0.0048,0.0048,0.0004,0.0014,
,2.36,2.161,0.171,0.336,,292.5,,,,,,-0.0176,0.0054,0.0054,0.0023,0.0005,
,2.36,2.161,0.171,0.336,,307.5,,,,,,-0.0232,0.0055,0.0055,0,0.0048,
