bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,2.36,2.161,0.171,0.336,,322.5,,,,,,-0.0192,0.0059,0.0059,0.0035,0,
,2.36,2.161,0.171,0.336,,337.5,,,,,,-0.0047,0.0062,0.0062,0.0004,0.0009,
,2.36,2.161,0.171,0.336,,352.5,,,,,,-0.0041,0.0065,0.0065,0.0018,0.0034,
,2.36,2.19,0.231,0.342,,7.5,,,,,,0.0144,0.0101,0.0101,0.0003,0.0064,
,2.36,2.19,0.231,0.342,,22.5,,,,,,0.0324,0.0089,0.0089,0.0003,0.0032,
,2.36,2.19,0.231,0.342,,37.5,,,,,,0.0162,0.0079,0.0079,0.0085,0,
,2.36,2.19,0.231,0.342,,52.5,,,,,,0.0177,0.0064,0.0064,0.0033,0.0027,
,2.36,2.19,0.231,0.342,,67.5,,,,,,0.0202,0.0058,0.0058,0.0029,0.0016,
,2.36,2.19,0.231,0.342,,82.5,,,,,,0.0087,0.005,0.005,0.0007,0.0034,
,2.36,2.19,0.231,0.342,,97.5,,,,,,0.0211,0.0048,0.0048,0.0004,0.0008,
,2.36,2.19,0.231,0.342,,112.5,,,,,,0.0186,0.004,0.004,0.0014,0.0006,
,2.36,2.19,0.231,0.342,,127.5,,,,,,0.0115,0.0036,0.0036,0.0001,0.0046,
,2.36,2.19,0.231,0.342,,142.5,,,,,,0.0107,0.0035,0.0035,0.0016,0.0007,
,2.36,2.19,0.231,0.342,,157.5,,,,,,0.0064,0.0035,0.0035,0.0002,0.0009,
,2.36,2.19,0.231,0.342,,172.5,,,,,,0.0014,0.0034,0.0034,0.0036,0,
,2.36,2.19,0.231,0.342,,187.5,,,,,,-0.0012,0.0034,0.0034,0.0022,0.0005,
,2.36,2.19,0.231,0.342,,202.5,,,,,,0.0014,0.0036,0.0036,0.0005,0.0011,
,2.36,2.19,0.231,0.342,,217.5,,,,,,-0.0095,0.0037,0.0037,0,0.0022,
,2.36,2.19,0.231,0.342,,232.5,,,,,,-0.0038,0.0038,0.0038,0,0.0021,
,2.36,2.19,0.231,0.342,,247.5,,,,,,-0.0084,0.004,0.004,0,0.0018,
,2.36,2.19,0.231,0.342,,262.5,,,,,,-0.0112,0.0045,0.0045,0.0009,0.0007,
,2.36,2.19,0.231,0.342,,277.5,,,,,,-0.0221,0.0048,0.0048,0.0022,0.0008,
,2.36,2.19,0.231,0.342,,292.5,,,,,,-0.0215,0.0054,0.0054,0.0008,0.0016,
,2.36,2.19,0.231,0.342,,307.5,,,,,,-0.0274,0.0063,0.0063,0.0079,0,
,2.36,2.19,0.231,0.342,,322.5,,,,,,-0.017,0.0072,0.0072,0,0.0029,
,2.36,2.19,0.231,0.342,,337.5,,,,,,0.0059,0.0083,0.0083,0,0.0054,
,2.36,2.19,0.231,0.342,,352.5,,,,,,0.0066,0.0094,0.0094,0.0025,0.002,
,2.36,2.194,0.278,0.343,,7.5,,,,,,,,,,,
,2.36,2.194,0.278,0.343,,22.5,,,,,,,,,,,
,2.36,2.194,0.278,0.343,,37.5,,,,,,0.0168,0.0087,0.0087,0,0.0074,
,2.36,2.194,0.278,0.343,,52.5,,,,,,0.0117,0.0074,0.0074,0.0066,0.0016,
,2.36,2.194,0.278,0.343,,67.5,,,,,,0.0125,0.0065,0.0065,0,0.0046,
,2.36,2.194,0.278,0.343,,82.5,,,,,,0.0179,0.0054,0.0054,0.0009,0.0009,
,2.36,2.194,0.278,0.343,,97.5,,,,,,0.0135,0.0046,0.0046,0.0024,0,
,2.36,2.194,0.278,0.343,,112.5,,,,,,0.0113,0.0042,0.0042,0.0002,0.002,
,2.36,2.194,0.278,0.343,,127.5,,,,,,0.0023,0.0033,0.0033,0.0012,0.0008,
,2.36,2.194,0.278,0.343,,142.5,,,,,,0.0057,0.0034,0.0034,0.0017,0,
,2.36,2.194,0.278,0.343,,157.5,,,,,,0.0041,0.0035,0.0035,0.0002,0.003,
,2.36,2.194,0.278,0.343,,172.5,,,,,,0.0008,0.0036,0.0036,0.0005,0.0009,
,2.36,2.194,0.278,0.343,,187.5,,,,,,0.0025,0.0036,0.0036,0.0003,0.0019,
,2.36,2.194,0.278,0.343,,202.5,,,,,,-0.0033,0.0033,0.0033,0.0009,0.0001,
,2.36,2.194,0.278,0.343,,217.5,,,,,,-0.0063,0.0036,0.0036,0.0014,0,
,2.36,2.194,0.278,0.343,,232.5,,,,,,-0.0034,0.0037,0.0037,0.0006,0.0005,
,2.36,2.194,0.278,0.343,,247.5,,,,,,-0.0036,0.0038,0.0038,0.0002,0.0009,
,2.36,2.194,0.278,0.343,,262.5,,,,,,-0.0191,0.0043,0.0043,0,0.0051,
,2.36,2.194,0.278,0.343,,277.5,,,,,,-0.0147,0.005,0.005,0.0051,0,
,2.36,2.194,0.278,0.343,,292.5,,,,,,-0.0161,0.0055,0.0055,0.0005,0.0027,
,2.36,2.194,0.278,0.343,,307.5,,,,,,-0.0032,0.0069,0.0069,0.0011,0.0034,
,2.36,2.194,0.278,0.343,,322.5,,,,,,-0.0026,0.0081,0.0081,0.0034,0,
,2.36,2.194,0.278,0.343,,337.5,,,,,,,,,,,
,2.36,2.194,0.278,0.343,,352.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,7.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,22.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,37.5,,,,,,0.0053,0.0119,0.0119,0.0026,0.0035,
,2.36,2.191,0.324,0.342,,52.5,,,,,,0.0165,0.009,0.009,0,0.0043,
,2.36,2.191,0.324,0.342,,67.5,,,,,,0.0179,0.008,0.008,0,0.0054,
,2.36,2.191,0.324,0.342,,82.5,,,,,,0.013,0.0055,0.0055,0.0045,0.0007,
,2.36,2.191,0.324,0.342,,97.5,,,,,,0.0125,0.0049,0.0049,0.005,0.0002,
,2.36,2.191,0.324,0.342,,112.5,,,,,,0.0015,0.0042,0.0042,0.0038,0,
,2.36,2.191,0.324,0.342,,127.5,,,,,,0.0095,0.0039,0.0039,0.0001,0.0007,
,2.36,2.191,0.324,0.342,,142.5,,,,,,0.0078,0.0037,0.0037,0,0.0011,
,2.36,2.191,0.324,0.342,,157.5,,,,,,0.0072,0.0036,0.0036,0,0.001,
,2.36,2.191,0.324,0.342,,172.5,,,,,,0.0008,0.0034,0.0034,0.0004,0.0019,
,2.36,2.191,0.324,0.342,,187.5,,,,,,-0.0002,0.0034,0.0034,0,0.001,
,2.36,2.191,0.324,0.342,,202.5,,,,,,-0.0094,0.0038,0.0038,0.0025,0,
,2.36,2.191,0.324,0.342,,217.5,,,,,,-0.0073,0.0034,0.0034,0.0012,0,
,2.36,2.191,0.324,0.342,,232.5,,,,,,-0.0039,0.0038,0.0038,0.0009,0.0008,
,2.36,2.191,0.324,0.342,,247.5,,,,,,-0.0006,0.0038,0.0038,0.0018,0,
,2.36,2.191,0.324,0.342,,262.5,,,,,,-0.003,0.0048,0.0048,0.0007,0.002,
,2.36,2.191,0.324,0.342,,277.5,,,,,,-0.0194,0.0056,0.0056,0,0.0031,
,2.36,2.191,0.324,0.342,,292.5,,,,,,-0.02,0.0071,0.0071,0.0015,0.0027,
,2.36,2.191,0.324,0.342,,307.5,,,,,,-0.0218,0.0078,0.0078,0.0022,0.0018,
,2.36,2.191,0.324,0.342,,322.5,,,,,,-0.0265,0.0123,0.0123,0.0139,0,
,2.36,2.191,0.324,0.342,,337.5,,,,,,,,,,,
,2.36,2.191,0.324,0.342,,352.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,7.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,22.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,37.5,,,,,,-0.0239,0.0233,0.0233,0.0056,0.0117,
,2.36,2.193,0.371,0.342,,52.5,,,,,,0.0077,0.0121,0.0121,0.0105,0,
,2.36,2.193,0.371,0.342,,67.5,,,,,,0.0059,0.0086,0.0086,0.0002,0.0045,
,2.36,2.193,0.371,0.342,,82.5,,,,,,0.0002,0.0061,0.0061,0.0039,0.0013,
,2.36,2.193,0.371,0.342,,97.5,,,,,,0.0127,0.0053,0.0053,0.0009,0.0034,
,2.36,2.193,0.371,0.342,,112.5,,,,,,-0.0032,0.0043,0.0043,0.001,0.001,
,2.36,2.193,0.371,0.342,,127.5,,,,,,0.0051,0.0036,0.0036,0.0001,0.002,
,2.36,2.193,0.371,0.342,,142.5,,,,,,0.0045,0.0035,0.0035,0.0006,0.0019,
,2.36,2.193,0.371,0.342,,157.5,,,,,,0.0038,0.0037,0.0037,0.0005,0.0004,
,2.36,2.193,0.371,0.342,,172.5,,,,,,-0.0002,0.0039,0.0039,0.0034,0,
,2.36,2.193,0.371,0.342,,187.5,,,,,,0.0085,0.0036,0.0036,0.0013,0.0003,
,2.36,2.193,0.371,0.342,,202.5,,,,,,0.0005,0.0038,0.0038,0,0.0036,
,2.36,2.193,0.371,0.342,,217.5,,,,,,-0.0041,0.0034,0.0034,0.0026,0.0002,
,2.36,2.193,0.371,0.342,,232.5,,,,,,-0.0079,0.0038,0.0038,0.0013,0.0002,
,2.36,2.193,0.371,0.342,,247.5,,,,,,-0.0049,0.0042,0.0042,0.0021,0.0005,
,2.36,2.193,0.371,0.342,,262.5,,,,,,-0.0009,0.0044,0.0044,0.002,0.0001,
,2.36,2.193,0.371,0.342,,277.5,,,,,,-0.0048,0.0057,0.0057,0,0.0025,
,2.36,2.193,0.371,0.342,,292.5,,,,,,-0.0154,0.0077,0.0077,0,0.0038,
,2.36,2.193,0.371,0.342,,307.5,,,,,,-0.0097,0.0106,0.0106,0.0022,0.0015,
,2.36,2.193,0.371,0.342,,322.5,,,,,,-0.0199,0.0176,0.0176,0,0.0258,
,2.36,2.193,0.371,0.342,,337.5,,,,,,,,,,,
,2.36,2.193,0.371,0.342,,352.5,,,,,,,,,,,
