bin,k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,,1.13,-0.203,0.125,,187.5,0.643847,0.0602339,0.0602339,0.0731341,0.0731341,-0.0336179,0.046947,0.046947,0.0224928,0.0224928,
,,1.13,-0.203,0.125,,202.6,0.625088,0.0465682,0.0465682,0.0552798,0.0552798,-0.0120838,0.0361743,0.0361743,0.0170531,0.0170531,
,,1.13,-0.203,0.125,,217.7,0.780167,0.0560316,0.0560316,0.0568255,0.0568255,-0.13863,0.0441595,0.0441595,0.0259042,0.0259042,
,,1.13,-0.203,0.125,,232.7,0.921865,0.0762841,0.0762841,0.064901,0.064901,-0.176231,0.0595001,0.0595001,0.0414536,0.0414536,
,,1.13,-0.203,0.125,,247.8,0.923924,0.0663036,0.0663036,0.0620536,0.0620536,-0.195418,0.0517665,0.0517665,0.0490823,0.0490823,
,,1.129,-0.203,0.125,,262.9,1.23309,0.0692748,0.0692748,0.080133,0.080133,-0.176735,0.0530038,0.0530038,0.0148944,0.0148944,
,,1.129,-0.203,0.125,,278,1.47586,0.0738111,0.0738111,0.100911,0.100911,-0.277799,0.0564764,0.0564764,0.0269697,0.0269697,
,,1.129,-0.203,0.125,,293.1,2.88643,0.165375,0.165375,0.181995,0.181995,-0.544628,0.124687,0.124687,0.0463807,0.0463807,
,,1.129,-0.263,0.125,,52.1,3.32365,0.237301,0.237301,0.204194,0.204194,0.454538,0.179111,0.179111,0.0557638,0.0557638,
,,1.129,-0.262,0.125,,66.9,1.67023,0.0980865,0.0980865,0.102681,0.102681,0.340414,0.0751387,0.0751387,0.0486572,0.0486572,
,,1.13,-0.261,0.125,,82,1.06913,0.061701,0.061701,0.0765821,0.0765821,0.19792,0.0471302,0.0471302,0.019534,0.019534,
,,1.13,-0.261,0.125,,97.1,0.780458,0.0434604,0.0434604,0.0487859,0.0487859,0.0529851,0.033017,0.033017,0.0117002,0.0117002,
,,1.13,-0.261,0.125,,112.2,0.720677,0.0504269,0.0504269,0.050215,0.050215,0.13481,0.0390878,0.0390878,0.0159484,0.0159484,
,,1.13,-0.261,0.125,,127.2,0.590171,0.055665,0.055665,0.0448401,0.0448401,-0.0267293,0.043645,0.043645,0.0487724,0.0487724,
,,1.13,-0.261,0.125,,142.3,0.604116,0.0532185,0.0532185,0.0414793,0.0414793,0.116842,0.0417098,0.0417098,0.022097,0.022097,
,,1.131,-0.261,0.125,,157.4,0.453047,0.0367427,0.0367427,0.0311532,0.0311532,0.0264656,0.028608,0.028608,0.00678316,0.00678316,
,,1.131,-0.261,0.125,,172.5,0.430993,0.0393336,0.0393336,0.0369379,0.0369379,-0.0150625,0.0305896,0.0305896,0.0115829,0.0115829,
,,1.131,-0.261,0.125,,187.5,0.461143,0.0482433,0.0482433,0.039574,0.039574,0.0928351,0.0388139,0.0388139,0.045109,0.045109,
,,1.131,-0.261,0.125,,202.6,0.40646,0.0338901,0.0338901,0.0299776,0.0299776,-0.11681,0.0279344,0.0279344,0.014268,0.014268,
,,1.13,-0.261,0.125,,217.7,0.47978,0.0370265,0.0370265,0.034939,0.034939,-0.110625,0.0292143,0.0292143,0.0290349,0.0290349,
,,1.13,-0.261,0.125,,232.8,0.516162,0.0400076,0.0400076,0.0575079,0.0575079,-0.0827499,0.0317366,0.0317366,0.0185668,0.0185668,
,,1.13,-0.261,0.125,,247.8,0.640022,0.0514851,0.0514851,0.048953,0.048953,-0.197751,0.0410491,0.0410491,0.0167893,0.0167893,
,,1.13,-0.261,0.125,,262.9,0.75071,0.043088,0.043088,0.0490769,0.0490769,-0.126299,0.0333616,0.0333616,0.0120863,0.0120863,
,,1.13,-0.261,0.125,,278,1.11892,0.0588015,0.0588015,0.0791653,0.0791653,-0.160702,0.0448231,0.0448231,0.0287007,0.0287007,
,,1.129,-0.262,0.125,,293.1,1.58164,0.0803197,0.0803197,0.0977619,0.0977619,-0.217993,0.0606414,0.0606414,0.0185034,0.0185034,
,,1.129,-0.263,0.125,,307.9,1.95523,0.144641,0.144641,0.200922,0.200922,-0.251275,0.113257,0.113257,0.194794,0.194794,
,,1.13,-0.34,0.125,,51.7,1.46259,0.0723992,0.0723992,0.0918339,0.0918339,0.217321,0.0549601,0.0549601,0.0296864,0.0296864,
,,1.13,-0.34,0.125,,66.9,0.888656,0.0488724,0.0488724,0.0557754,0.0557754,0.106034,0.0372484,0.0372484,0.0117748,0.0117748,
,,1.13,-0.34,0.125,,82,0.673452,0.0424445,0.0424445,0.0501536,0.0501536,0.0769793,0.0324747,0.0324747,0.0132217,0.0132217,
,,1.13,-0.34,0.125,,97.1,0.395096,0.0245319,0.0245319,0.0266732,0.0266732,0.0521081,0.0191482,0.0191482,0.00857316,0.00857316,
,,1.131,-0.34,0.125,,112.2,0.352406,0.0256813,0.0256813,0.0246702,0.0246702,0.0425764,0.020359,0.020359,0.0165982,0.0165982,
,,1.131,-0.34,0.125,,127.2,0.260838,0.0249399,0.0249399,0.0264029,0.0264029,0.0222516,0.0203444,0.0203444,0.0119401,0.0119401,
,,1.131,-0.34,0.125,,142.3,0.246555,0.0241467,0.0241467,0.0199389,0.0199389,0.0567145,0.0198828,0.0198828,0.0056551,0.0056551,
,,1.131,-0.34,0.125,,157.4,0.234094,0.021329,0.021329,0.0216625,0.0216625,0.0301141,0.0169682,0.0169682,0.00390867,0.00390867,
,,1.131,-0.34,0.125,,172.5,0.270297,0.0268189,0.0268189,0.0185106,0.0185106,0.0197781,0.021713,0.021713,0.00361411,0.00361411,
,,1.131,-0.34,0.125,,187.5,0.191583,0.0206747,0.0206747,0.0379855,0.0379855,-0.0236192,0.0171674,0.0171674,0.0267888,0.0267888,
,,1.131,-0.34,0.125,,217.7,0.293611,0.0265269,0.0265269,0.0178094,0.0178094,-0.00271298,0.0209358,0.0209358,0.00288081,0.00288081,
,,1.131,-0.34,0.125,,232.8,0.333625,0.0321128,0.0321128,0.0336783,0.0336783,-0.0542602,0.0258304,0.0258304,0.00738555,0.00738555,
,,1.131,-0.34,0.125,,247.8,0.341955,0.0342719,0.0342719,0.0277578,0.0277578,-0.0781743,0.0275298,0.0275298,0.044789,0.044789,
,,1.13,-0.34,0.125,,262.9,0.371941,0.025089,0.025089,0.0277056,0.0277056,-0.0565681,0.0199852,0.0199852,0.0132623,0.0132623,
,,1.13,-0.34,0.125,,278,0.695075,0.0400256,0.0400256,0.0448194,0.0448194,-0.125196,0.0307168,0.0307168,0.013234,0.013234,
,,1.13,-0.34,0.125,,293.1,0.963737,0.0495937,0.0495937,0.0655101,0.0655101,-0.20185,0.0382312,0.0382312,0.0272889,0.0272889,
,,1.13,-0.34,0.125,,308.3,1.22134,0.0695217,0.0695217,0.0814237,0.0814237,-0.171549,0.05297,0.05297,0.0231183,0.0231183,
,,1.126,-0.451,0.125,,37.5,1.41373,0.0928492,0.0928492,0.0944686,0.0944686,0.0217206,0.0693321,0.0693321,0.0142154,0.0142154,
