bin,k,q_squared,t,x_b,W,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
,,7.5,,,89,,5.63,0.77,0.77,0.3,0.33,https://doi.org/10.1016/j.physletb.2003.08.048
,,12.5,,,89,,2.2,0.52,0.52,0.13,0.13,
,,20,,,89,,0.96,0.31,0.31,0.1,0.06,
,,32.5,,,89,,0.61,0.28,0.28,0.06,0.05,
,,9.6,,,56.7,,2.94,0.39,0.39,0.16,0.13,
,,9.6,,,90,,4.06,0.69,0.69,0.35,0.25,
,,9.6,,,123.3,,3.8,1.1,1.1,0.3,0.4,
