bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,4.455,1.74,0.24,0.357,,187.5,,,,,,0.0567,0.0042,0.0042,,,
,4.455,1.74,0.24,0.357,,202.5,,,,,,0.0594,0.0044,0.0044,,,
,4.455,1.74,0.24,0.357,,217.5,,,,,,0.0596,0.0043,0.0043,,,
,4.455,1.74,0.24,0.357,,232.5,,,,,,0.0599,0.0044,0.0044,,,
,4.455,1.74,0.24,0.357,,247.5,,,,,,0.0792,0.0048,0.0048,,,
,4.455,1.74,0.24,0.357,,262.5,,,,,,0.081,0.0049,0.0049,,,
,4.455,1.74,0.24,0.357,,277.5,,,,,,0.0924,0.0054,0.0054,,,
,4.455,1.74,0.24,0.357,,292.5,,,,,,0.1035,0.0057,0.0057,,,
,4.455,1.74,0.24,0.357,,307.5,,,,,,0.1344,0.0065,0.0065,,,
,4.455,1.74,0.24,0.357,,322.5,,,,,,0.1683,0.0073,0.0073,,,
,4.455,1.74,0.24,0.357,,337.5,,,,,,0.1972,0.008,0.008,,,
,4.455,1.74,0.24,0.357,,352.5,,,,,,0.2041,0.0084,0.0084,,,
,4.455,1.74,0.301,0.358,,7.5,,,,,,0.2078,0.0099,0.0099,,,
,4.455,1.74,0.301,0.358,,22.5,,,,,,0.1793,0.0092,0.0092,,,
,4.455,1.74,0.301,0.358,,37.5,,,,,,0.1306,0.0075,0.0075,,,
,4.455,1.74,0.301,0.358,,52.5,,,,,,0.119,0.0065,0.0065,,,
,4.455,1.74,0.301,0.358,,67.5,,,,,,0.0926,0.0055,0.0055,,,
,4.455,1.74,0.301,0.358,,82.5,,,,,,0.0793,0.0051,0.0051,,,
,4.455,1.74,0.301,0.358,,97.5,,,,,,0.0735,0.0049,0.0049,,,
,4.455,1.74,0.301,0.358,,112.5,,,,,,0.0504,0.0044,0.0044,,,
,4.455,1.74,0.301,0.358,,127.5,,,,,,0.053,0.0043,0.0043,,,
,4.455,1.74,0.301,0.358,,142.5,,,,,,0.0436,0.0041,0.0041,,,
,4.455,1.74,0.301,0.358,,157.5,,,,,,0.0454,0.0044,0.0044,,,
,4.455,1.74,0.301,0.358,,172.5,,,,,,0.0486,0.0046,0.0046,,,
,4.455,1.74,0.301,0.358,,187.5,,,,,,0.0457,0.0046,0.0046,,,
,4.455,1.74,0.301,0.358,,202.5,,,,,,0.0503,0.0046,0.0046,,,
,4.455,1.74,0.301,0.358,,217.5,,,,,,0.0401,0.0043,0.0043,,,
,4.455,1.74,0.301,0.358,,232.5,,,,,,0.0451,0.0042,0.0042,,,
,4.455,1.74,0.301,0.358,,247.5,,,,,,0.0568,0.0045,0.0045,,,
,4.455,1.74,0.301,0.358,,262.5,,,,,,0.0656,0.0047,0.0047,,,
,4.455,1.74,0.301,0.358,,277.5,,,,,,0.0747,0.0051,0.0051,,,
,4.455,1.74,0.301,0.358,,292.5,,,,,,0.0906,0.0058,0.0058,,,
,4.455,1.74,0.301,0.358,,307.5,,,,,,0.1168,0.0065,0.0065,,,
,4.455,1.74,0.301,0.358,,322.5,,,,,,0.1438,0.0076,0.0076,,,
,4.455,1.74,0.301,0.358,,337.5,,,,,,0.1708,0.0086,0.0086,,,
,4.455,1.74,0.301,0.358,,352.5,,,,,,0.1939,0.0098,0.0098,,,
,4.455,1.76,0.363,0.361,,7.5,,,,,,0.1872,0.015,0.015,,,
,4.455,1.76,0.363,0.361,,22.5,,,,,,0.1297,0.011,0.011,,,
,4.455,1.76,0.363,0.361,,37.5,,,,,,0.1265,0.0078,0.0078,,,
,4.455,1.76,0.363,0.361,,52.5,,,,,,0.0888,0.0059,0.0059,,,
,4.455,1.76,0.363,0.361,,67.5,,,,,,0.0707,0.0052,0.0052,,,
,4.455,1.76,0.363,0.361,,82.5,,,,,,0.0691,0.005,0.005,,,
,4.455,1.76,0.363,0.361,,97.5,,,,,,0.0524,0.0045,0.0045,,,
,4.455,1.76,0.363,0.361,,112.5,,,,,,0.0425,0.0041,0.0041,,,
,4.455,1.76,0.363,0.361,,127.5,,,,,,0.0374,0.004,0.004,,,
,4.455,1.76,0.363,0.361,,142.5,,,,,,0.036,0.0041,0.0041,,,
,4.455,1.76,0.363,0.361,,157.5,,,,,,0.0336,0.0045,0.0045,,,
,4.455,1.76,0.363,0.361,,172.5,,,,,,0.0435,0.0052,0.0052,,,
,4.455,1.76,0.363,0.361,,187.5,,,,,,0.0429,0.0052,0.0052,,,
,4.455,1.76,0.363,0.361,,202.5,,,,,,0.0378,0.0048,0.0048,,,
,4.455,1.76,0.363,0.361,,217.5,,,,,,0.0411,0.0045,0.0045,,,
,4.455,1.76,0.363,0.361,,232.5,,,,,,0.0439,0.0042,0.0042,,,
,4.455,1.76,0.363,0.361,,247.5,,,,,,0.0498,0.0043,0.0043,,,
,4.455,1.76,0.363,0.361,,262.5,,,,,,0.0573,0.0047,0.0047,,,
,4.455,1.76,0.363,0.361,,277.5,,,,,,0.0625,0.0051,0.0051,,,
,4.455,1.76,0.363,0.361,,292.5,,,,,,0.0775,0.0054,0.0054,,,
,4.455,1.76,0.363,0.361,,307.5,,,,,,0.0864,0.006,0.006,,,
,4.455,1.76,0.363,0.361,,322.5,,,,,,0.1253,0.0075,0.0075,,,
,4.455,1.76,0.363,0.361,,337.5,,,,,,0.1533,0.01,0.01,,,
,4.455,1.76,0.363,0.361,,352.5,,,,,,0.1743,0.014,0.014,,,
,4.455,1.98,0.182,0.356,,7.5,,,,,,0.1824,0.0096,0.0096,,,
,4.455,1.98,0.182,0.356,,22.5,,,,,,0.1833,0.0096,0.0096,,,
,4.455,1.98,0.182,0.356,,37.5,,,,,,0.1609,0.009,0.009,,,
,4.455,1.98,0.182,0.356,,52.5,,,,,,0.1528,0.0085,0.0085,,,
,4.455,1.98,0.182,0.356,,67.5,,,,,,0.1463,0.008,0.008,,,
,4.455,1.98,0.182,0.356,,82.5,,,,,,0.1203,0.0072,0.0072,,,
,4.455,1.98,0.182,0.356,,97.5,,,,,,0.109,0.0068,0.0068,,,
,4.455,1.98,0.182,0.356,,112.5,,,,,,0.0834,0.0059,0.0059,,,
,4.455,1.98,0.182,0.356,,127.5,,,,,,0.0824,0.0058,0.0058,,,
,4.455,1.98,0.182,0.356,,142.5,,,,,,0.0853,0.0057,0.0057,,,
,4.455,1.98,0.182,0.356,,157.5,,,,,,0.0733,0.0054,0.0054,,,
,4.455,1.98,0.182,0.356,,172.5,,,,,,0.0748,0.0053,0.0053,,,
,4.455,1.98,0.182,0.356,,187.5,,,,,,0.0749,0.0054,0.0054,,,
,4.455,1.98,0.182,0.356,,202.5,,,,,,0.0738,0.0053,0.0053,,,
,4.455,1.98,0.182,0.356,,217.5,,,,,,0.0836,0.0056,0.0056,,,
,4.455,1.98,0.182,0.356,,232.5,,,,,,0.0868,0.0057,0.0057,,,
,4.455,1.98,0.182,0.356,,247.5,,,,,,0.0847,0.006,0.006,,,
,4.455,1.98,0.182,0.356,,262.5,,,,,,0.1016,0.0064,0.0064,,,
,4.455,1.98,0.182,0.356,,277.5,,,,,,0.1314,0.0075,0.0075,,,
,4.455,1.98,0.182,0.356,,292.5,,,,,,0.147,0.0082,0.0082,,,
,4.455,1.98,0.182,0.356,,307.5,,,,,,0.1629,0.0086,0.0086,,,
,4.455,1.98,0.182,0.356,,322.5,,,,,,0.1699,0.0091,0.0091,,,
,4.455,1.98,0.182,0.356,,337.5,,,,,,0.1981,0.0098,0.0098,,,
,4.455,1.98,0.182,0.356,,352.5,,,,,,0.1968,0.0096,0.0096,,,
,4.455,1.99,0.242,0.357,,7.5,,,,,,0.2466,0.013,0.013,,,
,4.455,1.99,0.242,0.357,,22.5,,,,,,0.1948,0.012,0.012,,,
,4.455,1.99,0.242,0.357,,37.5,,,,,,0.1762,0.01,0.01,,,
,4.455,1.99,0.242,0.357,,52.5,,,,,,0.1359,0.0085,0.0085,,,
,4.455,1.99,0.242,0.357,,67.5,,,,,,0.1094,0.0075,0.0075,,,
,4.455,1.99,0.242,0.357,,82.5,,,,,,0.0974,0.007,0.007,,,
,4.455,1.99,0.242,0.357,,97.5,,,,,,0.0771,0.006,0.006,,,
,4.455,1.99,0.242,0.357,,112.5,,,,,,0.0675,0.0057,0.0057,,,
,4.455,1.99,0.242,0.357,,127.5,,,,,,0.0656,0.0054,0.0054,,,
,4.455,1.99,0.242,0.357,,142.5,,,,,,0.0473,0.0048,0.0048,,,
,4.455,1.99,0.242,0.357,,157.5,,,,,,0.0463,0.0047,0.0047,,,
,4.455,1.99,0.242,0.357,,172.5,,,,,,0.0521,0.0048,0.0048,,,
,4.455,1.99,0.242,0.357,,187.5,,,,,,0.0522,0.0049,0.0049,,,
,4.455,1.99,0.242,0.357,,202.5,,,,,,0.0395,0.0045,0.0045,,,
,4.455,1.99,0.242,0.357,,217.5,,,,,,0.0538,0.0051,0.0051,,,
,4.455,1.99,0.242,0.357,,232.5,,,,,,0.0717,0.0059,0.0059,,,
,4.455,1.99,0.242,0.357,,247.5,,,,,,0.0646,0.0057,0.0057,,,
,4.455,1.99,0.242,0.357,,262.5,,,,,,0.0824,0.0062,0.0062,,,
,4.455,1.99,0.242,0.357,,277.5,,,,,,0.0966,0.0067,0.0067,,,
,4.455,1.99,0.242,0.357,,292.5,,,,,,0.1073,0.0074,0.0074,,,
,4.455,1.99,0.242,0.357,,307.5,,,,,,0.1331,0.0087,0.0087,,,
,4.455,1.99,0.242,0.357,,322.5,,,,,,0.1844,0.01,0.01,,,
,4.455,1.99,0.242,0.357,,337.5,,,,,,0.1966,0.011,0.011,,,
,4.455,1.99,0.242,0.357,,352.5,,,,,,0.2731,0.013,0.013,,,
,4.455,2,0.304,0.36,,22.5,,,,,,0.2032,0.019,0.019,,,
,4.455,2,0.304,0.36,,37.5,,,,,,0.1395,0.011,0.011,,,
,4.455,2,0.304,0.36,,52.5,,,,,,0.1049,0.0082,0.0082,,,
,4.455,2,0.304,0.36,,67.5,,,,,,0.0863,0.007,0.007,,,
,4.455,2,0.304,0.36,,82.5,,,,,,0.08,0.0063,0.0063,,,
,4.455,2,0.304,0.36,,97.5,,,,,,0.0522,0.0053,0.0053,,,
,4.455,2,0.304,0.36,,112.5,,,,,,0.055,0.0054,0.0054,,,
,4.455,2,0.304,0.36,,127.5,,,,,,0.0434,0.0048,0.0048,,,
,4.455,2,0.304,0.36,,142.5,,,,,,0.0379,0.0044,0.0044,,,
,4.455,2,0.304,0.36,,157.5,,,,,,0.0448,0.0046,0.0046,,,
,4.455,2,0.304,0.36,,172.5,,,,,,0.0365,0.0044,0.0044,,,
,4.455,2,0.304,0.36,,187.5,,,,,,0.0379,0.0044,0.0044,,,
,4.455,2,0.304,0.36,,202.5,,,,,,0.0462,0.0047,0.0047,,,
,4.455,2,0.304,0.36,,217.5,,,,,,0.0361,0.0044,0.0044,,,
,4.455,2,0.304,0.36,,232.5,,,,,,0.049,0.005,0.005,,,
,4.455,2,0.304,0.36,,247.5,,,,,,0.0608,0.0055,0.0055,,,
,4.455,2,0.304,0.36,,262.5,,,,,,0.0611,0.0056,0.0056,,,
,4.455,2,0.304,0.36,,277.5,,,,,,0.0626,0.006,0.006,,,
,4.455,2,0.304,0.36,,292.5,,,,,,0.0793,0.0069,0.0069,,,
,4.455,2,0.304,0.36,,307.5,,,,,,0.135,0.009,0.009,,,
,4.455,2,0.304,0.36,,322.5,,,,,,0.1505,0.011,0.011,,,
,4.455,2,0.304,0.36,,337.5,,,,,,0.166,0.018,0.018,,,
,4.455,2,0.364,0.36,,37.5,,,,,,0.1335,0.018,0.018,,,
,4.455,2,0.364,0.36,,52.5,,,,,,0.0811,0.0086,0.0086,,,
,4.455,2,0.364,0.36,,67.5,,,,,,0.0719,0.0068,0.0068,,,
,4.455,2,0.364,0.36,,82.5,,,,,,0.0549,0.0056,0.0056,,,
,4.455,2,0.364,0.36,,97.5,,,,,,0.0423,0.0051,0.0051,,,
,4.455,2,0.364,0.36,,112.5,,,,,,0.0379,0.0051,0.0051,,,
,4.455,2,0.364,0.36,,127.5,,,,,,0.0327,0.0047,0.0047,,,
,4.455,2,0.364,0.36,,142.5,,,,,,0.0303,0.0043,0.0043,,,
,4.455,2,0.364,0.36,,157.5,,,,,,0.0254,0.0041,0.0041,,,
,4.455,2,0.364,0.36,,172.5,,,,,,0.0239,0.0042,0.0042,,,
,4.455,2,0.364,0.36,,187.5,,,,,,0.0265,0.0043,0.0043,,,
,4.455,2,0.364,0.36,,202.5,,,,,,0.0323,0.0044,0.0044,,,
,4.455,2,0.364,0.36,,217.5,,,,,,0.0356,0.0044,0.0044,,,
,4.455,2,0.364,0.36,,232.5,,,,,,0.0391,0.0047,0.0047,,,
,4.455,2,0.364,0.36,,247.5,,,,,,0.0457,0.0051,0.0051,,,
,4.455,2,0.364,0.36,,262.5,,,,,,0.0471,0.0054,0.0054,,,
,4.455,2,0.364,0.36,,277.5,,,,,,0.0567,0.0061,0.0061,,,
,4.455,2,0.364,0.36,,292.5,,,,,,0.0638,0.0064,0.0064,,,
,4.455,2,0.364,0.36,,307.5,,,,,,0.0846,0.0089,0.0089,,,
,4.455,2,0.364,0.36,,322.5,,,,,,0.1299,0.019,0.019,,,
