set,index,k,q_squared,x_b,t,phi,F,sigma,sigma_stat_plus,F1,F2
3,15,5.75,1.964,0.375,-0.278,232.5,0.02840,0.00228,0.08028,0.56833,0.85069
3,16,5.75,1.964,0.375,-0.278,247.5,0.03730,0.00264,0.07078,0.56833,0.85069
3,17,5.75,1.964,0.375,-0.278,262.5,0.03780,0.00276,0.07302,0.56833,0.85069
3,18,5.75,1.964,0.375,-0.278,277.5,0.04020,0.00288,0.07164,0.56833,0.85069
3,19,5.75,1.964,0.375,-0.278,292.5,0.04260,0.00324,0.07606,0.56833,0.85069
3,20,5.75,1.964,0.375,-0.278,307.5,0.04680,0.00372,0.07949,0.56833,0.85069
3,21,5.75,1.964,0.375,-0.278,322.5,0.04800,0.00420,0.0875,0.56833,0.85069
3,22,5.75,1.964,0.375,-0.278,337.5,0.06030,0.00540,0.08955,0.56833,0.85069
3,23,5.75,1.964,0.375,-0.278,352.5,0.06070,0.00636,0.10478,0.56833,0.85069
4,0,5.75,1.986,0.379,-0.323,7.5,0.06620,0.00924,0.13958,0.52951,0.77171
4,1,5.75,1.986,0.379,-0.323,22.5,0.06410,0.00756,0.11794,0.52951,0.77171
4,2,5.75,1.986,0.379,-0.323,37.5,0.04390,0.00540,0.12301,0.52951,0.77171
4,3,5.75,1.986,0.379,-0.323,52.5,0.04250,0.00456,0.10729,0.52951,0.77171
4,4,5.75,1.986,0.379,-0.323,67.5,0.03530,0.00372,0.10538,0.52951,0.77171
4,5,5.75,1.986,0.379,-0.323,82.5,0.02940,0.00336,0.11429,0.52951,0.77171
4,6,5.75,1.986,0.379,-0.323,97.5,0.02740,0.00288,0.10511,0.52951,0.77171
4,7,5.75,1.986,0.379,-0.323,112.5,0.02400,0.00252,0.105,0.52951,0.77171
4,8,5.75,1.986,0.379,-0.323,127.5,0.02550,0.00240,0.09412,0.52951,0.77171
4,9,5.75,1.986,0.379,-0.323,142.5,0.02240,0.00228,0.10179,0.52951,0.77171
4,10,5.75,1.986,0.379,-0.323,157.5,0.02130,0.00252,0.11831,0.52951,0.77171
4,11,5.75,1.986,0.379,-0.323,172.5,0.01740,0.00240,0.13793,0.52951,0.77171
4,12,5.75,1.986,0.379,-0.323,187.5,0.02140,0.00252,0.11776,0.52951,0.77171
4,13,5.75,1.986,0.379,-0.323,202.5,0.02250,0.00252,0.112,0.52951,0.77171
4,14,5.75,1.986,0.379,-0.323,217.5,0.02510,0.00252,0.1004,0.52951,0.77171
4,15,5.75,1.986,0.379,-0.323,232.5,0.02600,0.00252,0.09692,0.52951,0.77171
4,16,5.75,1.986,0.379,-0.323,247.5,0.03050,0.00288,0.09443,0.52951,0.77171
4,17,5.75,1.986,0.379,-0.323,262.5,0.02820,0.00300,0.10638,0.52951,0.77171
4,18,5.75,1.986,0.379,-0.323,277.5,0.03260,0.00324,0.09939,0.52951,0.77171
4,19,5.75,1.986,0.379,-0.323,292.5,0.03640,0.00372,0.1022,0.52951,0.77171
4,20,5.75,1.986,0.379,-0.323,307.5,0.04740,0.00456,0.0962,0.52951,0.77171
4,21,5.75,1.986,0.379,-0.323,322.5,0.04600,0.00564,0.12261,0.52951,0.77171
4,22,5.75,1.986,0.379,-0.323,337.5,0.05260,0.00756,0.14373,0.52951,0.77171
4,23,5.75,1.986,0.379,-0.323,352.5,0.05000,0.00876,0.1752,0.52951,0.77171
5,0,5.75,1.999,0.381,-0.371,7.5,0.07060,0.01416,0.20057,0.49291,0.69902
5,1,5.75,1.999,0.381,-0.371,22.5,0.06630,0.01044,0.15747,0.49291,0.69902
5,2,5.75,1.999,0.381,-0.371,37.5,0.04510,0.00684,0.15166,0.49291,0.69902
5,3,5.75,1.999,0.381,-0.371,52.5,0.03900,0.00540,0.13846,0.49291,0.69902
5,4,5.75,1.999,0.381,-0.371,67.5,0.04100,0.00444,0.10829,0.49291,0.69902
5,5,5.75,1.999,0.381,-0.371,82.5,0.02670,0.00348,0.13034,0.49291,0.69902
5,6,5.75,1.999,0.381,-0.371,97.5,0.02920,0.00336,0.11507,0.49291,0.69902
5,7,5.75,1.999,0.381,-0.371,112.5,0.02590,0.00312,0.12046,0.49291,0.69902
5,8,5.75,1.999,0.381,-0.371,127.5,0.02140,0.00288,0.13458,0.49291,0.69902
5,9,5.75,1.999,0.381,-0.371,142.5,0.01610,0.00288,0.17888,0.49291,0.69902
5,10,5.75,1.999,0.381,-0.371,157.5,0.01350,0.00324,0.24,0.49291,0.69902
5,11,5.75,1.999,0.381,-0.371,172.5,0.01750,0.00384,0.21943,0.49291,0.69902
5,12,5.75,1.999,0.381,-0.371,187.5,0.02050,0.00384,0.18732,0.49291,0.69902
5,13,5.75,1.999,0.381,-0.371,202.5,0.02170,0.00348,0.16037,0.49291,0.69902
5,14,5.75,1.999,0.381,-0.371,217.5,0.02650,0.00312,0.11774,0.49291,0.69902
5,15,5.75,1.999,0.381,-0.371,232.5,0.02010,0.00264,0.13134,0.49291,0.69902
5,16,5.75,1.999,0.381,-0.371,247.5,0.02570,0.00312,0.1214,0.49291,0.69902
5,17,5.75,1.999,0.381,-0.371,262.5,0.02170,0.00312,0.14378,0.49291,0.69902
5,18,5.75,1.999,0.381,-0.371,277.5,0.02620,0.00348,0.13282,0.49291,0.69902
5,19,5.75,1.999,0.381,-0.371,292.5,0.02970,0.00420,0.14141,0.49291,0.69902
5,20,5.75,1.999,0.381,-0.371,307.5,0.03380,0.00492,0.14556,0.49291,0.69902
