bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,3.53,1.453,0.17,0.345,,7.5,,,,,,0.0008,0.0079,0.0079,0.001,0.003,https://doi.org/10.1103/PhysRevC.92.055202
,3.53,1.453,0.17,0.345,,22.5,,,,,,0.0052,0.0071,0.0071,0,0.0094,
,3.53,1.453,0.17,0.345,,37.5,,,,,,0.0165,0.0063,0.0063,0,0.0107,
,3.53,1.453,0.17,0.345,,52.5,,,,,,0.0188,0.0052,0.0052,0.0011,0.0011,
,3.53,1.453,0.17,0.345,,67.5,,,,,,0.0199,0.0045,0.0045,0.0026,0,
,3.53,1.453,0.17,0.345,,82.5,,,,,,0.014,0.004,0.004,0.0016,0,
,3.53,1.453,0.17,0.345,,97.5,,,,,,0.0158,0.0038,0.0038,0,0.0028,
,3.53,1.453,0.17,0.345,,112.5,,,,,,0.0159,0.0036,0.0036,0.0019,0.0002,
,3.53,1.453,0.17,0.345,,127.5,,,,,,0.0127,0.0033,0.0033,0.0015,0.0003,
,3.53,1.453,0.17,0.345,,142.5,,,,,,0.01,0.0031,0.0031,0,0.003,
,3.53,1.453,0.17,0.345,,157.5,,,,,,0.0068,0.0029,0.0029,0.003,0,
,3.53,1.453,0.17,0.345,,172.5,,,,,,-0.0035,0.0028,0.0028,0.0004,0.0016,
,3.53,1.453,0.17,0.345,,187.5,,,,,,-0.0019,0.0028,0.0028,0.0011,0.0003,
,3.53,1.453,0.17,0.345,,202.5,,,,,,-0.0053,0.0029,0.0029,0.0011,0.0003,
,3.53,1.453,0.17,0.345,,217.5,,,,,,-0.0044,0.003,0.003,0.002,0.0008,
,3.53,1.453,0.17,0.345,,232.5,,,,,,-0.008,0.0032,0.0032,0.0011,0.0004,
,3.53,1.453,0.17,0.345,,247.5,,,,,,-0.0118,0.0034,0.0034,0,0.0057,
,3.53,1.453,0.17,0.345,,262.5,,,,,,-0.0113,0.0036,0.0036,0,0.0034,
,3.53,1.453,0.17,0.345,,277.5,,,,,,-0.024,0.0039,0.0039,0.0024,0.0002,
,3.53,1.453,0.17,0.345,,292.5,,,,,,-0.0265,0.0044,0.0044,0.0024,0,
,3.53,1.453,0.17,0.345,,307.5,,,,,,-0.0166,0.005,0.005,0.0052,0.0015,
,3.53,1.453,0.17,0.345,,322.5,,,,,,-0.0187,0.006,0.006,0.0047,0,
,3.53,1.453,0.17,0.345,,337.5,,,,,,-0.0057,0.0069,0.0069,0.0027,0.0023,
,3.53,1.453,0.17,0.345,,352.5,,,,,,-0.0014,0.0076,0.0076,0.0016,0.0019,
,3.53,1.552,0.232,0.374,,7.5,,,,,,0.0057,0.0079,0.0079,0,0.0038,
,3.53,1.552,0.232,0.374,,22.5,,,,,,-0.0022,0.0071,0.0071,0.0084,0,
,3.53,1.552,0.232,0.374,,37.5,,,,,,0.0043,0.0061,0.0061,0.0019,0.0034,
,3.53,1.552,0.232,0.374,,52.5,,,,,,0.0134,0.0051,0.0051,0.0032,0.0012,
,3.53,1.552,0.232,0.374,,67.5,,,,,,0.0124,0.0046,0.0046,0,0.004,
,3.53,1.552,0.232,0.374,,82.5,,,,,,0.0122,0.0038,0.0038,0.001,0,
,3.53,1.552,0.232,0.374,,97.5,,,,,,0.0083,0.0035,0.0035,0.0016,0.0011,
,3.53,1.552,0.232,0.374,,112.5,,,,,,0.0136,0.0033,0.0033,0.0007,0.0017,
,3.53,1.552,0.232,0.374,,127.5,,,,,,0.0067,0.0031,0.0031,0,0.0049,
,3.53,1.552,0.232,0.374,,142.5,,,,,,0.0077,0.0028,0.0028,0,0.0034,
,3.53,1.552,0.232,0.374,,157.5,,,,,,0.003,0.0027,0.0027,0.0011,0,
,3.53,1.552,0.232,0.374,,172.5,,,,,,-0.0016,0.0027,0.0027,0.0015,0.0003,
,3.53,1.552,0.232,0.374,,187.5,,,,,,0.001,0.0026,0.0026,0.001,0.0004,
,3.53,1.552,0.232,0.374,,202.5,,,,,,-0.0018,0.0028,0.0028,0.004,0,
,3.53,1.552,0.232,0.374,,217.5,,,,,,-0.0049,0.0029,0.0029,0.0012,0.0009,
,3.53,1.552,0.232,0.374,,232.5,,,,,,-0.0087,0.0029,0.0029,0.0011,0.0012,
,3.53,1.552,0.232,0.374,,247.5,,,,,,-0.0104,0.0032,0.0032,0.0024,0,
,3.53,1.552,0.232,0.374,,262.5,,,,,,-0.0079,0.0035,0.0035,0.0024,0.001,
,3.53,1.552,0.232,0.374,,277.5,,,,,,-0.011,0.0036,0.0036,0,0.0033,
,3.53,1.552,0.232,0.374,,292.5,,,,,,-0.0164,0.0042,0.0042,0.0009,0.0015,
,3.53,1.552,0.232,0.374,,307.5,,,,,,-0.01,0.0047,0.0047,0.0031,0,
,3.53,1.552,0.232,0.374,,322.5,,,,,,-0.0118,0.006,0.006,0,0.0055,
,3.53,1.552,0.232,0.374,,337.5,,,,,,-0.0068,0.007,0.007,0.0043,0,
,3.53,1.552,0.232,0.374,,352.5,,,,,,-0.0043,0.0078,0.0078,0.0151,0,
,3.53,1.589,0.278,0.385,,7.5,,,,,,-0.0072,0.0108,0.0108,0,0.0135,
,3.53,1.589,0.278,0.385,,22.5,,,,,,0.0031,0.0089,0.0089,0.0099,0.0018,
,3.53,1.589,0.278,0.385,,37.5,,,,,,0.0203,0.0069,0.0069,0,0.0051,
,3.53,1.589,0.278,0.385,,52.5,,,,,,0.0183,0.0057,0.0057,0,0.0042,
,3.53,1.589,0.278,0.385,,67.5,,,,,,0.0054,0.0048,0.0048,0.0024,0,
,3.53,1.589,0.278,0.385,,82.5,,,,,,0.009,0.0041,0.0041,0.0061,0,
,3.53,1.589,0.278,0.385,,97.5,,,,,,0.0086,0.0039,0.0039,0.0018,0.0029,
,3.53,1.589,0.278,0.385,,112.5,,,,,,-0.0022,0.0035,0.0035,0.0051,0,
,3.53,1.589,0.278,0.385,,127.5,,,,,,0.004,0.0032,0.0032,0.0047,0,
,3.53,1.589,0.278,0.385,,142.5,,,,,,0.0042,0.0033,0.0033,0.0018,0,
,3.53,1.589,0.278,0.385,,157.5,,,,,,0.008,0.0037,0.0037,0.0009,0.0018,
,3.53,1.589,0.278,0.385,,172.5,,,,,,-0.002,0.0036,0.0036,0.005,0,
,3.53,1.589,0.278,0.385,,187.5,,,,,,0.0002,0.0036,0.0036,0.0012,0.0008,
,3.53,1.589,0.278,0.385,,202.5,,,,,,0.0009,0.0034,0.0034,0,0.0034,
,3.53,1.589,0.278,0.385,,217.5,,,,,,-0.0015,0.0034,0.0034,0.0011,0.0019,
,3.53,1.589,0.278,0.385,,232.5,,,,,,-0.0052,0.0032,0.0032,0.0019,0,
,3.53,1.589,0.278,0.385,,247.5,,,,,,-0.0115,0.0035,0.0035,0.0007,0.0002,
,3.53,1.589,0.278,0.385,,262.5,,,,,,-0.0062,0.0037,0.0037,0.0008,0.0015,
,3.53,1.589,0.278,0.385,,277.5,,,,,,-0.0093,0.0039,0.0039,0.001,0,
,3.53,1.589,0.278,0.385,,292.5,,,,,,-0.0075,0.0045,0.0045,0.0009,0.0017,
,3.53,1.589,0.278,0.385,,307.5,,,,,,-0.0025,0.0053,0.0053,0,0.0049,
,3.53,1.589,0.278,0.385,,322.5,,,,,,-0.0174,0.0069,0.0069,0.0075,0,
,3.53,1.589,0.278,0.385,,337.5,,,,,,-0.003,0.0094,0.0094,0,0.0124,
,3.53,1.589,0.278,0.385,,352.5,,,,,,0.0005,0.0112,0.0112,0.0026,0.0038,
,3.53,1.608,0.323,0.391,,7.5,,,,,,0.0042,0.0138,0.0138,0.0045,0.0032,
,3.53,1.608,0.323,0.391,,22.5,,,,,,0.0108,0.0131,0.0131,0,0.0116,
,3.53,1.608,0.323,0.391,,37.5,,,,,,0.018,0.0087,0.0087,0.0038,0,
,3.53,1.608,0.323,0.391,,52.5,,,,,,0.018,0.0066,0.0066,0.0078,0,
,3.53,1.608,0.323,0.391,,67.5,,,,,,0.0139,0.0054,0.0054,0.0004,0.0046,
,3.53,1.608,0.323,0.391,,82.5,,,,,,0.0057,0.0046,0.0046,0.0036,0,
,3.53,1.608,0.323,0.391,,97.5,,,,,,0.0006,0.0042,0.0042,0.0045,0,
,3.53,1.608,0.323,0.391,,112.5,,,,,,0.0063,0.0039,0.0039,0.0013,0.0014,
,3.53,1.608,0.323,0.391,,127.5,,,,,,0.002,0.0039,0.0039,0.0001,0.0021,
,3.53,1.608,0.323,0.391,,142.5,,,,,,0.0012,0.0045,0.0045,0.0006,0.003,
,3.53,1.608,0.323,0.391,,157.5,,,,,,0.0059,0.0056,0.0056,0.004,0.0007,
,3.53,1.608,0.323,0.391,,172.5,,,,,,-0.0018,0.0066,0.0066,0.0023,0,
,3.53,1.608,0.323,0.391,,187.5,,,,,,-0.0139,0.0061,0.0061,0,0.0042,
,3.53,1.608,0.323,0.391,,202.5,,,,,,0.0018,0.0055,0.0055,0.002,0.0021,
,3.53,1.608,0.323,0.391,,217.5,,,,,,-0.0098,0.0048,0.0048,0.0012,0.0032,
,3.53,1.608,0.323,0.391,,232.5,,,,,,0.0018,0.0039,0.0039,0.0018,0,
,3.53,1.608,0.323,0.391,,247.5,,,,,,-0.0117,0.0041,0.0041,0.0024,0,
,3.53,1.608,0.323,0.391,,262.5,,,,,,-0.015,0.0043,0.0043,0.0004,0.0015,
,3.53,1.608,0.323,0.391,,277.5,,,,,,-0.0121,0.0046,0.0046,0.0016,0.0021,
,3.53,1.608,0.323,0.391,,292.5,,,,,,-0.0042,0.0052,0.0052,0,0.0073,
,3.53,1.608,0.323,0.391,,307.5,,,,,,0.0018,0.0067,0.0067,0,0.0042,
,3.53,1.608,0.323,0.391,,322.5,,,,,,-0.015,0.0094,0.0094,0.0079,0,
,3.53,1.608,0.323,0.391,,337.5,,,,,,-0.0087,0.0128,0.0128,0.0095,0,
,3.53,1.608,0.323,0.391,,352.5,,,,,,-0.0102,0.0155,0.0155,0,0.0072,
,3.53,1.633,0.37,0.399,,7.5,,,,,,0.0127,0.0207,0.0207,0,0.0162,
,3.53,1.633,0.37,0.399,,22.5,,,,,,0.0257,0.0163,0.0163,0.0026,0.0013,
,3.53,1.633,0.37,0.399,,37.5,,,,,,0.0252,0.0112,0.0112,0,0.0121,
,3.53,1.633,0.37,0.399,,52.5,,,,,,0.0163,0.0083,0.0083,0.0026,0.0018,
,3.53,1.633,0.37,0.399,,67.5,,,,,,0.0117,0.0062,0.0062,0,0.0068,
