bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,2.94,1.82,0.172,0.343,,7.5,,,,,,-0.001,0.006,0.006,0.001,0.0011,https://doi.org/10.1103/PhysRevC.92.055202
,2.94,1.82,0.172,0.343,,22.5,,,,,,0.0122,0.0057,0.0057,0.0023,0,
,2.94,1.82,0.172,0.343,,37.5,,,,,,0.0168,0.0049,0.0049,0.0026,0.0005,
,2.94,1.82,0.172,0.343,,52.5,,,,,,0.0153,0.0045,0.0045,0.0019,0.0009,
,2.94,1.82,0.172,0.343,,67.5,,,,,,0.0158,0.0043,0.0043,0.0005,0.0012,
,2.94,1.82,0.172,0.343,,82.5,,,,,,0.0205,0.0039,0.0039,0.002,0,
,2.94,1.82,0.172,0.343,,97.5,,,,,,0.0151,0.0036,0.0036,0.0038,0,
,2.94,1.82,0.172,0.343,,112.5,,,,,,0.0067,0.0034,0.0034,0,0.0017,
,2.94,1.82,0.172,0.343,,127.5,,,,,,0.0149,0.0032,0.0032,0,0.0011,
,2.94,1.82,0.172,0.343,,142.5,,,,,,0.0069,0.003,0.003,0.0024,0,
,2.94,1.82,0.172,0.343,,157.5,,,,,,0.0057,0.003,0.003,0.0015,0.0009,
,2.94,1.82,0.172,0.343,,172.5,,,,,,0.0007,0.0029,0.0029,0.002,0.001,
,2.94,1.82,0.172,0.343,,187.5,,,,,,-0.0003,0.0029,0.0029,0.0014,0,
,2.94,1.82,0.172,0.343,,202.5,,,,,,-0.0065,0.003,0.003,0.0016,0.0007,
,2.94,1.82,0.172,0.343,,217.5,,,,,,-0.0081,0.0031,0.0031,0,0.0019,
,2.94,1.82,0.172,0.343,,232.5,,,,,,-0.0092,0.0031,0.0031,0.0004,0.0015,
,2.94,1.82,0.172,0.343,,247.5,,,,,,-0.0118,0.0032,0.0032,0.0032,0,
,2.94,1.82,0.172,0.343,,262.5,,,,,,-0.0175,0.0034,0.0034,0.003,0,
,2.94,1.82,0.172,0.343,,277.5,,,,,,-0.016,0.0038,0.0038,0.0005,0.0014,
,2.94,1.82,0.172,0.343,,292.5,,,,,,-0.0172,0.004,0.004,0.0026,0.0004,
,2.94,1.82,0.172,0.343,,307.5,,,,,,-0.0163,0.0045,0.0045,0.0017,0.0006,
,2.94,1.82,0.172,0.343,,322.5,,,,,,-0.0116,0.0049,0.0049,0.0007,0.0013,
,2.94,1.82,0.172,0.343,,337.5,,,,,,-0.0019,0.0055,0.0055,0.0027,0.001,
,2.94,1.82,0.172,0.343,,352.5,,,,,,-0.0036,0.0059,0.0059,0,0.0022,
,2.94,1.933,0.232,0.368,,7.5,,,,,,0.0031,0.0061,0.0061,0,0.0048,
,2.94,1.933,0.232,0.368,,22.5,,,,,,-0.0019,0.0054,0.0054,0.0019,0.0014,
,2.94,1.933,0.232,0.368,,37.5,,,,,,0.012,0.0045,0.0045,0.0016,0.002,
,2.94,1.933,0.232,0.368,,52.5,,,,,,0.0193,0.0042,0.0042,0.0001,0.0009,
,2.94,1.933,0.232,0.368,,67.5,,,,,,0.0144,0.0037,0.0037,0.0001,0.003,
,2.94,1.933,0.232,0.368,,82.5,,,,,,0.0108,0.0032,0.0032,0.0002,0.0031,
,2.94,1.933,0.232,0.368,,97.5,,,,,,0.0086,0.0028,0.0028,0.0026,0.0005,
,2.94,1.933,0.232,0.368,,112.5,,,,,,0.0043,0.0027,0.0027,0.0016,0.0007,
,2.94,1.933,0.232,0.368,,127.5,,,,,,0.0072,0.0024,0.0024,0.0004,0.001,
,2.94,1.933,0.232,0.368,,142.5,,,,,,0.007,0.0023,0.0023,0,0.0005,
,2.94,1.933,0.232,0.368,,157.5,,,,,,0.0062,0.0023,0.0023,0.0013,0.0007,
,2.94,1.933,0.232,0.368,,172.5,,,,,,0.0004,0.0022,0.0022,0,0.0015,
,2.94,1.933,0.232,0.368,,187.5,,,,,,-0.0007,0.0022,0.0022,0.0014,0,
,2.94,1.933,0.232,0.368,,202.5,,,,,,-0.0014,0.0023,0.0023,0,0.0021,
,2.94,1.933,0.232,0.368,,217.5,,,,,,-0.0026,0.0023,0.0023,0,0.0022,
,2.94,1.933,0.232,0.368,,232.5,,,,,,-0.0067,0.0024,0.0024,0,0.0021,
,2.94,1.933,0.232,0.368,,247.5,,,,,,-0.0106,0.0026,0.0026,0,0.0011,
,2.94,1.933,0.232,0.368,,262.5,,,,,,-0.0092,0.0028,0.0028,0.0019,0,
,2.94,1.933,0.232,0.368,,277.5,,,,,,-0.0155,0.003,0.003,0,0.0035,
,2.94,1.933,0.232,0.368,,292.5,,,,,,-0.016,0.0035,0.0035,0.0009,0,
,2.94,1.933,0.232,0.368,,307.5,,,,,,-0.0103,0.0039,0.0039,0.0033,0,
,2.94,1.933,0.232,0.368,,322.5,,,,,,-0.0165,0.0045,0.0045,0.0023,0,
,2.94,1.933,0.232,0.368,,337.5,,,,,,-0.0072,0.0055,0.0055,0.0002,0.0023,
,2.94,1.933,0.232,0.368,,352.5,,,,,,-0.0007,0.0061,0.0061,0.0005,0.0011,
,2.94,1.964,0.278,0.375,,7.5,,,,,,0.0017,0.0077,0.0077,0.0009,0.0025,
,2.94,1.964,0.278,0.375,,22.5,,,,,,0.0041,0.0062,0.0062,0,0.0075,
,2.94,1.964,0.278,0.375,,37.5,,,,,,0.0161,0.0052,0.0052,0.0042,0,
,2.94,1.964,0.278,0.375,,52.5,,,,,,0.015,0.0043,0.0043,0.0032,0,
,2.94,1.964,0.278,0.375,,67.5,,,,,,0.0018,0.0036,0.0036,0.0012,0.0011,
,2.94,1.964,0.278,0.375,,82.5,,,,,,0.0109,0.0032,0.0032,0.002,0,
,2.94,1.964,0.278,0.375,,97.5,,,,,,0.0048,0.0029,0.0029,0.0004,0.0017,
,2.94,1.964,0.278,0.375,,112.5,,,,,,0.0086,0.0027,0.0027,0.0002,0.0013,
,2.94,1.964,0.278,0.375,,127.5,,,,,,0.0064,0.0023,0.0023,0.0022,0,
,2.94,1.964,0.278,0.375,,142.5,,,,,,0.0069,0.0022,0.0022,0.0008,0,
,2.94,1.964,0.278,0.375,,157.5,,,,,,0.0054,0.0022,0.0022,0,0.0011,
,2.94,1.964,0.278,0.375,,172.5,,,,,,-0.0015,0.0022,0.0022,0.0004,0.0014,
,2.94,1.964,0.278,0.375,,187.5,,,,,,-0.0014,0.0021,0.0021,0.0018,0.0005,
,2.94,1.964,0.278,0.375,,202.5,,,,,,-0.0005,0.0021,0.0021,0,0.0013,
,2.94,1.964,0.278,0.375,,217.5,,,,,,-0.0046,0.0022,0.0022,0.0024,0,
,2.94,1.964,0.278,0.375,,232.5,,,,,,-0.005,0.0023,0.0023,0,0.0024,
,2.94,1.964,0.278,0.375,,247.5,,,,,,-0.007,0.0028,0.0028,0.0004,0.0008,
,2.94,1.964,0.278,0.375,,262.5,,,,,,-0.011,0.003,0.003,0.0011,0.001,
,2.94,1.964,0.278,0.375,,277.5,,,,,,-0.0119,0.0032,0.0032,0.0018,0,
,2.94,1.964,0.278,0.375,,292.5,,,,,,-0.0099,0.0035,0.0035,0,0.0013,
,2.94,1.964,0.278,0.375,,307.5,,,,,,-0.006,0.0041,0.0041,0,0.0039,
,2.94,1.964,0.278,0.375,,322.5,,,,,,-0.0096,0.0048,0.0048,0.0024,0,
,2.94,1.964,0.278,0.375,,337.5,,,,,,-0.0172,0.0062,0.0062,0,0.008,
,2.94,1.964,0.278,0.375,,352.5,,,,,,0.0018,0.0074,0.0074,0.0063,0.0013,
,2.94,1.986,0.323,0.379,,7.5,,,,,,0.0073,0.0111,0.0111,0.0103,0,
,2.94,1.986,0.323,0.379,,22.5,,,,,,-0.0001,0.009,0.009,0,0.0037,
,2.94,1.986,0.323,0.379,,37.5,,,,,,0.0079,0.0061,0.0061,0.0032,0.0034,
,2.94,1.986,0.323,0.379,,52.5,,,,,,0.0224,0.0051,0.0051,0.0002,0.0019,
,2.94,1.986,0.323,0.379,,67.5,,,,,,0.0099,0.004,0.004,0.0001,0.0016,
,2.94,1.986,0.323,0.379,,82.5,,,,,,0.0051,0.0035,0.0035,0.0021,0,
,2.94,1.986,0.323,0.379,,97.5,,,,,,0.0113,0.003,0.003,0.0006,0.0004,
,2.94,1.986,0.323,0.379,,112.5,,,,,,0.0015,0.0027,0.0027,0.0007,0.0001,
,2.94,1.986,0.323,0.379,,127.5,,,,,,0.0122,0.0026,0.0026,0,0.0019,
,2.94,1.986,0.323,0.379,,142.5,,,,,,0.001,0.0025,0.0025,0.0025,0,
,2.94,1.986,0.323,0.379,,157.5,,,,,,0.0027,0.0026,0.0026,0.0014,0,
,2.94,1.986,0.323,0.379,,172.5,,,,,,-0.0003,0.0025,0.0025,0.0021,0.0004,
,2.94,1.986,0.323,0.379,,187.5,,,,,,-0.0036,0.0027,0.0027,0.0045,0,
,2.94,1.986,0.323,0.379,,202.5,,,,,,0.0015,0.0026,0.0026,0.0014,0,
,2.94,1.986,0.323,0.379,,217.5,,,,,,0.0023,0.0026,0.0026,0.0003,0.0008,
,2.94,1.986,0.323,0.379,,232.5,,,,,,0,0.0027,0.0027,0.003,0,
,2.94,1.986,0.323,0.379,,247.5,,,,,,-0.0081,0.003,0.003,0.0001,0.0016,
,2.94,1.986,0.323,0.379,,262.5,,,,,,-0.0071,0.0031,0.0031,0.0027,0,
,2.94,1.986,0.323,0.379,,277.5,,,,,,0.0006,0.0035,0.0035,0.0013,0,
,2.94,1.986,0.323,0.379,,292.5,,,,,,-0.0089,0.004,0.004,0.0016,0.0015,
,2.94,1.986,0.323,0.379,,307.5,,,,,,-0.0084,0.0051,0.0051,0.0028,0,
,2.94,1.986,0.323,0.379,,322.5,,,,,,-0.0201,0.0063,0.0063,0,0.0036,
,2.94,1.986,0.323,0.379,,337.5,,,,,,-0.0033,0.0088,0.0088,0,0.0067,
,2.94,1.986,0.323,0.379,,352.5,,,,,,-0.0026,0.0106,0.0106,0.003,0.0085,
,2.94,1.999,0.371,0.381,,7.5,,,,,,-0.0121,0.016,0.016,0.0014,0.0052,
