bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,2.94,1.999,0.371,0.381,,22.5,,,,,,0.0011,0.012,0.012,0.0036,0.0014,
,2.94,1.999,0.371,0.381,,37.5,,,,,,0.0041,0.0075,0.0075,0.004,0,
,2.94,1.999,0.371,0.381,,52.5,,,,,,0.0073,0.0058,0.0058,0.0044,0.0002,
,2.94,1.999,0.371,0.381,,67.5,,,,,,0.0099,0.0049,0.0049,0.0011,0.0011,
,2.94,1.999,0.371,0.381,,82.5,,,,,,0.0108,0.0038,0.0038,0,0.0014,
,2.94,1.999,0.371,0.381,,97.5,,,,,,0.0047,0.0035,0.0035,0.0014,0.0003,
,2.94,1.999,0.371,0.381,,112.5,,,,,,0.0105,0.0032,0.0032,0.0015,0.0012,
,2.94,1.999,0.371,0.381,,127.5,,,,,,0.0021,0.0029,0.0029,0.0024,0,
,2.94,1.999,0.371,0.381,,142.5,,,,,,0.0037,0.0028,0.0028,0,0.0036,
,2.94,1.999,0.371,0.381,,157.5,,,,,,0.0001,0.0031,0.0031,0,0.0016,
,2.94,1.999,0.371,0.381,,172.5,,,,,,-0.007,0.0038,0.0038,0.0026,0,
,2.94,1.999,0.371,0.381,,187.5,,,,,,0.0025,0.0037,0.0037,0.0027,0,
,2.94,1.999,0.371,0.381,,202.5,,,,,,0.0006,0.0034,0.0034,0,0.0013,
,2.94,1.999,0.371,0.381,,217.5,,,,,,0.0004,0.0031,0.0031,0.0016,0,
,2.94,1.999,0.371,0.381,,232.5,,,,,,-0.0044,0.0027,0.0027,0.0019,0.0009,
,2.94,1.999,0.371,0.381,,247.5,,,,,,0.0004,0.0031,0.0031,0,0.0025,
,2.94,1.999,0.371,0.381,,262.5,,,,,,-0.0025,0.0032,0.0032,0.0022,0.0007,
,2.94,1.999,0.371,0.381,,277.5,,,,,,-0.0061,0.0036,0.0036,0,0.0021,
,2.94,1.999,0.371,0.381,,292.5,,,,,,-0.0016,0.0044,0.0044,0.0012,0.0011,
,2.94,1.999,0.371,0.381,,307.5,,,,,,-0.0071,0.0054,0.0054,0.0016,0.0019,
,2.94,1.999,0.371,0.381,,322.5,,,,,,-0.0079,0.0076,0.0076,0.0011,0.0035,
,2.94,1.999,0.371,0.381,,337.5,,,,,,-0.0012,0.0109,0.0109,0.0017,0.0154,
,2.94,1.999,0.371,0.381,,352.5,,,,,,-0.0051,0.0167,0.0167,0.0133,0,
