bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,,1.131,0.261,0.125,,187.5,,,,,,0.0928351,0.0388139,0.0388139,0.045109,0.045109,
,,1.131,0.261,0.125,,202.6,,,,,,-0.11681,0.0279344,0.0279344,0.014268,0.014268,
,,1.13,0.261,0.125,,217.7,,,,,,-0.110625,0.0292143,0.0292143,0.0290349,0.0290349,
,,1.13,0.261,0.125,,232.8,,,,,,-0.0827499,0.0317366,0.0317366,0.0185668,0.0185668,
,,1.13,0.261,0.125,,247.8,,,,,,-0.197751,0.0410491,0.0410491,0.0167893,0.0167893,
,,1.13,0.261,0.125,,262.9,,,,,,-0.126299,0.0333616,0.0333616,0.0120863,0.0120863,
,,1.13,0.261,0.125,,278,,,,,,-0.160702,0.0448231,0.0448231,0.0287007,0.0287007,
,,1.129,0.262,0.125,,293.1,,,,,,-0.217993,0.0606414,0.0606414,0.0185034,0.0185034,
,,1.129,0.263,0.125,,307.9,,,,,,-0.251275,0.113257,0.113257,0.194794,0.194794,
,,1.13,0.34,0.125,,51.7,,,,,,0.217321,0.0549601,0.0549601,0.0296864,0.0296864,
,,1.13,0.34,0.125,,66.9,,,,,,0.106034,0.0372484,0.0372484,0.0117748,0.0117748,
,,1.13,0.34,0.125,,82,,,,,,0.0769793,0.0324747,0.0324747,0.0132217,0.0132217,
,,1.13,0.34,0.125,,97.1,,,,,,0.0521081,0.0191482,0.0191482,0.00857316,0.00857316,
,,1.131,0.34,0.125,,112.2,,,,,,0.0425764,0.020359,0.020359,0.0165982,0.0165982,
,,1.131,0.34,0.125,,127.2,,,,,,0.0222516,0.0203444,0.0203444,0.0119401,0.0119401,
,,1.131,0.34,0.125,,142.3,,,,,,0.0567145,0.0198828,0.0198828,0.0056551,0.0056551,
,,1.131,0.34,0.125,,157.4,,,,,,0.0301141,0.0169682,0.0169682,0.00390867,0.00390867,
,,1.131,0.34,0.125,,172.5,,,,,,0.0197781,0.021713,0.021713,0.00361411,0.00361411,
,,1.131,0.34,0.125,,187.5,,,,,,-0.0236192,0.0171674,0.0171674,0.0267888,0.0267888,
,,1.131,0.34,0.125,,217.7,,,,,,-0.00271298,0.0209358,0.0209358,0.00288081,0.00288081,
,,1.131,0.34,0.125,,232.8,,,,,,-0.0542602,0.0258304,0.0258304,0.00738555,0.00738555,
,,1.131,0.34,0.125,,247.8,,,,,,-0.0781743,0.0275298,0.0275298,0.044789,0.044789,
,,1.13,0.34,0.125,,262.9,,,,,,-0.0565681,0.0199852,0.0199852,0.0132623,0.0132623,
,,1.13,0.34,0.125,,278,,,,,,-0.125196,0.0307168,0.0307168,0.013234,0.013234,
,,1.13,0.34,0.125,,293.1,,,,,,-0.20185,0.0382312,0.0382312,0.0272889,0.0272889,
,,1.13,0.34,0.125,,308.3,,,,,,-0.171549,0.05297,0.05297,0.0231183,0.0231183,
,,1.126,0.451,0.125,,37.5,,,,,,0.0217206,0.0693321,0.0693321,0.0142154,0.0142154,
,,1.13,0.446,0.125,,51.8,,,,,,0.0649524,0.0275657,0.0275657,0.00923789,0.00923789,
,,1.13,0.446,0.125,,66.9,,,,,,0.0802902,0.0258591,0.0258591,0.00619721,0.00619721,
,,1.131,0.446,0.125,,82,,,,,,0.023001,0.0199189,0.0199189,0.0151861,0.0151861,
,,1.131,0.446,0.125,,97.1,,,,,,0.0354409,0.0126574,0.0126574,0.00881276,0.00881276,
,,1.131,0.446,0.125,,112.2,,,,,,0.0612355,0.0122807,0.0122807,0.00962121,0.00962121,
,,1.131,0.446,0.125,,127.2,,,,,,0.0204974,0.0152361,0.0152361,0.00386266,0.00386266,
,,1.131,0.446,0.125,,142.3,,,,,,0.0138845,0.012717,0.012717,0.00758305,0.00758305,
,,1.131,0.446,0.125,,157.4,,,,,,-0.00998505,0.0121406,0.0121406,0.00352017,0.00352017,
,,1.131,0.446,0.125,,172.5,,,,,,0.00647305,0.0105645,0.0105645,0.00288745,0.00288745,
,,1.131,0.446,0.125,,187.5,,,,,,-0.00259382,0.0120688,0.0120688,0.00630911,0.00630911,
,,1.131,0.446,0.125,,202.6,,,,,,-0.00746204,0.00989468,0.00989468,0.00652844,0.00652844,
,,1.131,0.446,0.125,,217.7,,,,,,-0.0199173,0.013935,0.013935,0.00328712,0.00328712,
,,1.131,0.446,0.125,,232.8,,,,,,0.00389572,0.0127099,0.0127099,0.00464415,0.00464415,
