bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,cos_theta*gamma_gamma (fb/(MeV sr2)),D5_sigma,D5_sigma_stat_plus,D5_sigma_stat_minus,D5_sigma_sys_plus,D5_sigma_sys_minus,link
,,2.05,,,1.55,105,,,,,,-0.975,2.6,1.6,1.6,0.3,0.3,
,,0.5,,,1.57,105,,,,,,-0.975,,,,,,
,,0.567,,,1.57,105,,,,,,-0.975,,,,,,
,,0.633,,,1.57,105,,,,,,-0.975,476,247,247,57,57,
,,0.875,,,1.57,105,,,,,,-0.975,,,,,,
,,0.925,,,1.57,105,,,,,,-0.975,50,14,14,6,6,
,,0.975,,,1.57,105,,,,,,-0.975,39.1,8.8,8.8,4.7,4.7,
,,1.025,,,1.57,105,,,,,,-0.975,25.5,7.1,7.1,3.1,3.1,
,,1.075,,,1.57,105,,,,,,-0.975,39.9,8.8,8.8,4.8,4.8,
,,1.125,,,1.57,105,,,,,,-0.975,18.8,7.2,7.2,2.3,2.3,
,,1.85,,,1.57,105,,,,,,-0.975,5.4,3.3,3.3,0.6,0.6,
,,1.95,,,1.57,105,,,,,,-0.975,3.4,1.8,1.8,0.4,0.4,
,,2.05,,,1.57,105,,,,,,-0.975,,,,,,
,,0.433,,,1.59,105,,,,,,-0.975,,,,,,
,,0.5,,,1.59,105,,,,,,-0.975,,,,,,
,,0.567,,,1.59,105,,,,,,-0.975,,,,,,
,,0.633,,,1.59,105,,,,,,-0.975,,,,,,
,,0.875,,,1.59,105,,,,,,-0.975,49,18,18,6,6,
,,0.925,,,1.59,105,,,,,,-0.975,53,12,12,6,6,
,,0.975,,,1.59,105,,,,,,-0.975,35.1,9.3,9.3,4.2,4.2,
,,1.025,,,1.59,105,,,,,,-0.975,44,10,10,5,5,
,,1.075,,,1.59,105,,,,,,-0.975,38,11,11,5,5,
,,1.125,,,1.59,105,,,,,,-0.975,16,11,11,2,2,
,,1.85,,,1.59,105,,,,,,-0.975,5.8,2.6,2.6,0.7,0.7,
,,1.95,,,1.59,105,,,,,,-0.975,,,,,,
,,0.567,,,1.53,135,,,,,,-0.975,,,,,,
,,0.633,,,1.53,135,,,,,,-0.975,382,134,134,46,46,
,,0.7,,,1.53,135,,,,,,-0.975,103,66,66,12,12,
,,0.875,,,1.53,135,,,,,,-0.975,170,94,94,20,20,
,,0.925,,,1.53,135,,,,,,-0.975,,,,,,
,,0.975,,,1.53,135,,,,,,-0.975,,,,,,
,,1.025,,,1.53,135,,,,,,-0.975,,,,,,
,,1.075,,,1.53,135,,,,,,-0.975,52,12,12,6,6,
,,1.125,,,1.53,135,,,,,,-0.975,17,6.2,6.2,2,2,
,,1.85,,,1.53,135,,,,,,-0.975,17.4,6.3,6.3,2.1,2.1,
,,1.95,,,1.53,135,,,,,,-0.975,,,,,,
,,2.05,,,1.53,135,,,,,,-0.975,3,1.6,1.6,0.4,0.4,
,,2.15,,,1.53,135,,,,,,-0.975,,,,,,
,,0.5,,,1.55,135,,,,,,-0.975,,,,,,
,,0.567,,,1.55,135,,,,,,-0.975,,,,,,
,,0.633,,,1.55,135,,,,,,-0.975,621,511,511,75,75,
,,0.7,,,1.55,135,,,,,,-0.975,588,401,401,71,71,
,,0.875,,,1.55,135,,,,,,-0.975,,,,,,
,,0.925,,,1.55,135,,,,,,-0.975,,,,,,
,,0.975,,,1.55,135,,,,,,-0.975,,,,,,
,,1.025,,,1.55,135,,,,,,-0.975,57,14,14,7,7,
,,1.075,,,1.55,135,,,,,,-0.975,48,10,10,6,6,
,,1.125,,,1.55,135,,,,,,-0.975,61,12,12,7,7,
,,1.85,,,1.55,135,,,,,,-0.975,22.5,9.1,9.1,2.7,2.7,
,,1.95,,,1.55,135,,,,,,-0.975,,,,,,
,,2.05,,,1.55,135,,,,,,-0.975,6,4.3,4.3,0.7,0.7,
,,0.5,,,1.57,135,,,,,,-0.975,,,,,,
,,0.567,,,1.57,135,,,,,,-0.975,,,,,,
,,0.633,,,1.57,135,,,,,,-0.975,,,,,,
,,0.875,,,1.57,135,,,,,,-0.975,,,,,,
,,0.925,,,1.57,135,,,,,,-0.975,,,,,,
,,0.975,,,1.57,135,,,,,,-0.975,52,18,18,6,6,
,,1.025,,,1.57,135,,,,,,-0.975,44,13,13,5,5,
,,1.075,,,1.57,135,,,,,,-0.975,17,10,10,2,2,
,,1.125,,,1.57,135,,,,,,-0.975,29,13,13,3,3,
,,1.85,,,1.57,135,,,,,,-0.975,37,16,16,4,4,
,,1.95,,,1.57,135,,,,,,-0.975,13.5,9.7,9.7,1.6,1.6,
,,2.05,,,1.57,135,,,,,,-0.975,,,,,,
,,0.433,,,1.59,135,,,,,,-0.975,,,,,,
,,0.5,,,1.59,135,,,,,,-0.975,,,,,,
,,0.567,,,1.59,135,,,,,,-0.975,,,,,,
,,0.633,,,1.59,135,,,,,,-0.975,,,,,,
,,0.875,,,1.59,135,,,,,,-0.975,,,,,,
,,0.925,,,1.59,135,,,,,,-0.975,93,45,45,11,11,
,,0.975,,,1.59,135,,,,,,-0.975,14,14,14,2,2,
,,1.025,,,1.59,135,,,,,,-0.975,32,30,30,4,4,
,,1.075,,,1.59,135,,,,,,-0.975,,,,,,
,,1.125,,,1.59,135,,,,,,-0.975,60,24,24,7,7,
,,1.85,,,1.59,135,,,,,,-0.975,18.8,6.3,6.3,2.3,2.3,
,,1.95,,,1.59,135,,,,,,-0.975,,,,,,
,,0.567,,,1.53,165,,,,,,-0.975,,,,,,
,,0.633,,,1.53,165,,,,,,-0.975,258,173,173,31,31,
,,0.7,,,1.53,165,,,,,,-0.975,461,165,165,55,55,
,,0.875,,,1.53,165,,,,,,-0.975,260,164,164,31,31,
,,0.925,,,1.53,165,,,,,,-0.975,,,,,,
,,0.975,,,1.53,165,,,,,,-0.975,,,,,,
,,1.025,,,1.53,165,,,,,,-0.975,95,70,70,11,11,
,,1.075,,,1.53,165,,,,,,-0.975,46,14,14,6,6,
,,1.125,,,1.53,165,,,,,,-0.975,22.4,8.8,8.8,2.7,2.7,
,,1.85,,,1.53,165,,,,,,-0.975,36,11,11,4,4,
,,1.95,,,1.53,165,,,,,,-0.975,,,,,,
,,2.05,,,1.53,165,,,,,,-0.975,2.6,1.9,1.9,0.3,0.3,
,,2.15,,,1.53,165,,,,,,-0.975,,,,,,
,,0.5,,,1.55,165,,,,,,-0.975,,,,,,
,,0.567,,,1.55,165,,,,,,-0.975,,,,,,
,,0.633,,,1.55,165,,,,,,-0.975,2290,1550,1550,275,275,
,,0.7,,,1.55,165,,,,,,-0.975,,,,,,
,,0.875,,,1.55,165,,,,,,-0.975,,,,,,
,,0.925,,,1.55,165,,,,,,-0.975,,,,,,
,,0.975,,,1.55,165,,,,,,-0.975,,,,,,
,,1.025,,,1.55,165,,,,,,-0.975,54,18,18,6,6,
,,1.075,,,1.55,165,,,,,,-0.975,80,18,18,10,10,
,,1.125,,,1.55,165,,,,,,-0.975,27,13,13,3,3,
,,1.85,,,1.55,165,,,,,,-0.975,29,16,16,3,3,
,,1.95,,,1.55,165,,,,,,-0.975,,,,,,
,,2.05,,,1.55,165,,,,,,-0.975,,,,,,
,,0.5,,,1.57,165,,,,,,-0.975,,,,,,
,,0.567,,,1.57,165,,,,,,-0.975,,,,,,
,,0.633,,,1.57,165,,,,,,-0.975,,,,,,
,,0.875,,,1.57,165,,,,,,-0.975,,,,,,
,,0.925,,,1.57,165,,,,,,-0.975,,,,,,
,,0.975,,,1.57,165,,,,,,-0.975,37,26,26,4,4,
,,1.025,,,1.57,165,,,,,,-0.975,45,21,21,5,5,
,,1.075,,,1.57,165,,,,,,-0.975,27,18,18,3,3,
,,1.125,,,1.57,165,,,,,,-0.975,22,21,21,3,3,
,,1.85,,,1.57,165,,,,,,-0.975,21,14,14,3,3,
,,1.95,,,1.57,165,,,,,,-0.975,,,,,,
,,2.05,,,1.57,165,,,,,,-0.975,,,,,,
,,0.433,,,1.59,165,,,,,,-0.975,,,,,,
,,0.5,,,1.59,165,,,,,,-0.975,,,,,,
,,0.567,,,1.59,165,,,,,,-0.975,,,,,,
,,0.633,,,1.59,165,,,,,,-0.975,,,,,,
,,0.875,,,1.59,165,,,,,,-0.975,,,,,,
,,0.925,,,1.59,165,,,,,,-0.975,156,129,129,19,19,
,,0.975,,,1.59,165,,,,,,-0.975,108,78,78,13,13,
,,1.025,,,1.59,165,,,,,,-0.975,54,42,42,6,6,
,,1.075,,,1.59,165,,,,,,-0.975,,,,,,
,,1.125,,,1.59,165,,,,,,-0.975,29,14,14,3,3,
,,1.85,,,1.59,165,,,,,,-0.975,12.2,5.5,5.5,1.5,1.5,
,,1.95,,,1.59,165,,,,,,-0.975,,,,,,
