bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,BSA_stat_plus,BSA_stat_minus,BSA_sys_plus,BSA_sys_minus,TSA,TSA_stat_plus,TSA_stat_minus,TSA_sys_plus,TSA_sys_minus,cAUT,DSA,DSA_stat_plus,DSA_stat_minus,DSA_sys_plus,DSA_sys_minus,cALT,link
,,2.59,1.09,0.348,,52,,,,,,0.13,0.04,0.04,0.01,0.01,0.15,0.05,0.05,0.02,0.02,0.0088,0.39,0.06,0.06,0.02,0.02,-0.0035,
,,2.28,1.28,0.35,,87,,,,,,0.12,0.06,0.06,0.02,0.02,0.09,0.08,0.08,0.06,0.06,0.0326,0.36,0.08,0.08,0.03,0.03,-0.0008,
,,2.27,1.09,0.353,,129,,,,,,0.08,0.06,0.06,0.03,0.03,0.19,0.08,0.08,0.05,0.05,0.0375,0.3,0.08,0.08,0.04,0.04,-0.0025,
,,2.33,1.06,0.345,,161,,,,,,0,0.06,0.06,0.02,0.02,0.21,0.08,0.08,0.03,0.03,0.0188,0.52,0.08,0.08,0.02,0.02,0.0015,
,,2.29,1.06,0.347,,201,,,,,,0,0.06,0.06,0.02,0.02,-0.19,0.08,0.08,0.03,0.03,-0.0184,0.52,0.08,0.08,0.02,0.02,0.002,
,,2.33,1.23,0.352,,236,,,,,,-0.01,0.06,0.06,0.02,0.02,-0.25,0.09,0.09,0.06,0.06,-0.0384,0.4,0.09,0.09,0.02,0.02,0.0003,
,,2.25,1.23,0.347,,269,,,,,,-0.04,0.05,0.05,0.01,0.01,-0.19,0.06,0.06,0.04,0.04,-0.0356,0.3,0.06,0.06,0.02,0.02,-0.0027,
,,2.61,1.09,0.349,,308,,,,,,-0.11,0.05,0.05,0.01,0.01,-0.14,0.06,0.06,0.02,0.02,-0.0086,0.48,0.06,0.06,0.03,0.03,-0.0016,
,,2.57,1.28,0.352,,340,,,,,,-0.02,0.03,0.03,0,0,-0.07,0.03,0.03,0.01,0.01,0.0036,0.43,0.04,0.04,0.02,0.02,-0.0034,
,,3.21,0.27,0.414,,19,,,,,,-0.24,0.18,0.18,0.02,0.02,0,0,0,0,0,0,0.9,0.21,0.21,0.02,0.02,0.0046,
,,3.16,0.27,0.414,,51,,,,,,0.22,0.21,0.21,0.09,0.09,-0.04,0.26,0.26,0.08,0.08,-0.0007,0.3,0.29,0.29,0.09,0.09,0.007,
,,3.36,0.51,0.443,,17,,,,,,0.07,0.04,0.04,0.01,0.01,-0.02,0.04,0.04,0.01,0.01,-0.0034,0.82,0.05,0.05,0.03,0.03,0.0398,
,,3.41,0.49,0.444,,52,,,,,,0.21,0.05,0.05,0.02,0.02,0.13,0.06,0.06,0.02,0.02,0.0066,0.77,0.06,0.06,0.04,0.04,0.0395,
,,3.25,0.49,0.448,,89,,,,,,0.24,0.07,0.07,0.03,0.03,0.27,0.09,0.09,0.04,0.04,0.0035,0.77,0.1,0.1,0.05,0.05,0.0397,
,,2.84,0.53,0.43,,124,,,,,,0.12,0.09,0.09,0.05,0.05,0.27,0.11,0.11,0.03,0.03,0.0548,0.64,0.12,0.12,0.07,0.07,0.0284,
,,2.93,0.57,0.42,,155,,,,,,-0.08,0.24,0.24,0.08,0.08,0.07,0.31,0.31,0.08,0.08,0.0227,0.44,0.3,0.3,0.08,0.08,0.004,
,,2.94,0.58,0.421,,207,,,,,,-0.44,0.23,0.23,0.06,0.06,-0.25,0.28,0.28,0.07,0.07,-0.0273,0.5,0.31,0.31,0.07,0.07,0.0082,
,,2.95,0.5,0.435,,238,,,,,,-0.04,0.11,0.11,0.05,0.05,-0.18,0.13,0.13,0.05,0.05,-0.0497,0.75,0.14,0.14,0.07,0.07,0.0309,
,,3.33,0.48,0.44,,271,,,,,,-0.08,0.08,0.08,0.02,0.02,-0.24,0.1,0.1,0.01,0.01,-0.0322,0.82,0.11,0.11,0.04,0.04,0.0381,
,,3.46,0.5,0.445,,310,,,,,,-0.28,0.05,0.05,0.02,0.02,-0.23,0.06,0.06,0.01,0.01,-0.0879,0.68,0.06,0.06,0.04,0.04,0.0364,
,,3.35,0.52,0.443,,342,,,,,,-0.08,0.03,0.03,0.01,0.01,-0.16,0.04,0.04,0.01,0.01,-0.001,0.77,0.04,0.04,0.03,0.03,0.0392,
,,3.37,1.12,0.465,,18,,,,,,0.06,0.03,0.03,0.01,0.01,0.08,0.04,0.04,0.01,0.01,-0.0064,0.51,0.04,0.04,0.02,0.02,0.0015,
,,3.46,1.13,0.465,,52,,,,,,0.21,0.05,0.05,0.02,0.02,0.16,0.07,0.07,0.03,0.03,0.0095,0.6,0.07,0.07,0.03,0.03,0.0071,
,,3.18,1.27,0.459,,89,,,,,,0,0.07,0.07,0.02,0.02,0.15,0.1,0.1,0.05,0.05,0.0507,0.55,0.1,0.1,0.04,0.04,0.0078,
,,3.13,1.15,0.456,,126,,,,,,0.11,0.06,0.06,0.01,0.01,0.04,0.08,0.08,0.05,0.05,0.0558,0.55,0.08,0.08,0.02,0.02,0.0007,
,,3.3,1.18,0.434,,159,,,,,,0.07,0.11,0.11,0.09,0.09,0.12,0.15,0.15,0.04,0.04,0.0241,0.43,0.15,0.15,0.07,0.07,-0.0116,
,,3.11,1.09,0.43,,203,,,,,,-0.1,0.13,0.13,0.03,0.03,0,0.16,0.16,0.06,0.06,-0.0219,0.78,0.16,0.16,0.06,0.06,-0.0021,
,,3.16,1.25,0.455,,236,,,,,,-0.06,0.07,0.07,0.01,0.01,-0.3,0.1,0.1,0.06,0.06,-0.0644,0.46,0.09,0.09,0.03,0.03,-0.0026,
,,3.12,1.35,0.454,,269,,,,,,-0.02,0.06,0.06,0.02,0.02,-0.21,0.09,0.09,0.05,0.05,-0.0541,0.56,0.08,0.08,0.03,0.03,0.0083,
,,3.49,1.1,0.467,,310,,,,,,-0.31,0.06,0.06,0.04,0.04,-0.25,0.07,0.07,0.03,0.03,-0.0119,0.77,0.08,0.08,0.05,0.05,0.0115,
,,3.36,1.15,0.464,,342,,,,,,-0.07,0.03,0.03,0.01,0.01,-0.08,0.04,0.04,0.01,0.01,0.0063,0.51,0.04,0.04,0.02,0.02,0.0014,
