bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,BSA_stat_plus,BSA_stat_minus,BSA_sys_plus,BSA_sys_minus,TSA,TSA_stat_plus,TSA_stat_minus,TSA_sys_plus,TSA_sys_minus,cAUT,DSA,DSA_stat_plus,DSA_stat_minus,DSA_sys_plus,DSA_sys_minus,cALT,link
,,2.03,0.13,0.255,,19,,,,,,0.03,0.03,0.03,0.01,0.01,-0.03,0.03,0.03,0.01,0.01,-0.0023,0.6,0.04,0.04,0.03,0.03,0.0328,
,,1.99,0.14,0.25,,52,,,,,,0.17,0.03,0.03,0.01,0.01,0.05,0.04,0.04,0.01,0.01,0.0027,0.6,0.04,0.04,0.03,0.03,0.0297,
,,1.93,0.14,0.239,,89,,,,,,0.2,0.03,0.03,0.01,0.01,0.05,0.04,0.04,0.01,0.01,0.0165,0.57,0.05,0.05,0.02,0.02,0.0179,
,,1.91,0.14,0.235,,124,,,,,,0.16,0.05,0.05,0.01,0.01,0.12,0.06,0.06,0.02,0.02,0.0247,0.63,0.07,0.07,0.02,0.02,0.0025,
,,1.84,0.14,0.228,,160,,,,,,0.03,0.06,0.06,0.01,0.01,0.2,0.07,0.07,0.01,0.01,0.0139,0.65,0.08,0.08,0.03,0.03,-0.0105,
,,1.89,0.14,0.231,,199,,,,,,0.02,0.06,0.06,0.01,0.01,-0.01,0.07,0.07,0.02,0.02,-0.0116,0.59,0.08,0.08,0.02,0.02,-0.0111,
,,1.93,0.14,0.235,,238,,,,,,-0.21,0.05,0.05,0.02,0.02,-0.13,0.06,0.06,0.01,0.01,-0.0246,0.5,0.07,0.07,0.02,0.02,0.0009,
,,1.94,0.14,0.239,,270,,,,,,-0.24,0.04,0.04,0.01,0.01,-0.16,0.04,0.04,0.01,0.01,-0.0176,0.63,0.05,0.05,0.02,0.02,0.0186,
,,1.97,0.13,0.248,,308,,,,,,-0.16,0.03,0.03,0.01,0.01,-0.16,0.03,0.03,0.01,0.01,-0.0041,0.56,0.04,0.04,0.03,0.03,0.0289,
,,2.03,0.13,0.255,,340,,,,,,-0.07,0.03,0.03,0,0,-0.09,0.04,0.04,0.01,0.01,-0.0007,0.55,0.04,0.04,0.03,0.03,0.032,
,,2.23,0.22,0.276,,21,,,,,,0.05,0.05,0.05,0.01,0.01,0,0.06,0.06,0.01,0.01,-0.0037,0.58,0.06,0.06,0.02,0.02,0.0172,
,,2.12,0.23,0.268,,53,,,,,,0.22,0.04,0.04,0.01,0.01,0.14,0.05,0.05,0.02,0.02,0.0044,0.56,0.06,0.06,0.03,0.03,0.0169,
,,2.01,0.23,0.251,,91,,,,,,0.27,0.04,0.04,0.01,0.01,0.16,0.05,0.05,0.01,0.01,0.0246,0.49,0.06,0.06,0.01,0.01,0.0105,
,,1.91,0.23,0.248,,124,,,,,,0.06,0.06,0.06,0.01,0.01,0.06,0.07,0.07,0.01,0.01,0.0347,0.66,0.07,0.07,0.03,0.03,0.006,
,,1.79,0.24,0.246,,161,,,,,,0.03,0.06,0.06,0.01,0.01,0.07,0.07,0.07,0.01,0.01,0.0185,0.55,0.08,0.08,0.02,0.02,-0.0017,
,,1.8,0.24,0.245,,199,,,,,,0.02,0.06,0.06,0.01,0.01,-0.03,0.08,0.08,0.02,0.02,-0.0174,0.7,0.08,0.08,0.03,0.03,0.0004,
,,1.97,0.23,0.242,,235,,,,,,-0.11,0.06,0.06,0.01,0.01,-0.18,0.07,0.07,0.01,0.01,-0.0322,0.62,0.08,0.08,0.04,0.04,0.0041,
,,2.01,0.23,0.248,,270,,,,,,-0.31,0.04,0.04,0.01,0.01,-0.21,0.05,0.05,0.01,0.01,-0.0247,0.53,0.06,0.06,0.02,0.02,0.0109,
,,2.14,0.23,0.268,,307,,,,,,-0.28,0.04,0.04,0.02,0.02,-0.15,0.05,0.05,0.02,0.02,-0.0044,0.57,0.06,0.06,0.03,0.03,0.0167,
,,2.21,0.22,0.277,,340,,,,,,-0.05,0.04,0.04,0.01,0.01,0,0.05,0.05,0.01,0.01,0.0039,0.51,0.06,0.06,0.02,0.02,0.0167,
,,2.34,0.4,0.286,,26,,,,,,0.22,0.16,0.16,0.01,0.01,-0.17,0.18,0.18,0.01,0.01,-0.0069,0.66,0.22,0.22,0.05,0.05,0.0039,
,,2.2,0.45,0.276,,56,,,,,,0.21,0.06,0.06,0.02,0.02,0.15,0.08,0.08,0.02,0.02,0.0075,0.43,0.09,0.09,0.04,0.04,0,
,,2.04,0.44,0.254,,90,,,,,,0.14,0.06,0.06,0.01,0.01,0.29,0.07,0.07,0.04,0.04,0.031,0.55,0.08,0.08,0.03,0.03,0.0022,
,,1.82,0.45,0.255,,127,,,,,,0.08,0.06,0.06,0.04,0.04,0.14,0.08,0.08,0.02,0.02,0.0422,0.51,0.09,0.09,0.02,0.02,0.0047,
,,1.73,0.48,0.252,,163,,,,,,0.06,0.04,0.04,0.01,0.01,0.12,0.05,0.05,0.01,0.01,0.0209,0.45,0.06,0.06,0.02,0.02,0.0056,
,,1.74,0.47,0.254,,197,,,,,,0.02,0.05,0.05,0.01,0.01,-0.13,0.06,0.06,0.03,0.03,-0.0211,0.48,0.07,0.07,0.02,0.02,0.006,
,,1.88,0.44,0.251,,233,,,,,,-0.13,0.07,0.07,0.02,0.02,-0.12,0.09,0.09,0.04,0.04,-0.038,0.44,0.1,0.1,0.03,0.03,0.0029,
,,1.99,0.46,0.253,,271,,,,,,-0.2,0.05,0.05,0.03,0.03,-0.17,0.06,0.06,0.02,0.02,-0.031,0.5,0.07,0.07,0.03,0.03,0.0018,
,,2.2,0.45,0.274,,303,,,,,,-0.3,0.06,0.06,0.03,0.03,-0.09,0.07,0.07,0.01,0.01,-0.0066,0.41,0.09,0.09,0.04,0.04,-0.0003,
,,2.36,0.4,0.287,,334,,,,,,-0.21,0.12,0.12,0.03,0.03,-0.04,0.14,0.14,0.02,0.02,-0.0042,0.34,0.16,0.16,0.02,0.02,-0.0007,
,,2.03,1.41,0.261,,17,,,,,,-0.04,0.05,0.05,0.02,0.02,-0.08,0.05,0.05,0.01,0.01,-0.0026,0.48,0.06,0.06,0.02,0.02,-0.0031,
,,1.98,1.12,0.258,,54,,,,,,0.1,0.06,0.06,0.02,0.02,0.14,0.07,0.07,0.02,0.02,0.006,0.34,0.08,0.08,0.03,0.03,-0.0038,
,,1.78,1.18,0.256,,87,,,,,,0.05,0.07,0.07,0.03,0.03,0.2,0.08,0.08,0.04,0.04,0.0152,0.33,0.09,0.09,0.03,0.03,0.0005,
,,1.82,1.13,0.261,,128,,,,,,0.14,0.09,0.09,0.03,0.03,0.46,0.12,0.12,0.06,0.06,0.0188,0.26,0.13,0.13,0.02,0.02,0.0027,
